BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
020140001689,,323672241.0,505218844.6,632662279.6,829033026.3,215306093.5,,,,
020140015371,,2581793.0,3447140.0,320566.6,0,0,,,,
020940003298,,25701335.1,4163925.6,4674596.2,58277742.2,15272089.2,,,,
041241009461,,236730697.1,363666734.1,499080601.0,587927636.4,158601071.7,,,,
070240006117,,92026676.7,84189173.3,151662810.0,129638924.8,34882030.0,,,,
080440003924,,83338298.6,95297641.9,132682790.0,129820895.0,37347987.0,,,,
081040002032,,129187.0,81494.4,249809.0,15875.6,0,,,,
090240022698,,0,0,1725.0,0,0,,,,
090540001011,,185357844.2,249465766.5,322312691.5,448517867.1,166224046.6,,,,
090840008703,,461967.0,1700.0,80955715.1,97262937.0,10998272.8,,,,
091041017098,,189480422.1,271507631.2,343659152.7,389019467.9,113143544.8,,,,
120841015670,,43805245.0,40266055.1,76701258.6,85291974.2,51239167.9,,,,
130441024667,,333299408.5,461803791.3,427963157.4,463899642.8,154975884.2,,,,
141241019132,,,,,,,,,,
141241020825,,,,,,,,,,
141241020850,,,,,,,,,,
861240000017,,883849332.4,1096176082.0,1423092481.8,1413458186.4,389950134.5,,,,
941240000718,,469191437.9,566048911.6,773591925.5,872145696.7,597880717.6,,,,
950240000415,,43946896.0,81157512.0,137227673.0,160283009.0,41369733.1,,,,
950440001475,,213423264.2,244914675.6,326757500.9,280841489.0,64373406.2,,,,
950740000676,,29881803.6,35755520.1,49401419.5,58913751.8,6958249.6,,,,
970540012150,,,,,,,,,,
990140002330,,188450460.4,189332239.7,160352272.9,256237573.8,98506665.4,,,,
990240001722,,430950895.8,438229567.9,485405195.4,591222844.9,185641006.6,,,,
990340005977,,660166515.9,770461069.5,1021228129.5,417024005.9,3929362.7,,,,
990440002629,,0,0,0,0,0,,,,
990540002276,,998011768.4,838571441.4,1300303152.1,1393274675.1,470774060.6,,,,
000240004059,,0,0,0,0,0,,,,
000540001431,,13447564.0,17604008.8,23437681.0,33406117.2,8651772.0,,,,
010340003046,,10586411.0,24433707.0,22423277.7,12066928.0,52207.0,,,,
030140004080,,24561856.0,27499953.0,35590646.0,40402454.0,20228531.0,,,,
030440002431,,0,0,0,0,0,,,,
040540003287,,33979432.5,45452605.6,52854465.0,57785239.0,11823437.0,,,,
050140009808,,67585743.7,88696509.6,104256310.4,101730186.4,40503650.2,,,,
051040005297,,62536325.5,72212550.0,65198981.0,71350186.0,21067917.0,,,,
060540002193,,12139313.4,21017514.1,38480657.0,41481877.2,28418825.9,,,,
060940003205,,2498543885.0,2840276335.0,3893607886.9,2498421959.1,84590617.4,,,,
070640006499,,500000.0,0,0,0,0,,,,
081141015142,,35925880.0,33319073.0,28489743.0,30480800.0,8773788.0,,,,
090241014533,,5695696.0,11482103.0,21174389.0,25276772.0,9703340.0,,,,
100240001382,,0,0,0,0,0,,,,
100440006599,,,,,,,,,,
101040002465,,22000.0,17600.0,0,141600.0,35200.0,,,,
101241012782,,31627896.0,40221993.0,45237949.2,47158229.0,17136832.0,,,,
110940011169,,,,,,,,,,
120141017969,,41235.6,25051.0,25414.7,23757.0,39896.0,,,,
120841016202,,24605451.9,21408077.2,39854279.3,40936603.7,8564510.7,,,,
130441025080,,137439369.3,187625176.4,166355568.5,177181414.8,36156262.6,,,,
131040017240,,70731667.0,58849688.0,58504562.5,69762066.4,58296626.0,,,,
