BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000240002706,,39762073.6,276487028.0,1049040160.0,2138962371.0,61488607.0,,,,
001140000590,,1856888051.5,2332626792.9,2769208866.7,3937706879.6,853163658.5,,,,
010740001371,,4689842157.4,1163249117.6,2539989462.6,748979339.8,407186435.8,,,,
020441006983,,,,,,,,,,
030941002762,,8675640551.2,4789934252.4,2851894408.0,212256864.1,109189002.8,,,,
050540008349,,1786881892.7,1924982176.4,1145095744.6,908291362.9,162841568.2,,,,
050640000298,,1042126352.8,2998739235.3,3098099694.6,2845419152.5,1401661660.3,,,,
050840000334,,982754116.9,4422226483.7,13403450361.4,9477310629.2,12236299929.7,,,,
051140000163,,-1292178.2,697192.4,100784.0,0,0,,,,
070941023564,,282638217.5,144048810.6,114844544.4,201816939.5,113353810.7,,,,
081041016345,,,,,,,,,,
091141018017,,,,,,,,,,
930940000312,,398877729.5,323640211.7,226946098.5,117397829.5,21095872.8,,,,
931240000200,,6600.0,0,0,0,0,,,,
940640001420,,1172801121.7,1915606025.9,1580635276.6,1225880740.8,110223083.0,,,,
030140002252,,318169850.4,2135080466.4,1658327674.7,2356621619.1,2367755253.4,,,,
070740008082,,366810840.3,327381495.1,263049828.9,216159980.1,94627895.5,,,,
940440000613,,1454887052.5,110684765.3,359397591.3,10293913.6,14981262.0,,,,
001040003175,,318625782.9,256527365.1,710818274.5,949138102.8,249356151.4,,,,
001241000301,,396004688.2,320281513.0,333609578.4,564483601.0,226248926.7,,,,
010740001502,,8531004589.6,10160283490.1,8655631940.2,7275866606.9,1921349403.5,,,,
020640002982,,1622636704.7,1623492862.1,1815882348.8,3439425916.2,1346239046.8,,,,
030440005327,,330314013.7,79984705.9,33123390.1,113348628.5,29520243.0,,,,
040540000212,,641198841.6,891247798.4,724649662.9,863261053.4,436040242.9,,,,
051040013032,,,,,,,,,,
130141000966,,,,,,,,,,
940940000691,,1061852939.6,2154983972.7,2599649334.1,4074536402.7,72644020.6,,,,
970340000566,,316089736.4,9875187.2,452540.0,6156505.6,0,,,,
980540001197,,4155487411.4,2109915825.7,9213526012.8,4581493198.6,2840328251.5,,,,
980940000460,,214031138.9,690666487.6,401184264.1,579785288.5,111446425.0,,,,
