BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
140940022137,,0,0,0,0,0,,,,
150740003495,,,,,,,,,,
150740003782,,0,0,0,0,0,,,,
150740003801,,0,0,0,0,0,,,,
150740003851,,15228442.0,26775474.0,65835971.8,38397570.6,20051436.0,,,,
150740003990,,1108358.2,1531.5,0,0,0,,,,
150740004007,,337877.0,34506299.3,76905489.8,225920382.2,65678296.0,,,,
150740004027,,990485.0,5153398.0,1697130.0,25637966.0,33545542.0,,,,
150740004057,,1118009.0,5820975.9,3365805.1,1492959.2,0,,,,
150740004067,,0,20457.6,0,4099.6,0,,,,
150740004077,,,,,,,,,,
150740004087,,0,0,0,0,0,,,,
150740004097,,0,0,0,0,0,,,,
150740004106,,0,0,0,0,0,,,,
150740004116,,102257.1,780000.0,1162530.7,676075.8,0,,,,
150740004126,,0,800.0,0,0,27256.0,,,,
150740004136,,0,0,0,0,0,,,,
150740004146,,537839.1,319682.0,34609409.0,174999290.6,3216281.3,,,,
150740004156,,0,131310.0,0,0,0,,,,
150740004176,,25586785.0,63885384.0,53654686.0,75317794.0,19079290.0,,,,
150740004275,,0,0,0,0,0,,,,
150740004443,,8058.7,1256118.5,9200437.0,967100.0,5737060.0,,,,
150740004463,,,,,,,,,,
150740004562,,219928.0,106335.2,0,0,0,,,,
150740004621,,19189005.0,15564988.0,71873694.0,20075239.3,4766641.0,,,,
150740004681,,0,0,0,0,0,,,,
150740004720,,,,,,,,,,
150740005035,,0,0,0,0,0,,,,
150740005095,,0,0,0,0,0,,,,
150740005263,,0,0,0,0,0,,,,
150740005322,,0,0,0,0,0,,,,
150740005491,,0,0,0,0,0,,,,
150740005550,,57500.0,57100.0,385750.0,3082904.0,6576267.0,,,,
150740005818,,32880.0,0,0,0,0,,,,
150740005987,,0,1389.0,0,0,0,,,,
150740006112,,0,0,0,0,0,,,,
150740006172,,0,0,0,0,0,,,,
150740006320,,,,,,,,,,
150740006509,,13984251.0,2864947.0,917124.0,10139973.0,44230.0,,,,
150740006698,,,,,,,,,,
150740006767,,0,0,0,0,0,,,,
150740006915,,0,0,0,0,0,,,,
150740007190,,,,,,,,,,
150740007219,,0,0,0,0,0,,,,
150740007232,,0,0,929054.1,1017273.8,0,,,,
150740007418,,4530641.3,23284602.0,204143361.3,355393903.8,54263813.2,,,,
150740007428,,,,,,,,,,
150740007527,,660014.1,13663545.1,38932340.0,14247799.9,0,,,,
150740007537,,0,105036.0,901317.0,2365764.0,389889.0,,,,
150740007606,,0,39800.0,120383.0,40772.0,2177033.0,,,,
150740007636,,,,,,,,,,
150740007715,,0,1532.0,0,0,0,,,,
150740007824,,369661.9,195790.0,616.0,0,880.0,,,,
150740007864,,0,0,0,0,0,,,,
150740007884,,0,426580.1,29324160.0,-1070503.4,0,,,,
150740007894,,0,0,0,0,0,,,,
150740007953,,0,0,0,441812.7,2295208.0,,,,
150740008189,,,,,,,,,,
150740008199,,0,0,0,0,0,,,,
150740008228,,6725.0,431620.6,7051699.0,6980476.0,0,,,,
150740008248,,9365377.1,7964017.8,25427339.6,65433989.1,7651428.0,,,,
150740008268,,0,0,0,0,0,,,,
150740008337,,7652357.0,18241978.2,112213567.0,62193597.6,69520726.4,,,,
150740008406,,0,0,0,0,0,,,,
150740008426,,0,0,0,0,0,,,,
150740008436,,0,0,0,0,0,,,,
150740008595,,3126381.0,2864306.0,1559551.4,282321.0,777582.0,,,,
150740008634,,41457821.0,39461000.0,62704000.0,38452500.0,54015067.0,,,,
150740008971,,,,,,,,,,
150740009147,,,,,,,,,,
150741007502,,0,0,0,0,0,,,,
150741008164,,0,0,0,0,0,,,,
