BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
010140000440,,183704939.9,264061370.3,320088363.0,385254282.8,233402833.6,,,,
010240002103,,248178274.6,130225495.6,179129515.9,192723214.8,27629088.0,,,,
010840003679,,595710090.3,527833776.5,974459582.6,878735261.2,212319022.8,,,,
020240005823,,,,,,,,,,
030440001374,,30159039.2,5109619.0,270244.0,3185346.0,50668.0,,,,
040740000428,,,,,,,,,,
041140003196,,2212625516.4,229363436.1,232151938.4,124879017.0,32035504.8,,,,
060541009835,,375390028.7,502808581.8,605054233.7,700013767.7,218809985.0,,,,
061040014002,,937743131.8,1040156472.8,44425685.0,25930042.0,8963799.0,,,,
070140006202,,75791821.6,66443184.4,119616008.8,23711600.6,191830.0,,,,
070840000754,,49681748.5,75147590.0,120761198.3,111927771.6,451472.0,,,,
080340021027,,,,,,,,,,
080440023814,,20060346.0,22124063.1,42413866.5,48123549.1,11625739.8,,,,
110340012600,,1696437104.7,2145036006.8,1940707427.0,1896584891.7,600691184.4,,,,
110441015664,,,,,,,,,,
130340009545,,75291711.0,38082672.0,52112707.0,55645509.0,246073230.0,,,,
150141017240,,0,0,0,0,0,,,,
150641010484,,146772551.5,130167005.7,146573719.0,212564007.0,49271244.0,,,,
970840002352,,870539862.8,819410866.3,797604102.5,450043730.4,197772385.2,,,,
980940002972,,346201309.8,421105089.2,609941811.9,550877936.3,484529720.6,,,,
010141014238,,,,,,,,,,
010341009932,,,,,,,,,,
011241008606,,0,0,0,0,0,,,,
031141008864,,,,,,,,,,
031141012525,,,,,,,,,,
031141012684,,,,,,,,,,
031141012961,,,,,,,,,,
031141016032,,,,,,,,,,
040741005464,,0,0,0,47626.8,16907.6,,,,
040741007024,,0,0,0,0,0,,,,
040741009744,,,,,,,,,,
040741009823,,0,0,0,0,0,,,,
040741009922,,,,,,,,,,
040741010361,,0,0,0,0,0,,,,
040741011290,,0,0,0,0,0,,,,
040741011637,,0,0,0,0,0,,,,
040741013445,,0,0,0,0,0,,,,
040741021476,,0,0,0,0,0,,,,
040741021486,,0,0,0,0,0,,,,
040741023899,,0,0,0,0,0,,,,
060641022553,,,,,,,,,,
100541003701,,,,,,,,,,
100941016847,,4326745.0,1470080.0,1720842.0,80000.0,0,,,,
111141001676,,0,0,0,0,0,,,,
120541019355,,,,,,,,,,
130141020772,,,,,,,,,,
130441032569,,,,,,,,,,
130441032589,,,,,,,,,,
140141017774,,,,,,,,,,
140341023171,,0,0,0,0,0,,,,
140841015961,,,,,,,,,,
140941028510,,,,,,,,,,
141141024670,,,,,,,,,,
051041017744,,,,,,,,,,
080642019314,,,,,,,,,,
130742011929,,,,,,,,,,
