BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
080241016588,,1218764900.1,1494383848.3,1182388944.0,901288659.0,286967484.0,,,,
981240000488,,797132613.7,3598139099.0,4935871132.5,2928425497.5,251215034.8,,,,
060740004246,,72564813.8,49423682.2,83594212.1,259784.9,5761410.0,,,,
070640001130,,723634.0,23082.9,0,9361288.6,18981582.7,,,,
980941014456,,47906.5,0,0,0,0,,,,
000441001156,,1031601.6,6043597.5,5255367.2,24593301.3,348539.3,,,,
061041005475,,8501307.0,36180.0,459663949.2,853509274.0,46875270.0,,,,
070141004856,,,,,,,,,,
090941015547,,,,,,,,,,
100341003477,,,,,,,,,,
150341014560,,,,,,,,,,
980941014456,,47906.5,0,0,0,0,,,,
