BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
011241001292,,,,,,,,,,
011241002588,,,,,,,,,,
011241002845,,,,,,,,,,
011241003030,,0,0,0,0,0,,,,
011241007241,,,,,,,,,,
011241008130,,,,,,,,,,
011241008204,,,,,,,,,,
020440003517,,683633834.3,878139462.2,1708132897.0,2096079543.4,285597655.0,,,,
020540003431,,52865426716.8,28948454109.6,47823891294.7,34892052965.6,1405150169.7,,,,
031040000572,,5510724049.6,6557807099.2,5266311290.4,22831417099.3,9052869508.2,,,,
031141004554,,,,,,,,,,
031141007172,,,,,,,,,,
031241002294,,,,,,,,,,
031241007493,,,,,,,,,,
040841005438,,,,,,,,,,
041141006285,,350424340.5,417268427.7,536871647.2,626451188.2,261220346.1,,,,
070341008390,,,,,,,,,,
100640019191,,644148475.8,791686161.4,1094558069.1,1322329750.1,398007787.4,,,,
110941015187,,0,0,0,0,0,,,,
111141001389,,,,,,,,,,
121241017449,,,,,,,,,,
131241012837,,,,,,,,,,
131241014328,,,,,,,,,,
131241014655,,,,,,,,,,
140641010567,,,,,,,,,,
000141006136,,,,,,,,,,
011241001064,,2749293345.0,3293395389.3,3804909689.4,4094177922.0,1361792722.7,,,,
011241001292,,,,,,,,,,
011241002588,,,,,,,,,,
011241002845,,,,,,,,,,
011241003030,,0,0,0,0,0,,,,
011241007241,,,,,,,,,,
011241008130,,,,,,,,,,
011241008204,,,,,,,,,,
020141003353,,0,0,0,0,0,,,,
031141004554,,,,,,,,,,
031141007172,,,,,,,,,,
031241000644,,15977176.8,22577204.2,26915481.5,32052866.4,9272409.3,,,,
031241000654,,14516838.0,21720155.9,29223495.9,37073266.6,10889161.0,,,,
031241000743,,23797331.7,35778794.6,53199806.6,74992244.9,21495107.9,,,,
031241000921,,0,0,0,0,0,,,,
031241001464,,11173053.6,17618334.6,24629323.7,29306037.8,9514569.0,,,,
031241002294,,,,,,,,,,
031241007493,,,,,,,,,,
040141000622,,11023452.0,16426743.4,26130067.7,25778249.4,8101328.3,,,,
040141000898,,8010040.5,11083105.6,14581745.7,19365440.4,9765550.0,,,,
040241001047,,7894779.4,11311898.4,15493465.7,19128057.7,5437140.0,,,,
040641000995,,14787907.8,19688804.2,27620667.2,34371131.9,9749355.1,,,,
040841005438,,,,,,,,,,
041141006285,,350424340.5,417268427.7,536871647.2,626451188.2,261220346.1,,,,
060241018461,,71544099.4,83828828.3,84296806.5,90106886.5,47198957.1,,,,
070341008390,,,,,,,,,,
090341011314,,,,,,,,,,
110941015187,,0,0,0,0,0,,,,
111041008520,,,,,,,,,,
111041014723,,0,0,0,0,0,,,,
111141001389,,,,,,,,,,
121241006907,,0,0,0,0,0,,,,
121241017449,,,,,,,,,,
130241006532,,,,,,,,,,
130641004629,,,,,,,,,,
140641010567,,,,,,,,,,
980541009237,,,,,,,,,,
980541009247,,,,,,,,,,
980541011141,,,,,,,,,,
980641013080,,,,,,,,,,
981041009658,,,,,,,,,,
981041011035,,,,,,,,,,
981141009804,,,,,,,,,,
981141010269,,,,,,,,,,
990241018603,,,,,,,,,,
121042017170,,,,,,,,,,
140442022529,,1074508.0,539218.0,539862.0,546557.0,105569.0,,,,
