BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
010240000404,,2118085207.7,2820852378.7,3189893861.3,3990813227.6,895471836.5,,,,
010240000910,,726124622.4,1004945962.4,1099673315.4,1896929358.6,611845948.8,,,,
011241003139,,,,,,,,,,
060441012905,,476661303.0,93447238.0,68503790.7,54360655.0,9425088.0,,,,
061041010322,,337391099.0,295206093.2,120309448.0,122367074.0,52231220.0,,,,
070541013057,,748103877.0,689292216.9,521601818.0,286641603.0,151894348.0,,,,
080940017279,,25952799.2,37285086.0,71216241.0,2507435.0,0,,,,
091041004551,,377910833.6,581352796.8,674608586.2,697512289.2,182303249.4,,,,
101040011256,,61607321452.9,64502353919.0,94845084970.8,97189480363.4,30705104758.2,,,,
950440000010,,8275144719.4,15653452318.0,12153765453.2,13931956358.2,3762178428.6,,,,
960840000681,,279237355.5,489488316.8,516909370.8,603617032.4,222772804.0,,,,
990640000283,,1796601090.0,5909566340.7,5127086448.2,3564366178.1,460064228.2,,,,
990940003176,,18070989971.4,23450504316.0,18991867407.2,28919658369.8,14749954890.1,,,,
020140002588,,3197345.4,4240626.1,3912086.7,5238494.5,3064255.5,,,,
030540001754,,43655181.1,81159364.0,20044849.0,100466513.0,8599213.0,,,,
030640002677,,199739615.7,243335670.0,271369762.0,303258771.0,66206677.0,,,,
031241006029,,,,,,,,,,
031241009211,,,,,,,,,,
040440000299,,183597879.2,216818161.9,253188681.0,256981905.0,45348361.0,,,,
040540003019,,131306677.0,112449583.2,78907547.7,225222262.0,77266353.4,,,,
040740000428,,,,,,,,,,
060240016559,,140582473.5,163270302.0,214805232.9,285020621.6,166801911.0,,,,
070240006721,,0,3,0,0,0,,,,
070340002425,,707599556.1,698460370.0,483079146.4,519980136.4,148252603.9,,,,
090340006957,,129324438.4,134471588.0,160983086.3,131154436.5,6969.0,,,,
130441000263,,,,,,,,,,
131041012255,,,,,,,,,,
131241005636,,,,,,,,,,
131241008393,,,,,,,,,,
131241010464,,0,0,0,0,0,,,,
140341001636,,,,,,,,,,
150340015936,,,,,,,,,,
480140000010,,,,,,,,,,
920740000254,,46737034.4,74851142.6,83767056.9,82947216.2,18268042.2,,,,
931240000111,,468806882.4,728048254.3,534254541.3,234158152.4,26031213.2,,,,
940940001144,,270542839.2,267045087.1,349193032.3,439354899.8,184428723.6,,,,
950241000524,,,,,,,,,,
950740000537,,137859566.7,65523252.0,296609528.1,107502920.2,72898239.0,,,,
960440000121,,190316905.5,109540373.9,164706214.5,113708336.6,42301186.2,,,,
981240000031,,324173607.7,704912849.1,801524501.8,868722808.3,224921229.0,,,,
990240003065,,,,,,,,,,
990240003769,,,,,,,,,,
000440016169,,560965.0,0,105.0,3400000.0,0,,,,
000840003121,,126305640.8,169428246.8,218038959.3,263032023.9,96622360.6,,,,
001140001965,,233151270.8,303021388.5,357191130.7,494400588.6,-9050921.0,,,,
001241002506,,139930613.7,197463056.5,267324504.0,558496082.3,130240462.0,,,,
010140000906,,0,0,0,0,0,,,,
010740001738,,283951371.9,221815377.5,412319510.5,442670597.7,129800045.1,,,,
010740003328,,40126345.7,84730981.5,82047162.1,48840331.6,25236850.3,,,,
011241001788,,,,,,,,,,
011241002270,,,,,,,,,,
011241002885,,112396172.0,156567080.8,184004431.5,205444931.7,55510039.0,,,,
011241003040,,,,,,,,,,
020240007874,,116633408.3,102576192.0,46534468.0,26788186.1,57991238.8,,,,
020340005381,,119696132.2,170397413.1,83765023.4,315814730.7,14831709.0,,,,
020741002822,,4265577734.4,5160823206.1,6204503948.5,6767011266.9,2960697099.9,,,,
020840001753,,-26595366.9,64696641.6,23790313.0,3654645.2,189391.0,,,,
030841007809,,98186299.8,105025701.9,112464772.0,131462093.8,31772295.0,,,,
031140000596,,829406471.2,1340906301.3,1806785156.9,559436734.6,138581348.6,,,,
040440004053,,92693990.3,119973419.0,72314772.5,92568587.0,47119917.6,,,,
040440004172,,0,0,0,0,0,,,,
040440004480,,93226203.1,89602193.9,116786407.0,154674975.9,20830366.0,,,,
040440005686,,99956040.9,223776056.6,136031414.3,176313056.2,36722812.0,,,,
040540002883,,100984340.2,117540777.3,145423059.3,139401332.5,47864707.6,,,,
040540002912,,136378089.7,136442747.9,159649406.0,165479483.2,85847671.0,,,,
040540002922,,93655296.5,98643031.5,80594851.0,149317364.8,20456578.0,,,,
040540002942,,70540285.1,44977691.7,78632944.7,101146672.1,30258202.8,,,,
040540002972,,105704057.4,125943721.1,172886805.0,155299752.1,23615126.5,,,,
040641005718,,0,0,0,0,0,,,,
040641006766,,0,0,0,0,0,,,,
040840007250,,13348896.7,44449027.0,30002621.1,87088207.3,18815128.7,,,,
040940005169,,71109511.3,80246226.9,92399926.4,77781975.9,40571271.0,,,,
041240007023,,30278765.1,65455446.6,64473773.0,62131884.8,34132275.0,,,,
050340004933,,36694901.4,26249841.0,80364411.7,118393359.3,48342994.6,,,,
050340008669,,633383447.9,690713688.5,694812748.5,698566410.8,190589101.8,,,,
050540005822,,570293977.9,902861149.7,1033893935.8,939458925.4,176788260.5,,,,
051040005150,,135641134.6,188555846.7,229933331.6,276839056.8,107541057.3,,,,
060540003994,,1010145007.5,717239343.4,929150926.0,1382577622.8,337677555.0,,,,
061240009468,,3819258.3,1976747.0,32335.0,0,0,,,,
070140008922,,4706762.4,13067.6,0,7394564.5,0,,,,
070341007917,,,,,,,,,,
070440005027,,185194824.5,201626329.7,246598758.6,230815367.8,40550826.2,,,,
070640003008,,94953533.4,123371851.6,147768386.6,230494088.5,202963112.8,,,,
071040006472,,195673676.9,239098768.7,235223001.8,291652753.6,196349548.5,,,,
071140012814,,703972928.4,405694835.2,639208088.9,299838548.9,41735215.8,,,,
090340005863,,144430298.2,119613548.6,155391395.0,138278508.8,90257446.4,,,,
090340010380,,45844335.1,59817307.0,61751654.0,76009328.8,6713230.0,,,,
090642000018,,223127739.9,252754380.1,282152395.5,340575609.9,114765499.7,,,,
100240006135,,1030171741.8,1687601719.6,1935482936.7,1880225912.5,326676018.2,,,,
101240017133,,177156913.0,212578110.0,259632221.0,325308948.6,17318019.2,,,,
111241020844,,,,,,,,,,
121041001008,,,,,,,,,,
130740005369,,6924380500.9,14009110294.9,38406971950.8,56684099354.2,11906533887.4,,,,
141140001150,,108504867.8,155171641.3,222279209.9,232766166.5,66232236.2,,,,
391140000024,,20332246.3,30249298.8,40132918.8,36701260.6,13391311.2,,,,
630440000014,,45286229.5,58529750.2,82081079.6,95878446.4,45439247.8,,,,
830340000012,,40000.0,83000.0,-115750.0,0,0,,,,
911240000188,,,,,,,,,,
921240000398,,252426.0,1150194.4,119877.6,0,923.0,,,,
930240000466,,48345459.0,65356030.9,70371505.9,75472769.9,41363292.2,,,,
930640000522,,118473898.0,126211523.7,165288722.5,199618219.6,141013855.1,,,,
930640000699,,102835755.9,22837584.3,161082494.2,516565397.8,127403639.5,,,,
940240000309,,199469594.5,295187748.4,331521924.9,290828269.7,34700892.9,,,,
940340000898,,91808546.8,158835472.0,228743951.0,151103658.6,22317924.0,,,,
940540001176,,73162054.3,150246473.3,198394841.7,54674043.8,26088817.2,,,,
940740000911,,111028444.8,153868970.7,189600470.8,288323822.8,34267997.1,,,,
940940001273,,191147223.7,145899652.0,380829124.5,109927331.2,33953394.6,,,,
951040000653,,1332814.4,1713424.6,2683332.1,3148888.0,1852946.0,,,,
960440000508,,114309790.4,115375879.7,136140346.8,112081045.1,25440696.2,,,,
961240001096,,66648296.5,52040500.2,65654035.5,83096793.8,40688783.8,,,,
970140001150,,,,,,,,,,
980140002220,,240000.0,365389.5,356144.3,433948.0,144514.0,,,,
980140004434,,5309482.1,27843.9,0,0,0,,,,
980341000711,,191465408.8,235124296.1,269194219.0,308331269.9,189208051.0,,,,
980540000743,,84869456.4,125294837.3,122861353.0,45014687.0,14796437.8,,,,
990240001673,,72983281.5,29076230.8,52346711.7,409377.6,0,,,,
990240003075,,21006966.0,0,0,0,0,,,,
990340007507,,5746307.7,8725414.1,13415375.0,25358051.2,7737351.8,,,,
990540005220,,63947376.2,61035302.7,111121789.6,17645615.0,17830549.8,,,,
990740001522,,196570358.1,169706985.5,173328020.0,164298854.0,42909989.0,,,,
991141005026,,,,,,,,,,
991141005571,,,,,,,,,,
