BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
010841003446,,158971799.5,221977412.5,288435175.7,272088733.0,128977493.2,,,,
931240000200,,6600.0,0,0,0,0,,,,
950341000391,,,,,,,,,,
970840001295,,76579116.4,80313317.9,56484847.2,51707651.4,26109111.0,,,,
980140000600,,704614922.8,864815677.5,1129746269.0,1319387539.3,350423439.6,,,,
000340000951,,0,0,0,0,0,,,,
000740002407,,328081455.0,310982213.6,346359215.0,592311140.2,151122274.0,,,,
010640003651,,8500214.0,9001786.5,12070960.0,12698989.0,6701343.0,,,,
020141007257,,,,,,,,,,
020240003916,,236076931.4,251508617.0,269330362.9,268146739.6,139046696.0,,,,
020240003926,,196137265.4,198384784.1,268794212.5,267527386.0,78558219.0,,,,
020240003946,,258773525.2,245735775.9,324501865.4,316972375.5,78379041.2,,,,
020240004131,,264964327.7,292026484.1,380150499.0,407286783.3,136160952.0,,,,
020240004161,,191435444.3,224315465.5,264526409.1,279700196.0,68715591.2,,,,
020240004191,,265184024.8,218568580.8,279132037.0,297282867.6,63266818.9,,,,
020240004250,,179507837.8,131735123.6,297497155.4,266866071.6,131689751.2,,,,
020240004627,,130916964.2,120976402.7,133850254.2,171571360.0,74006495.2,,,,
030241004129,,347319399.4,406721165.6,484047459.0,572219266.1,284465849.0,,,,
030841005109,,9277168226.7,12684382189.2,11101452691.0,11050690061.6,2288234339.9,,,,
031141004554,,,,,,,,,,
040440000348,,123997218711.0,161783138384.9,170516201867.2,170775117788.5,50544803171.4,,,,
050440001209,,3373171371.6,4259755401.5,5302912737.0,5471665106.5,2292004947.5,,,,
051140002388,,1824765.3,4843613.0,5359934.0,77526416.2,47644408.0,,,,
051140002447,,-483003790.8,842666415.8,2126585722.5,2163610608.8,1053680426.1,,,,
060340004816,,62342189.5,92188528.7,101888449.6,113865538.0,27219179.6,,,,
060440002497,,2636338253.6,889322887.4,37581409.4,598818.0,0,,,,
060740001737,,2112350964.4,2137241693.6,4911567976.2,7122647685.4,2553539692.4,,,,
070440001301,,132296361384.3,156381345549.0,157520909135.1,161323110031.3,59552362589.7,,,,
081140016724,,5104.8,0,0,0,0,,,,
081240016416,,,,,,,,,,
100240018397,,554534614.2,682056325.3,820581481.0,864030338.2,350970293.0,,,,
100240023650,,623308704.1,776655543.1,874656387.7,895777466.0,291780960.0,,,,
100340003293,,354850584.9,426324526.0,478479780.9,542925667.2,309810900.0,,,,
100340010028,,437590194.0,527553722.2,660490121.1,630187849.4,258431621.0,,,,
100540016535,,933086412.9,920225635.5,729435353.6,1221110695.9,225734667.8,,,,
110140002071,,233941427.3,250557333.8,214922716.3,271657283.9,38086672.7,,,,
111141001389,,,,,,,,,,
111240015991,,178226872.3,213092099.9,243794917.6,237257215.6,96518140.2,,,,
130140003211,,93906.0,0,0,0,0,,,,
720140000022,,176362065.3,204005715.0,239783366.0,263491708.0,60731634.0,,,,
940140001175,,15623557.3,9680815.3,12044566.5,16147583.0,7398391.0,,,,
960640000189,,262377071.0,333262119.7,450910339.7,281525172.3,183045277.0,,,,
960840002423,,1631794852.8,2085120787.8,1638492721.8,2569726493.1,1063766428.0,,,,
970440000282,,0,7408.0,4624848.6,11307345.0,1841255.0,,,,
980240000900,,70113104.0,92030690.4,67725394.4,10902059.3,4733893.5,,,,
980340000191,,1419108253.3,1336182926.3,1972668836.2,2478511231.3,1608590445.5,,,,
990140003041,,254086791.6,295062293.1,331365395.0,441711893.1,205930653.6,,,,
990240006664,,249365408.1,364847230.1,398541808.8,408902033.1,105143642.0,,,,
990540001036,,16109447.0,19007595.1,28264660.0,26725745.0,14722164.0,,,,
990540002642,,8696828.0,11837911.0,12601103.0,11004589.0,7527709.0,,,,
990540003819,,20915939.5,30127581.0,33284662.0,30601769.0,10105762.0,,,,
990640000312,,5814427.0,6990058.0,5934109.0,4657666.0,1136180.0,,,,
990640004454,,6769233.0,10034819.0,13814048.0,15737079.0,11366712.0,,,,
990841000781,,0,0,0,0,0,,,,
991040002361,,598330560.5,934949386.9,1253507725.0,1303325702.9,365321158.2,,,,
000140000131,,188629778.1,256478827.7,223567790.0,331057018.8,54623458.2,,,,
000240003536,,,,,,,,,,
000240006362,,46414587.8,15790338.0,588664346.1,103183908.9,17640116.6,,,,
000440003177,,,,,,,,,,
000540003205,,88726912.1,70617283.0,106126207.7,23707218.7,24950874.0,,,,
000740002239,,98073261.7,105587717.9,143609547.0,165086573.0,38268531.0,,,,
001240000801,,300702489.6,266937909.4,628450365.2,731886229.0,125038346.0,,,,
010240003141,,117423016.3,168829500.0,133374133.0,135171819.4,61542124.2,,,,
010440005809,,2870579.0,3040315.0,2640098.0,1742132.0,800931.1,,,,
010840003143,,28590076.7,56845152.5,58851744.0,54943917.0,4507157.0,,,,
010940001963,,50516174.3,93285333.6,100864337.9,95388107.9,56042903.0,,,,
010940003672,,139770816.8,350498132.6,805304802.5,959602844.1,269333516.8,,,,
011040007645,,697684.7,189090.2,3041700.1,2238867.9,0,,,,
011241008130,,,,,,,,,,
020140015371,,2581793.0,3447140.0,320566.6,0,0,,,,
020240003798,,145086010.5,134910265.9,166931400.1,198737441.2,45866414.9,,,,
020340001854,,48575421.0,75710138.6,82858371.3,77478520.4,50586781.0,,,,
021040004375,,62151480.6,135222753.3,92642938.0,69573040.8,19318701.6,,,,
021140004458,,255722905.7,394456746.0,540544963.5,599364768.3,338338279.7,,,,
030240002008,,3416961159.0,3421737598.8,4596436662.8,4543821477.9,1434871580.5,,,,
030240004163,,495242.0,19909.5,0,0,0,,,,
030840001061,,0,0,7146200.9,0,0,,,,
031040000354,,2786044.5,165271.0,1800.0,3800.0,0,,,,
040340008865,,0,0,0,0,0,,,,
050140001060,,217198787.7,277727067.8,361336951.0,414551492.2,43089637.0,,,,
050441014682,,,,,,,,,,
050740003177,,235574878.0,410382534.9,826647367.7,754876538.8,107909524.0,,,,
060140000856,,139584585.6,317267914.9,197384851.3,343086549.2,55030850.0,,,,
061040002396,,139913018.3,1237123049.3,539045134.0,185874721.2,39789658.8,,,,
070240003013,,1567982.0,1759209.0,882928.0,452376849.0,0,,,,
070340006656,,0,0,0,0,0,,,,
070340007654,,170634918.0,491706818.0,501734183.0,272360728.6,0,,,,
070340007882,,802010056.4,1172737194.0,879084914.6,707966081.6,279156768.6,,,,
070440014591,,2142194.0,3128031.0,3281632.0,1886186.0,490442.0,,,,
070540001008,,0,0,0,0,0,,,,
070840006614,,253656849.3,280763416.4,344267542.3,360353366.4,198037553.0,,,,
081240000013,,20048314.9,23287703.2,31628516.9,33158991.3,22930030.0,,,,
090140017261,,1971823605.5,2176756401.0,2360204761.0,2489074683.8,630490949.0,,,,
