BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000240002706,,39762073.6,276487028.0,1049040160.0,2138962371.0,61488607.0,,,,
000540002083,,1324806415.8,1395132275.4,1837294334.5,1652458806.0,465045370.0,,,,
001040003521,,3475331059.7,3887055883.3,6185253176.6,6273451828.6,2109521006.1,,,,
010240002450,,274152682.4,475775271.0,466817076.0,475846284.0,38277943.0,,,,
010740001371,,4689842157.4,1163249117.6,2539989462.6,748979339.8,407186435.8,,,,
010740002528,,543390525.9,774238023.1,700116057.9,803772639.5,336504868.9,,,,
010940000162,,13481204421.1,39958613915.3,40453602770.5,35949768640.2,15328790765.3,,,,
010940002327,,659239991.5,947548760.6,1281876311.4,736625124.8,162177200.9,,,,
011140002221,,214981450.7,216449623.3,124926075.5,68259688.0,16871573.0,,,,
011241008329,,,,,,,,,,
020140002301,,10674867.0,11079686.0,14821621.5,14424255.4,7121631.0,,,,
020241004365,,,,,,,,,,
020340002288,,5953603484.6,9198886328.7,11170480582.1,14671492905.8,3487915639.3,,,,
020441006983,,,,,,,,,,
030340003228,,1164974990.6,1265162460.3,1402701648.0,1559157134.0,421494755.6,,,,
030640006605,,0,0,0,0,0,,,,
030641001991,,805506574.7,935194286.2,1089798560.0,1068245559.0,371415060.7,,,,
031240002398,,25214895.9,146581968.5,272774924.9,25771397.2,6529124.0,,,,
031240004969,,877666729.3,1011058237.7,1506915334.0,1654511399.2,353194161.2,,,,
040140001147,,1510839475.3,2629249598.1,2599550332.3,3008436368.7,808298805.7,,,,
040640000098,,102186236.1,97224140.0,66466772.0,117859729.2,40451463.6,,,,
040740002920,,2065257257.6,2305760451.3,2736679217.6,2919059275.8,964510308.0,,,,
041041009355,,471631129.8,745820309.4,888603466.0,1021660949.9,300553022.5,,,,
041140005083,,0,0,0,0,0,,,,
041241012927,,233755712.5,326640068.5,409478343.9,458617456.5,120202591.0,,,,
050940008016,,4715500329.6,5679599801.4,7467164137.1,6037397431.1,1807523421.1,,,,
051140000163,,-1292178.2,697192.4,100784.0,0,0,,,,
060440002605,,5919109456.8,8811675533.1,17234037008.2,15517960331.5,3937571067.7,,,,
060540006780,,747818427.1,984888164.6,1490845478.1,1358171143.6,337720343.0,,,,
060640001713,,7587551453.4,9391854480.1,8717694130.7,16163447560.2,5324037781.6,,,,
060640007336,,1630026124.5,1693264294.3,1994460160.5,2541433374.8,898400995.9,,,,
060640010217,,0,0,0,0,0,,,,
060840003599,,4007395416.0,7233374192.7,7257500653.4,3756796693.2,2231758616.7,,,,
061140012595,,51921067.0,354417319.2,6273.0,0,0,,,,
070140004107,,1675929214.2,2438627492.9,3774571441.9,2628556133.4,627011584.4,,,,
080541005355,,344582200.1,423695834.7,536619294.7,645850882.2,195431642.7,,,,
080740000861,,1993748729.0,2857019781.2,3277028347.8,4027416707.3,1235840836.0,,,,
080740002560,,0,12950002.0,0,0,0,,,,
080940014531,,8284468109.8,13290614468.7,14567391920.8,12169462194.0,4986995495.3,,,,
081040004326,,8056567591.3,8309702829.6,14592181785.6,16650765031.1,5199307422.1,,,,
081040013276,,2908930189.5,3507458646.9,4192547382.3,3774705236.5,330861201.3,,,,
081040018831,,0,0,0,0,0,,,,
090140012994,,45150852.3,96696817.1,2826554.0,2793086.0,698184.0,,,,
090840013770,,21378517642.6,17256254691.9,18060919824.7,15288761912.0,6409775880.7,,,,
100540002064,,542163377.7,562446498.9,832621180.1,910436714.1,306208410.7,,,,
120740006206,,256744661.9,687635406.9,1199020173.9,1398956302.2,115997265.0,,,,
380340000017,,1394346399.2,1679795258.9,2059171612.7,2935429026.0,1126010039.9,,,,
861240000017,,883849332.4,1096176082.0,1423092481.8,1413458186.4,389950134.5,,,,
911040000021,,2270.0,0,1725.0,1846.0,,,,,
920340000031,,,,,,,,,,
920540000128,,6422728641.5,6491229785.5,8928231997.8,9763410727.0,3160150891.0,,,,
930740000137,,40962302290.7,19167442523.2,20984144654.7,14334713603.3,6967627300.1,,,,
930940000164,,1467674313.4,1780866445.1,2227076901.7,3358854180.0,10454958908.4,,,,
931240001318,,672386000.1,638910790.0,886446206.8,1479955946.3,391752814.8,,,,
940140000385,,74478854294.9,137152715005.2,203035186244.7,249935320061.0,103025978719.8,,,,
940340000322,,1635707.7,129875.1,166530.0,13068418.7,0,,,,
940440000613,,1454887052.5,110684765.3,359397591.3,10293913.6,14981262.0,,,,
940540000499,,2084143714.9,1564852402.3,1796297337.4,1720300172.5,621611521.0,,,,
940540001140,,9335158867.1,12262930396.7,13901663701.7,12783940099.1,4848930263.9,,,,
940740001484,,2026103479.2,1950357634.0,2499907090.8,8492881342.6,2484931407.1,,,,
940940000691,,1061852939.6,2154983972.7,2599649334.1,4074536402.7,72644020.6,,,,
941240001151,,392692991112.2,298136670473.1,434671210062.6,459880816310.4,174282784095.5,,,,
950240000112,,4442749072.9,24689019793.2,37709759887.8,34641538916.1,12666318403.7,,,,
950440001445,,3800539905.7,4182610171.0,10292817005.2,3453002172.6,1306941410.6,,,,
951140000151,,3868010594.4,21501.2,0,0,0,,,,
960340000405,,2184769400.1,2490497112.7,2695066006.2,2893171934.0,710675108.5,,,,
960440000548,,641604421.4,426940509.6,796353674.3,387806093.3,349827974.2,,,,
960440001050,,52788.4,6719621.0,3450.0,0,0,,,,
960540000690,,53724237.7,81406937.4,118762710.9,159638892.2,0,,,,
960840000483,,4925572017.1,5985813539.5,9515014053.0,13120326080.8,2350556904.3,,,,
960840000512,,93547859.1,98287971.0,27050816.4,75083528.0,0,,,,
960941000145,,1174075083.8,1159094280.0,1365953193.7,2244867458.2,765646863.6,,,,
970140000241,,1153132681.8,1243926321.6,749458723.9,646497699.1,532481872.5,,,,
970340000219,,60955067.0,30863886.5,181235.3,0,1846.0,,,,
970340000566,,316089736.4,9875187.2,452540.0,6156505.6,0,,,,
970340000625,,482851745.1,695766424.3,985424356.0,878510175.0,236174694.4,,,,
970340003471,,0,0,0,0,0,,,,
970941000711,,,,,,,,,,
971240001315,,65100476813.7,77804314242.0,93351298323.2,105798251746.2,35809844558.5,,,,
971240002115,,30518419720.5,29549727506.8,24760058816.1,53066565299.6,19201934987.5,,,,
980140001422,,,,,,,,,,
980540001197,,4155487411.4,2109915825.7,9213526012.8,4581493198.6,2840328251.5,,,,
980540002879,,25018037698.1,34026758294.9,115754026732.6,24301661082.6,13389575943.3,,,,
980640000093,,4410050403.5,18308166501.6,62826866058.9,72950524302.4,31377874790.3,,,,
980640000182,,491722140.9,281622949.6,337959002.9,319380951.9,94883261.3,,,,
980941004042,,137568312.3,166310674.6,242443263.8,261370079.3,42293002.2,,,,
990140001154,,3257380346.0,3430894951.9,3800651920.3,4220157836.9,1367746017.4,,,,
990240000239,,0,0,0,0,0,,,,
990240002502,,518923707.1,599335584.3,776437398.2,805992242.5,197649531.0,,,,
990240002959,,391853184.5,509292136.9,496717100.1,589995958.4,142938061.0,,,,
990240005120,,,,,,,,,,
990240005438,,325209183.3,426944007.0,702659472.8,880202017.6,244046321.0,,,,
990240005606,,512552069.2,661562741.7,738919453.0,806383933.5,5322026.0,,,,
990240007246,,0,0,0,0,0,,,,
990340005977,,660166515.9,770461069.5,1021228129.5,417024005.9,3929362.7,,,,
990340008397,,326379178.7,313868455.2,423248895.7,352649672.1,112800152.0,,,,
990540002107,,112231253.3,143072428.5,158465682.9,167764429.5,14312802.6,,,,
990740000683,,8958834914.4,12960568121.8,24529199048.6,41307040467.7,16944003338.9,,,,
990940004405,,3768900076.4,4635475150.7,6604110481.1,6009357588.0,2069358787.2,,,,
991040000303,,1891661327.4,2024324142.6,458653109.9,116758441.7,31524711.6,,,,
991040000313,,5650531504.3,2109305269.8,11641552047.8,2643451296.0,448837859.8,,,,
991041003591,,179123352.4,214369656.8,285282258.9,391625175.2,192431157.4,,,,
