BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000140002217,,2415522999.2,3027910904.8,22589708253.8,21550580063.4,8775491197.9,,,,
000440006409,,2647528.9,2330750.0,2671101.1,2958421.0,863258.0,,,,
000640000596,,580939464.8,647930496.7,723745894.3,661551299.3,221616250.0,,,,
000740000728,,5045812790.2,4451156974.9,4325344811.2,4533759011.1,1578453214.8,,,,
000940002622,,2791494511.8,3177535596.3,3455923296.0,4128396880.9,1278743487.2,,,,
001040000498,,1090980219.1,1318117663.7,1581299844.5,1538394645.2,513487882.6,,,,
001140000590,,1856888051.5,2332626792.9,2769208866.7,3937706879.6,853163658.5,,,,
001240000405,,1142151163.3,2242059082.4,2884832893.8,3107844326.9,794409486.6,,,,
001241000301,,396004688.2,320281513.0,333609578.4,564483601.0,226248926.7,,,,
010140003594,,2033795554.4,2010117223.5,2835485491.3,3458967936.1,960161826.3,,,,
011240002017,,2104251290.2,2633504051.0,2891522565.1,3058404405.5,917413944.4,,,,
020440001144,,9082542574.5,8884066800.8,4261875970.2,7796496317.8,4751058338.4,,,,
020440003656,,1216918540.9,1915574867.1,2475903704.3,3138996134.1,1256123568.0,,,,
020540000922,,-1196533641.5,313127124.9,490669675.7,359362262.0,-446552037.0,,,,
020540003431,,52865426716.8,28948454109.6,47823891294.7,34892052965.6,1405150169.7,,,,
030140001998,,47230778.6,243130749.5,175926031.0,237097034.0,56603424.9,,,,
030140002252,,318169850.4,2135080466.4,1658327674.7,2356621619.1,2367755253.4,,,,
030340001539,,2344342696.5,1566443583.1,-635186604.1,1567490642.9,953667902.0,,,,
030340001648,,22974464.6,25092690.8,31987264.0,36447968.4,6926331.6,,,,
030340003832,,135916779.2,129422831.0,1051679105.8,163703835.6,81262734.3,,,,
030440000940,,2874070665.5,5027336070.5,6761384168.7,4330620296.9,9367723222.6,,,,
030440002799,,747928081.6,1043522343.7,1894191962.0,2288926283.7,581598110.3,,,,
031040000572,,5510724049.6,6557807099.2,5266311290.4,22831417099.3,9052869508.2,,,,
031040001799,,-76493778654.2,-29974335099.4,-355690132.8,-8913071740.5,-36270718753.9,,,,
031240004384,,,,,,,,,,
040240005450,,1596951595.6,3056920917.2,2042857230.3,2578618702.1,0,,,,
040540000212,,641198841.6,891247798.4,724649662.9,863261053.4,436040242.9,,,,
041041008941,,472936099.3,637819054.0,724179773.0,762862826.5,225777323.0,,,,
041140002633,,,,,,,,,,
041140002811,,3443802869.7,4739034940.2,3602364258.1,3846676730.4,1456965908.2,,,,
050340011064,,75561018.0,52810045.5,36303507.0,146769483.4,28712695.4,,,,
050440004570,,4610644.6,5366300.1,13691829.6,8645626.2,3456798.6,,,,
050840000334,,982754116.9,4422226483.7,13403450361.4,9477310629.2,12236299929.7,,,,
051040003263,,908450602.3,255440919.2,10149222.4,0,0,,,,
051140002348,,173074628.2,144675068.7,144232908.7,185312043.0,53356935.0,,,,
060240003537,,1162952799.5,1238168859.6,2378363348.1,2743269190.1,569305108.2,,,,
060940004828,,268043611.1,1142766476.8,1387415685.1,1701010055.8,428760407.3,,,,
061140007509,,,,,,,,,,
070740004377,,709610577.9,1265025157.8,1240729252.1,1334580307.5,340160452.8,,,,
070740007153,,1330702460.8,2.7,0,0,0,,,,
071040011941,,38972353.6,58624938.9,67822225.4,67923184.8,26123090.7,,,,
080340021097,,0,0,0,0,0,,,,
080540020707,,267973950.0,296016516.5,246974665.8,319818438.0,64821813.8,,,,
080740017519,,896508166.0,1373348826.5,1687975876.1,1818362806.9,1041280086.8,,,,
080940008218,,837533319.2,1052509695.9,1319567751.3,1681691360.1,481395544.6,,,,
080940019334,,1055365114.2,1292364984.0,1646457254.0,2108225979.5,1046968598.0,,,,
081040000046,,30165927.8,38946449.0,68546027.8,5999269.0,0,,,,
091041017098,,189480422.1,271507631.2,343659152.7,389019467.9,113143544.8,,,,
100140000797,,0,0,0,0,0,,,,
101240008878,,82961794.4,66559195.2,98024719.6,100821937.3,21809193.2,,,,
110740000364,,2708554385.5,3226419481.9,3839972477.6,4710789239.2,1176830411.8,,,,
110941009767,,560685009.3,698277977.3,878568392.6,1136853516.8,362222057.9,,,,
111240004906,,,,,,,,,,
120940010747,,,,,,,,,,
130940015918,,4120823865.3,20374986950.2,22338763478.1,22054237108.6,6554004059.2,,,,
880540000029,,575516087.0,546608548.7,335772937.1,425851121.2,76749084.0,,,,
920140000084,,5996436741.8,11814308286.1,11253662276.1,25808157930.4,11014345273.9,,,,
920740000383,,80118041.7,142829460.4,169754294.2,186104491.8,62032285.7,,,,
941140001504,,310078832.5,102689529.4,536467319.2,241365798.9,581274.0,,,,
941240000193,,29383091151.0,33777109548.0,30537567153.4,98307618300.9,4713853049.5,,,,
941240000311,,3126153481.7,3386122886.0,3246776539.0,3869148102.4,1548736281.2,,,,
950140000832,,360901197.9,635243061.8,788085387.2,898529912.5,376321616.5,,,,
970540000107,,35268908124.7,33430375351.6,39530864610.2,40703324950.0,12652881924.8,,,,
970740000392,,3001614562.6,12185844344.6,4936175445.0,-12247577365.3,-8529326078.1,,,,
970740000838,,22355607481.4,26920200277.4,31161558245.6,37568491332.9,10589570630.5,,,,
970740001013,,,,,,,,,,
980340000151,,434022168.8,705524644.3,436882885.3,603001401.8,302062135.8,,,,
980540000397,,36852815827.5,49451866635.8,61543841192.7,71080114277.2,0,,,,
980941003430,,135166009.8,138853378.9,233187529.1,278022355.7,67241449.5,,,,
990240007197,,320007095.2,355586196.0,302129333.1,281681223.6,190646454.0,,,,
990540002276,,998011768.4,838571441.4,1300303152.1,1393274675.1,470774060.6,,,,
990840000825,,1663747287.6,2149110699.1,6833835437.0,5873032446.9,1808150323.5,,,,
991140001226,,2777224191.5,3017021456.5,5614785508.8,22357083019.9,4617279838.3,,,,
