BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000241000874,,85455131639.8,239086304933.4,204402295299.6,210781827858.4,46681334371.3,,,,
001240000920,,24471250338.6,28932617359.4,35493740098.5,28765252124.3,5209175085.0,,,,
010341002201,,62469528.6,121719113.6,208725044.6,235898714.7,69146561.1,,,,
010940000291,,1108864963.4,808712655.7,1184765617.5,1138446110.8,728463933.2,,,,
020240000802,,9008489722.7,10803378968.4,14008403274.5,9283838085.2,1985598081.8,,,,
040740000537,,76565500797.5,112906199229.9,152535826264.8,154723131771.3,47157173652.8,,,,
050541006348,,132941707.8,155269194.0,231865932.1,308987455.5,79256197.7,,,,
050840002162,,906487140.0,669437525.7,60466682.4,80170022.0,22882315.0,,,,
070640004748,,3705889691.7,7730833237.1,8085982820.3,7900101230.2,2167419734.6,,,,
120240021112,,93406541582.4,159347755093.6,145861526390.6,167443721473.4,30256706244.4,,,,
930440000929,,1703003853155.6,4559407426212.1,3746456827712.8,3055981016772.5,534407796330.3,,,,
970740002267,,1700700444.0,2198601673.8,2088590137.9,4772091079.7,1296349430.8,,,,
970941000612,,,,,,,,,,
990240003987,,37356010.3,50538383.8,68662885.5,72376712.0,4676631.8,,,,
