BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000241000874,,85455131639.8,239086304933.4,204402295299.6,210781827858.4,46681334371.3,,,,
001240000920,,24471250338.6,28932617359.4,35493740098.5,28765252124.3,5209175085.0,,,,
010341002201,,62469528.6,121719113.6,208725044.6,235898714.7,69146561.1,,,,
010940000291,,1108864963.4,808712655.7,1184765617.5,1138446110.8,728463933.2,,,,
020240000802,,9008489722.7,10803378968.4,14008403274.5,9283838085.2,1985598081.8,,,,
030941002762,,8675640551.2,4789934252.4,2851894408.0,212256864.1,109189002.8,,,,
040740000537,,76565500797.5,112906199229.9,152535826264.8,154723131771.3,47157173652.8,,,,
050541006348,,132941707.8,155269194.0,231865932.1,308987455.5,79256197.7,,,,
050840002162,,906487140.0,669437525.7,60466682.4,80170022.0,22882315.0,,,,
060540013387,,389159202.9,171062945.2,120109707.0,341881610.9,44949560.0,,,,
070640004748,,3705889691.7,7730833237.1,8085982820.3,7900101230.2,2167419734.6,,,,
111240010396,,40838.0,42882.0,929657.0,0,0,,,,
120240021112,,93406541582.4,159347755093.6,145861526390.6,167443721473.4,30256706244.4,,,,
930440000929,,1703003853155.6,4559407426212.1,3746456827712.8,3055981016772.5,534407796330.3,,,,
930940000312,,398877729.5,323640211.7,226946098.5,117397829.5,21095872.8,,,,
940640001420,,1172801121.7,1915606025.9,1580635276.6,1225880740.8,110223083.0,,,,
970740002267,,1700700444.0,2198601673.8,2088590137.9,4772091079.7,1296349430.8,,,,
970941000612,,,,,,,,,,
971140000323,,3488245094.9,3140294777.1,2184570233.0,2932257923.5,1554194622.0,,,,
990240003987,,37356010.3,50538383.8,68662885.5,72376712.0,4676631.8,,,,
000141003349,,1485395660.0,1154587717.9,33202567.5,31233147.0,-44000000.0,,,,
000940001327,,161210795.8,229262741.8,122459362.0,16859707.0,7003600.0,,,,
001140001023,,37859863906.7,57102716190.1,77235899519.1,57902817711.1,23486121032.4,,,,
001240002005,,408792463.6,428694554.5,568398566.7,901374417.5,307172654.1,,,,
010140003504,,829299.4,0,0,0,0,,,,
010641000226,,17350712693.2,13085977752.9,16970144983.3,12502394712.6,1568464438.2,,,,
011040009562,,281411.0,0,0,0,0,,,,
011241003164,,,,,,,,,,
020240000604,,118905892.6,339536049.0,181783242.8,139893528.7,11667878.6,,,,
