BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
010440002379,,358467094.2,436345319.3,540651733.6,697462712.6,100543456.8,,,,
020240005823,,,,,,,,,,
020940001509,,689762391.7,797781307.7,867190758.1,1127798405.4,256742733.2,,,,
021240000409,,3996972053.8,3417268133.7,1832779748.0,1355880163.6,283323452.8,,,,
030340004913,,46058576.7,73356810.9,109518070.6,149972988.0,87805866.1,,,,
030840005887,,605195177.1,392316309.3,702826745.6,620301052.7,310188858.6,,,,
031140005329,,,,,,,,,,
040740006655,,,,,,,,,,
041140005787,,9332754834.3,12420474366.7,12826152239.6,16092796557.4,3740204181.1,,,,
060340000070,,0,0,0,0,0,,,,
071140024977,,492885524.9,516487416.6,596734941.3,683484450.1,212939139.5,,,,
080940019225,,40574391.2,50807883.4,59534290.5,5821188.2,0,,,,
091142015010,,,,,,,,,,
091240008010,,1582464484.6,1041031.7,1006771.6,344650.0,0,,,,
100440011476,,0,0,0,0,0,,,,
101140003724,,,,,,,,,,
101240019269,,319604832.1,309777124.0,263370350.6,315693103.0,43254720.2,,,,
130440013041,,244941503.1,301668703.5,377006845.5,363127718.8,86404766.7,,,,
130840007973,,248015545.6,303587489.2,405071903.4,543893831.7,124668587.0,,,,
140740012829,,18648138509.4,46535049461.9,47750915522.5,31446144731.4,8627118068.3,,,,
940640000511,,56439105.3,68383923.2,62134218.3,69846649.8,36651015.0,,,,
941040000097,,4146977276.6,7197206580.2,12154223072.5,6841941051.3,6485322972.1,,,,
950341000210,,0,0,0,0,0,,,,
950940000178,,-368325065.4,4521946608.9,7168695072.7,113409373.8,181867404.5,,,,
951240000551,,54371723.0,141822257.2,566592483.2,752347292.1,129008142.0,,,,
970140000211,,43512232868.3,91117502170.7,121604261867.5,-7576836451.0,1450101561.7,,,,
990240001722,,430950895.8,438229567.9,485405195.4,591222844.9,185641006.6,,,,
990240007414,,357455648.4,465163670.7,615350488.4,841951671.1,90573440.3,,,,
990340008684,,0,0,0,0,0,,,,
990340009444,,16288250.0,20493573.0,17796223.0,15611023.0,1952459.0,,,,
990540001228,,11163041.0,13107447.0,12142705.0,12353448.0,2216553.0,,,,
990740000108,,479876750.0,200265199.1,487912892.5,844515803.9,1096477945.0,,,,
000440001527,,12814342.6,14864079.3,16202185.3,13100594.0,8117.0,,,,
001040002612,,2527846.1,2993279.4,4666015.0,4417927.0,2836256.0,,,,
001140003006,,1337039.0,1438760.0,1682288.3,1749969.0,832496.0,,,,
010240000345,,641130713.9,66355061.6,51042944.0,623.0,0,,,,
010340000498,,140713053.2,157739635.3,147832737.0,131968315.9,42191234.0,,,,
010740001996,,879320128.7,375823275.7,479267798.7,436546995.6,115239827.0,,,,
010740004198,,332447047.1,535779862.0,610883758.0,575238919.6,153729328.6,,,,
011241008110,,,,,,,,,,
011241008204,,,,,,,,,,
020140003030,,4964778.1,4861109.8,7090926.3,7238838.4,15686742.0,,,,
020740003210,,289267637.6,426041147.5,492681522.3,504465365.1,214759187.0,,,,
021240001843,,495146991.2,13440686.5,17030.0,32216.0,19660.0,,,,
030340005541,,,,,,,,,,
030540000538,,3339671180.7,3881640811.0,3599959369.1,4066027497.4,1347959000.0,,,,
030540002366,,,,,,,,,,
030940004862,,,,,,,,,,
031241000832,,,,,,,,,,
031241006564,,,,,,,,,,
031241007780,,,,,,,,,,
040840001482,,3327701360.1,8157649323.4,10673781741.6,5907066570.4,1315091242.9,,,,
040840001955,,279115327.4,693723988.8,745013259.8,916574395.5,135941884.3,,,,
040940004399,,1910664589.7,2476238444.9,1216036099.2,730131542.1,205094202.6,,,,
050640015068,,236533.0,182319.0,163848.0,202014.0,109911.0,,,,
080640002349,,249459147.6,282420877.0,333617395.0,351218755.6,92468693.6,,,,
080640016814,,204963171.8,248755677.7,277701572.8,268277661.1,22410860.6,,,,
080640019859,,135190311.4,156145674.5,186970842.7,186054589.0,79992747.0,,,,
080641013825,,,,,,,,,,
080740008521,,190053488.2,204595065.4,223237144.6,242360156.6,40130155.0,,,,
080740012052,,136367016.8,148697531.9,223847169.3,217891107.7,96357202.5,,,,
100640019191,,644148475.8,791686161.4,1094558069.1,1322329750.1,398007787.4,,,,
101040006458,,2193790.0,2328401.0,183398.0,2562943.0,0,,,,
110441018242,,,,,,,,,,
111241021614,,,,,,,,,,
120740002838,,975130477.0,1369046108.2,1432803233.0,1521873847.7,512107850.7,,,,
130340009703,,132152936.2,138155442.5,166713093.9,176445713.0,41311712.8,,,,
130341025017,,,,,,,,,,
130441024667,,333299408.5,461803791.3,427963157.4,463899642.8,154975884.2,,,,
140440026302,,119263.4,23420.0,0,0,0,,,,
140840023648,,20507508.0,25106233.0,35678963.7,44185049.2,18440867.7,,,,
140841010306,,,,,,,,,,
141041019761,,,,,,,,,,
141140001140,,165724188.7,197577894.6,206030775.5,215769312.9,68582668.9,,,,
930340000251,,33038731558.6,60577508088.6,57148362930.5,60142692550.1,23789897335.2,,,,
930340000261,,1215145805.0,1671112330.4,1911922724.2,2715929206.6,856646177.2,,,,
