BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000240004524,,621425548.1,785669157.7,945894688.9,1058209555.8,215222928.3,,,,
001041000324,,,,,,,,,,
010340000359,,81296749.4,158388821.2,77977088.6,46485949.1,117960.0,,,,
011241008277,,,,,,,,,,
020740000236,,12207589578.0,29647767516.7,19954020753.8,14977806709.3,5004183054.9,,,,
020740005633,,,,,,,,,,
021140000722,,2127205287.2,1797049318.5,2861849147.8,3598276225.0,1640195476.7,,,,
031141004534,,,,,,,,,,
040342030199,,675072365.0,808741458.8,954575211.1,1034518183.5,501159980.6,,,,
040540001499,,1203462753.3,1581468178.1,1884947478.1,2230611046.8,963547504.9,,,,
040640005089,,988742576.8,1621812969.4,1230398591.6,2480166929.7,676308300.7,,,,
050140000656,,104057407226.0,109266197488.3,100489166917.9,100178212942.1,16903725155.4,,,,
050140001773,,4276801718.8,4734317532.1,5376926565.6,7037666457.4,928629819.3,,,,
050340003320,,682555676.5,650078873.7,760133607.0,1079851808.4,264422667.3,,,,
060140004076,,0,0,0,0,0,,,,
060441000268,,2977558071.0,4144569420.2,4153403155.5,5396568331.7,2148994659.4,,,,
060640003781,,449700906.8,574263185.3,855094066.4,1332517899.9,767680730.1,,,,
060641009902,,14256779802.6,18716646036.1,21135513086.2,26807894948.4,16168946292.6,,,,
061041001432,,,,,,,,,,
080940019027,,41808717.6,49521782.4,75331698.7,5767646.0,0,,,,
081140015375,,6193981130.3,6112415579.5,5464528952.3,6926912904.6,2411126251.1,,,,
090140004587,,2178661941.8,2341793711.8,2069434138.9,2129876153.1,741788062.6,,,,
090240011256,,17240440.4,25371235.0,32220409.8,29436077.0,15287293.2,,,,
100440003920,,385365582.0,686803221.7,495241912.6,605814165.7,97917272.8,,,,
101240019863,,88618124.0,92786898.8,415804548.0,519954992.0,219646478.6,,,,
110140012821,,2474011571.2,2255736393.4,2376108105.8,3021372755.6,675682355.0,,,,
110340016831,,0,0,0,0,0,,,,
110440001807,,12714645043.7,15974239940.2,18944514444.8,24424049595.2,7311596125.7,,,,
111141001001,,,,,,,,,,
111241020488,,,,,,,,,,
130141000966,,,,,,,,,,
130141000976,,,,,,,,,,
131241012837,,,,,,,,,,
140140017957,,,,,,,,,,
140141006987,,,,,,,,,,
140641022293,,3499421694.6,4513533234.4,5136965479.1,6539718053.5,1354105448.3,,,,
921140000592,,532036233.7,919863007.9,1392772105.0,1902827280.4,598209694.9,,,,
940740000703,,55522197.1,58211342.0,48762035.8,56145675.3,19363352.1,,,,
940940000255,,17726027040.0,13358371668.0,28248970285.9,26475674387.4,7877820463.5,,,,
941140001633,,1470577478.3,1544245057.7,977430897.7,31380729.3,157795401.4,,,,
951140000042,,111990455385.3,102521905643.0,36377593703.0,-1520779259.2,11333049938.5,,,,
970240000334,,7762643126.4,13373858778.4,7642606397.6,3196414835.3,2856349623.7,,,,
970641000334,,,,,,,,,,
970840001671,,1003047.3,1424725.8,945129.0,1073257.0,165875.0,,,,
980941001916,,174224257.6,177255988.0,259430281.8,271199743.4,65240014.1,,,,
990240001118,,1831.0,0,0,0,0,,,,
990540002444,,630908971.6,738778563.4,1131626212.6,1169709091.1,297877016.7,,,,
990840001724,,,,,,,,,,
991141005531,,156060108.4,196225467.3,247316743.6,251673445.7,98036804.6,,,,
991241004933,,,,,,,,,,
