BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
001040003175,,318625782.9,256527365.1,710818274.5,949138102.8,249356151.4,,,,
011241001321,,,,,,,,,,
011241003209,,,,,,,,,,
030640002151,,701493513.5,617613926.7,996198323.5,1322424104.1,575006940.5,,,,
040341005787,,2680890282.0,3272433890.3,3223749960.9,2031600379.1,627529095.1,,,,
040441006441,,28027957.1,0,0,0,0,,,,
050541006407,,574157087.3,565975445.5,622932522.7,768255250.7,435767453.4,,,,
910540000047,,4151824743.3,2536557714.7,4721611833.3,1172277340.5,1387758450.0,,,,
920240000127,,68738133649.1,99253767918.0,42781226519.2,14896946990.3,3534760954.3,,,,
930940000055,,828553644.1,1344169701.3,2226930774.4,2137802551.9,793322227.8,,,,
940940000413,,48711578.8,81506112.5,94728655.2,96052132.5,22466698.2,,,,
970741000566,,0,0,0,0,0,,,,
990140000384,,176203052.0,176812461.4,110060130.0,0,0,,,,
990240005319,,0,0,0,0,0,,,,
991141004820,,100573903.8,135394084.7,168608160.9,190687767.6,98366692.4,,,,
000740001815,,52918147.5,114764782.1,217781251.5,0,0,,,,
000740003633,,12022658.6,116002294.9,29213.0,0,0,,,,
001040000418,,102982707.4,166900748.3,152998944.8,135243340.9,42379685.7,,,,
001040002266,,749595146.3,371033384.4,374909588.0,417197895.3,474538495.2,,,,
001140001496,,56272761.6,12105174.0,295977929.0,7390615.0,17006841.0,,,,
010340003714,,10033575.2,11145225.0,13725862.7,21527459.7,2452991.9,,,,
011140000215,,146179964.0,285164244.0,340890071.9,332080900.9,143864775.1,,,,
011241002032,,,,,,,,,,
020140002479,,1563508.5,3207698.2,4660262.0,6946945.6,1311810.0,,,,
020641001157,,280464148.0,316993666.2,322983420.6,399424062.8,159148516.6,,,,
030440005802,,178737910.4,195108823.4,261576577.6,338668176.5,153782262.6,,,,
030940005395,,560539642.7,626332920.0,689136622.8,933442581.2,328761789.2,,,,
031040007758,,409539827.3,612553222.2,765149902.6,904343985.0,250377209.4,,,,
031240000544,,827216264.9,982380634.5,987924634.0,1992506266.0,593218647.0,,,,
031241003202,,,,,,,,,,
040340005711,,24.0,0,0,0,0,,,,
040840003426,,516882642.6,657114493.3,1852821308.5,1187705137.0,237300716.4,,,,
041240004108,,269026511.1,384408471.9,440917165.4,475836871.3,103229981.6,,,,
050140000011,,0,0,0,0,0,,,,
050140009818,,3567115.6,3766487.6,280930495.4,56421083.2,0,,,,
060140015983,,548468665.8,1042455186.4,1257035259.0,1038681519.2,400943137.0,,,,
060241005569,,73868033.9,103062419.7,164443234.4,165784895.6,36959120.4,,,,
070241017405,,3746511.0,2911760.0,3054342.0,592188.0,0,,,,
070640005123,,505017.3,543472.9,1001914.0,727454.0,116135.0,,,,
080940018297,,29834416.9,37175254.8,58732925.1,6363402.6,0,,,,
081240011455,,13812934.0,1109900.0,0,1365117.4,14087622.6,,,,
090240014964,,1690149.7,626450.1,1194055.0,1200350.8,,,,,
091040016877,,11870561.1,47959528.2,87646372.9,0,0,,,,
100340017114,,95457987.5,113352098.0,165792701.0,135710213.5,77211868.0,,,,
110140000603,,259637844.5,287666477.6,334189010.8,424308538.4,104133913.2,,,,
111241023096,,,,,,,,,,
120540007504,,12799170849.5,16235435610.9,16496247341.8,14452389118.3,5717107475.4,,,,
120741017009,,140679536.8,163578060.9,189264570.3,205343476.0,96770335.7,,,,
140741008846,,0,0,0,0,0,,,,
920940000291,,134338224.0,199897281.6,209411351.4,216625791.4,33953832.4,,,,
940640000551,,433220697.8,499480343.0,539493456.4,517466652.2,136773471.7,,,,
950140001068,,20305094.1,27922807.9,37631996.9,34081271.2,7087367.6,,,,
950640000692,,189090557.3,157245808.0,213804915.4,443648854.9,54746902.6,,,,
950640000911,,280206694.9,337758539.7,298747192.7,397938992.1,96143898.6,,,,
950840000144,,981585511.2,13301304112.8,12359205486.0,-4020981764.3,1183484398.4,,,,
960640000258,,151817739.2,171092029.8,190340506.5,194846382.0,47946362.7,,,,
970340000176,,122439425.2,217032614.9,314079641.6,295842256.5,261652031.6,,,,
980240001037,,56221845.4,106113825.5,120305259.0,234615364.8,91429144.0,,,,
980840000863,,494412918.7,619813913.8,597538430.7,705707374.8,209224970.6,,,,
981040002328,,2415638.0,2332267.4,2928479.0,3180382.0,1439578.0,,,,
981240015496,,64747595.8,30269572.3,21746786.0,49656339.4,12105484.6,,,,
990140001322,,,,,,,,,,
990140005187,,1493226380.1,2025887882.3,2075027742.8,2286296568.4,646786772.0,,,,
990340008486,,304921672.3,276095059.5,714538862.2,553624453.4,147214515.0,,,,
990640000779,,,,,,,,,,
990840001982,,47725556.6,596453.0,19136553.0,0,0,,,,
990940000076,,552834.2,381337.0,397639.0,425903.0,38017.0,,,,
991240001001,,358249396.6,497845457.0,513235147.6,606605500.2,242538579.6,,,,
000140000578,,108863637.4,172924189.4,243251199.0,180341204.8,39427312.6,,,,
000240004732,,15543997.0,65601593.0,6070242.2,1233.0,0,,,,
