BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
070740008082,,366810840.3,327381495.1,263049828.9,216159980.1,94627895.5,,,,
140140016919,,344141033.4,324433158.8,398858417.5,459729568.2,119446821.6,,,,
140640020390,,354328292.2,393915535.0,501175800.1,540295810.2,196751631.0,,,,
140740004907,,238684290.6,294095675.8,364981032.1,421162363.3,70541664.0,,,,
140740007416,,333524488.6,349126160.5,455649427.1,386541888.3,194124428.0,,,,
940540000210,,23417010944.3,37831958300.6,31794043429.9,26505879639.1,8857135197.3,,,,
940740000753,,24023695.4,37293834.8,51559493.7,56586004.8,23969150.1,,,,
960540000620,,198403363.4,279344521.2,338310278.3,488843161.3,88551911.0,,,,
981241000811,,10210711.5,515663547.6,738379984.8,901928246.8,399441987.9,,,,
990140001967,,319572725.8,381836633.9,468735197.9,553070362.8,143487400.0,,,,
000240002131,,222032098.6,150220294.1,243208412.5,769860455.4,31124244.0,,,,
010340003383,,202752428.7,520718808.0,631670599.2,429733374.2,26419589.2,,,,
011241003378,,,,,,,,,,
011241008190,,,,,,,,,,
021041001247,,,,,,,,,,
031141007360,,,,,,,,,,
040740003730,,50033912.4,569027200.1,78009479.3,125892772.6,21418564.0,,,,
050140010603,,250662195.7,135176567.5,375757930.5,820534256.5,51074995.0,,,,
050740005470,,777149026.4,1313383541.5,1395404423.0,1459606031.6,603504779.5,,,,
050740006657,,379803464.6,341804600.4,1210162955.3,3677947740.0,3814422025.8,,,,
050740006845,,487456975.0,717128109.7,554641430.6,560960774.8,242253931.6,,,,
051240000908,,145007.2,7960.0,1548814.0,37785441.7,7384.0,,,,
081040002508,,18027053.2,23667902.0,42576540.5,3552271.1,0,,,,
091041006439,,90922827.4,136273349.8,189482889.1,221624417.9,57992598.7,,,,
100740013156,,,,,,,,,,
110841002280,,187898415.3,282722315.9,308289724.3,774396793.6,120522959.5,,,,
110841003190,,4397491.0,3953286.5,2316518.0,496344.5,0,,,,
111241023145,,,,,,,,,,
131141028235,,,,,,,,,,
131241002097,,,,,,,,,,
140640021292,,169238020.0,181196405.0,243681394.0,273779902.0,72837532.1,,,,
140840001094,,118724133.8,175848963.6,261571056.0,267889271.6,108602623.0,,,,
920740000859,,7548456.8,17907297.0,28812917.0,38810195.6,35660807.6,,,,
940140000147,,528927282.7,493401122.0,688823681.6,288741226.4,180681819.0,,,,
940240000021,,38395600343.6,69892332350.3,69479726182.1,64401015548.5,26433233625.4,,,,
941040001055,,6010911495.5,7487377790.9,4892576032.9,6175814483.5,757148630.6,,,,
950840000065,,10487305827.3,15339971648.1,11623546972.7,4282119548.3,715729164.8,,,,
991141006530,,55668543.4,76027551.3,98058072.2,115424848.3,45394933.8,,,,
991240002046,,19181090.7,21490286.7,20289085.6,33979787.7,15171963.7,,,,
000141003746,,,,,,,,,,
000240002042,,0,0,0,0,0,,,,
000340001900,,811760716.4,1614758698.9,5828910711.9,3912207672.3,1537014584.4,,,,
000341006074,,174769.4,3008208.0,6714482.7,10404337.7,2776536.0,,,,
001040003125,,122718884.2,136395959.4,126202506.8,229817760.4,44845157.8,,,,
010240002103,,248178274.6,130225495.6,179129515.9,192723214.8,27629088.0,,,,
010240003934,,619729.9,157020.0,710007.7,70763.0,100.0,,,,
011241000462,,,,,,,,,,
020140001897,,128171337.6,189309165.6,225383117.8,209921990.1,78774146.7,,,,
020140003196,,4538203.6,4532178.3,4665153.0,4049744.0,891807.6,,,,
020341000603,,104611516.2,189952191.7,231078485.1,314480551.3,88535052.0,,,,
021140001861,,38267429.0,24129842.0,18455141.0,27564819.6,17286624.0,,,,
030340002150,,24674930.0,13432397.0,15771218.2,20831175.6,3629442.0,,,,
030340006887,,1486.0,0,0,0,0,,,,
030640005443,,2960373512.4,3876661748.6,2819735954.9,3334735428.5,986497251.0,,,,
031141006977,,,,,,,,,,
040240009443,,34255491.9,92993353.9,168528403.7,61959961.0,63839756.0,,,,
040440019227,,29248728.9,34230139.0,29460824.3,69721841.8,28623177.0,,,,
041240008963,,28750661.2,26934551.0,23449402.7,43358705.0,15466718.0,,,,
041240010905,,56984244.2,29664964.9,62539186.6,54688701.7,12449285.0,,,,
050340010175,,389910436.1,538666203.2,499794422.8,725140423.8,180273358.5,,,,
050440001239,,244382260.9,233208192.3,285041284.8,279645895.3,163877472.6,,,,
050540000333,,0,0,0,0,0,,,,
050740006290,,7901338987.6,9517344400.6,7742908254.6,5599175335.0,1333570736.1,,,,
051140001449,,22272226.5,11698518.0,5536860.4,58028621.9,2015334.0,,,,
051240015155,,0,0,3450.0,0,0,,,,
060540010332,,244814326.2,542281580.4,617735464.6,488272558.7,274569643.3,,,,
060541009835,,375390028.7,502808581.8,605054233.7,700013767.7,218809985.0,,,,
070341001690,,,,,,,,,,
070341008221,,,,,,,,,,
070541014164,,22120778.0,51444350.3,69595932.0,104883061.2,30198796.6,,,,
070641025391,,51245677.0,87891648.0,82368451.0,84911194.0,13240787.0,,,,
070840000754,,49681748.5,75147590.0,120761198.3,111927771.6,451472.0,,,,
070840007296,,1187556943.8,1373147361.9,1846260956.1,2735708978.9,798118320.7,,,,
070940014420,,8725942.0,6051776.1,1099378.0,3754688.0,736547.0,,,,
070940019530,,0,0,0,0,0,,,,
071040013244,,179488.0,479100.0,107444.7,0,0,,,,
080440003924,,83338298.6,95297641.9,132682790.0,129820895.0,37347987.0,,,,
081240016634,,,,,,,,,,
090740018271,,628348.0,686152.0,616079.1,1173366.0,230922.0,,,,
091041005689,,60192566.5,85433884.8,107583167.3,133849769.8,66051629.5,,,,
091241006961,,0,0,0,0,0,,,,
091241007018,,178.9,0,12606.0,1846.0,0,,,,
091241015663,,161586.0,0,0,0,0,,,,
100741006674,,20359569.5,36053582.8,65917999.5,50802125.7,14178995.3,,,,
101040002277,,119726568.1,141799948.4,168464864.0,159005498.0,6106067.0,,,,
101240019932,,138733086.6,162110261.7,198122368.5,238523627.0,118785429.1,,,,
