BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000440006300,,0,0,0,0,0,,,,
010540000910,,625721564.5,911225197.5,1660107503.0,1969563404.0,465553224.2,,,,
010840003679,,595710090.3,527833776.5,974459582.6,878735261.2,212319022.8,,,,
020540003223,,8257151098.3,11137973136.0,13037414273.5,15560997468.1,4292154565.5,,,,
020640002982,,1622636704.7,1623492862.1,1815882348.8,3439425916.2,1346239046.8,,,,
030240000329,,4854023474.0,4205981159.0,5538627323.4,7949943457.8,2415292422.3,,,,
040140004558,,1354384917.0,2625047863.3,3927864586.4,2859132354.1,1307677299.4,,,,
041140003196,,2212625516.4,229363436.1,232151938.4,124879017.0,32035504.8,,,,
041140013193,,0,0,0,0,0,,,,
050540008349,,1786881892.7,1924982176.4,1145095744.6,908291362.9,162841568.2,,,,
061040003532,,2368306796.9,2984615231.0,3449411683.1,4098506573.8,1221137262.5,,,,
120240020997,,175596088314.7,269709016360.9,198067159383.5,180662647502.6,7254025853.9,,,,
950540000524,,122974914033.6,205908238720.1,126302252447.0,163468386506.8,21449141427.6,,,,
971040000706,,9528220260.6,9826388619.0,12958505500.1,14551524291.1,2483095759.1,,,,
990140000483,,290627337724.3,434911101874.3,319565564369.6,304529923042.9,37990638794.1,,,,
000540004446,,0,0,0,0,0,,,,
010341002291,,154382394.7,502186556.1,634712268.8,712514036.0,200056446.7,,,,
011040001498,,1243882344.7,25369184.5,19559322.0,21378014.4,5000000.0,,,,
030240001703,,1665006955.8,2584450404.6,2893436016.5,2619813468.7,860487425.0,,,,
030340000622,,3997358914.8,94116275.5,49598674.5,98761484.2,9690869.2,,,,
030340001806,,5725315539.4,8573034724.7,262001645.9,3692.0,852291.4,,,,
031241006811,,,,,,,,,,
041241001357,,1111575198.6,1436696913.7,1874732298.6,2146040584.0,1253792455.6,,,,
050841004293,,154444726.6,551540267.4,671070077.7,770866402.2,216151325.9,,,,
051140001409,,7557450544.5,14116891303.1,9895008960.0,7733890881.2,1702131312.6,,,,
070140003228,,127204806.1,324704057.1,950388477.8,1118127517.4,340754228.3,,,,
070841010251,,,,,,,,,,
080541004149,,,,,,,,,,
081040007142,,15578640.0,25002818.8,51842132.3,2972799.5,0,,,,
081141004731,,1156116557.3,1365789083.0,1738632527.2,4560136309.9,2084951776.5,,,,
090740008918,,0,0,37166.0,0,0,,,,
100841001617,,3691035438.3,3482108832.8,0,0,0,,,,
120140006721,,1384697757.9,414534059.2,278766248.1,262661615.3,126453417.0,,,,
121241019426,,293867480.8,137865335.9,100759525.0,122783652.4,29934014.0,,,,
140841024267,,,,,,,,,,
860440000041,,138293158.1,97404707.1,213130400.5,219562558.1,48861396.6,,,,
920440000302,,2510596793.7,2871099226.8,2536148438.2,4505644795.1,1457640924.2,,,,
920940000826,,1188800891.5,2901636292.1,2199306766.3,1701878952.3,528336467.7,,,,
930640000430,,237200183.8,285205168.1,316022267.3,497286480.2,122215911.2,,,,
940340000055,,370322255.5,470089168.5,554688774.2,534278819.5,118491020.0,,,,
950640000959,,1166899474.1,1547930181.6,1955375224.2,2669379132.6,1151190668.7,,,,
961040000259,,829351616.8,1277921436.9,1215534513.6,971926966.9,315352342.0,,,,
970840000386,,316640279.0,327139692.7,420190159.0,696209891.0,204828637.6,,,,
970940000588,,623695309.3,475961053.9,550936728.9,550513283.6,221942496.3,,,,
980740002033,,,,,,,,,,
