BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
910140000121,,63149445.6,81445216.9,101287401.6,108614161.9,54317087.7,,,,
931240000210,,282979058.8,1147762485.1,187514342.1,334667213.7,131274189.7,,,,
931240000240,,179613675.1,386955297.5,2760845148.5,5059439322.7,1675308331.2,,,,
960340000702,,315640951.8,321989305.6,388583309.6,483503190.7,224789082.4,,,,
970941000602,,,,,,,,,,
980440001669,,48846488.1,54459072.0,24165752.0,44044262.0,7408253.0,,,,
980741001497,,0,0,0,0,0,,,,
990140000196,,685547139.1,716696830.5,675952792.3,970678554.8,192304133.3,,,,
010140001835,,0,0,0,0,0,,,,
020140002280,,1975518.9,3558836.1,3399537.2,3494370.6,410682.0,,,,
020141001149,,0,0,0,0,0,,,,
020440004357,,151979892.8,211321284.7,209717304.4,248390441.8,68801091.6,,,,
031140004905,,435313419.1,670782455.3,662919301.0,1005067188.1,59885664.6,,,,
050240010726,,48500664.6,196294342.0,304708603.9,11866924.3,92066353.0,,,,
050240013949,,239346187.7,705012202.7,254955325.3,23569321.1,1913030.0,,,,
071240019598,,116052454.2,187609113.8,205600377.0,169729722.1,3947482.0,,,,
081040000521,,22169034.5,29241898.2,53767756.7,5642755.9,0,,,,
090640013059,,178878660.4,202299694.4,247472993.8,222041383.8,63552430.0,,,,
101240019050,,168521100.2,188748730.8,217028477.3,271547682.4,73569154.5,,,,
111241020913,,,,,,,,,,
120240021599,,13096626.0,71218045.0,34371842.9,0,0,,,,
931240000558,,2578839551.5,1947000722.6,465377141.0,1037799518.3,146551821.6,,,,
940240000636,,1809814.0,1522214.0,783812.0,850255.0,19586.0,,,,
940640000716,,1942148719.9,2109271030.1,2544008330.9,2266901895.4,765865745.8,,,,
980741001615,,,,,,,,,,
980741001625,,0,0,0,0,0,,,,
990140000186,,3078835735.0,2198580099.0,2093498970.9,3892326891.1,866508204.4,,,,
990240005745,,224917562.5,231708140.9,280790632.4,292098372.9,97704933.2,,,,
990240005923,,594424173.9,844571528.0,861744567.5,884834197.5,338329509.7,,,,
990340003534,,159675243.8,160620742.4,228516984.3,218834554.8,59147451.0,,,,
990340004780,,122180478.8,126509575.4,161678130.2,170742110.7,45363397.8,,,,
990340007814,,163563259.8,190371301.7,230735900.1,247608537.6,104698605.0,,,,
000140004789,,135342173.0,183241398.4,205106919.9,222232509.1,91818526.7,,,,
000440004591,,0,0,0,0,0,,,,
000840000612,,,,,,,,,,
010840003778,,43241240.5,58976927.7,55392716.9,60648908.6,56921101.2,,,,
030640001837,,490346320.2,648930628.8,1081107532.7,2199949981.7,593881479.5,,,,
031241007661,,,,,,,,,,
040640004576,,202177837.0,281118176.4,76788534.2,8807169.3,12014465.8,,,,
040941005154,,0,0,0,0,0,,,,
041240006293,,119644615.0,108089958.3,208306807.0,102796732.6,32108256.6,,,,
050240008744,,0,0,0,0,0,,,,
070640013203,,15679138.9,27269444.0,18010519.5,10896822.4,718476.1,,,,
071140004477,,0,0,0,0,0,,,,
080340021027,,,,,,,,,,
081240017761,,,,,,,,,,
121140014179,,172477237.5,73267112.9,306392556.0,229884587.8,72105233.6,,,,
320340000016,,18280408.9,25471963.8,35034894.2,27226374.0,5632344.0,,,,
920440000253,,1226431762.7,983543239.1,1063656714.3,1991866150.8,417237380.0,,,,
941040001203,,107434513.6,123914370.0,168838065.0,208025485.4,93170924.5,,,,
950440000566,,223763332.3,254998614.5,346580991.5,402693420.4,63079919.0,,,,
951240001014,,185412599.0,159839412.9,91265220.4,92228410.0,38659705.0,,,,
960140000795,,132921382.1,141582037.9,178192139.4,220997332.6,47530301.0,,,,
960840001025,,577468873.0,408452756.7,716515966.4,770799126.7,151180351.2,,,,
970340001217,,101162062.5,149579088.7,122250912.0,67805981.2,22604715.8,,,,
970540000830,,5590393.0,7482170.4,12985856.8,14442272.0,5968451.0,,,,
970541000172,,162912978.4,203064609.2,236057154.3,276429017.7,64882440.7,,,,
970941003042,,,,,,,,,,
980240004031,,31725.0,0,0,0,0,,,,
980540000694,,82510441.6,191400681.3,127452665.0,105082843.6,88503145.9,,,,
980640001636,,169834209.6,156911683.4,157375657.5,108547559.8,27224380.0,,,,
980741001417,,0,0,0,0,0,,,,
980741001447,,,,,,,,,,
980741001457,,,,,,,,,,
980741001556,,,,,,,,,,
980741001635,,,,,,,,,,
980940002685,,106392553.1,118712078.6,194195497.4,113744656.0,37041948.8,,,,
990140000176,,234846323.1,77547401.3,300838836.2,292409877.5,44514109.4,,,,
990240005061,,0,0,0,0,0,,,,
990240006189,,172461538.2,226157221.8,252332970.0,337584840.6,2240438.5,,,,
990240006892,,48717656.0,70659663.8,115333315.0,123418545.0,52240461.0,,,,
990340000064,,97307117.6,103074019.0,117100551.5,175070044.6,31097918.0,,,,
990340006370,,45733238.5,53819789.0,55102592.5,82459570.7,20203109.0,,,,
990340006488,,0,0,0,0,0,,,,
990340006618,,180183226.7,190891490.4,229845844.2,235581342.2,30874757.8,,,,
990340008059,,100470074.8,91692663.5,135301238.8,127345745.5,22578839.7,,,,
990440000028,,383812792.4,313757594.5,423851140.9,220805416.8,105097797.6,,,,
990440000157,,73801692.9,70068957.6,109539379.0,143278122.8,75171345.4,,,,
990440005009,,76304837.2,75728768.6,103952872.1,104867924.0,26110354.0,,,,
990540003353,,113790346.3,309283560.5,16478635.0,44827292.0,37554879.7,,,,
990740003201,,75650249.5,94530010.2,109000197.0,134222448.3,2770661.2,,,,
990840001398,,46691462.2,77795081.7,87958347.8,206375684.0,51923865.6,,,,
991141004971,,97013837.2,131994570.6,170251018.3,188630143.3,92143777.7,,,,
991240002892,,418911.2,2227.0,0,0,1846.0,,,,
