BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000940000220,,9212144636.3,12036579149.3,13676739462.3,10450916400.8,4955077921.8,,,,
001140000362,,61021860507.3,124649768604.5,139245184214.0,142644385530.1,48023410795.2,,,,
010541005838,,271085903.7,288269132.2,258312487.4,163454992.4,0,,,,
011241002588,,,,,,,,,,
020640000163,,4748224447.3,4695392585.5,5194932391.7,6597724462.7,1915100907.0,,,,
040841007404,,,,,,,,,,
050340001374,,3150131254.2,12706872565.1,12148433024.2,12575976157.1,-273371749.3,,,,
050940003769,,2561213427.0,4834453559.3,4044116220.0,2657162444.3,556539721.4,,,,
070341015761,,686912527.7,82992160.0,21353891.6,245146022.2,-95467658.3,,,,
940140000325,,2375176288.0,17850147654.4,25153989414.4,6022262759.8,2708619964.3,,,,
951241000448,,4213260653.0,6535618478.3,6552151042.0,7483024407.6,1976916309.4,,,,
960340000148,,12375086441.7,13215502106.9,12217306701.4,12285332411.4,3471074367.6,,,,
960640000862,,1519547.4,1810130.0,1461475.0,212268.0,0,,,,
960840000532,,23478634411.0,31636852785.3,25566608456.3,31224750210.2,8648069847.8,,,,
970340000843,,15462981850.8,17016628278.4,20786744872.8,16002333540.5,3010658677.8,,,,
980240000752,,1179714741.0,1434758910.7,1753978856.4,2092335710.9,1756740831.6,,,,
980240002045,,52204222.7,83382616.2,92243691.4,92497474.3,27399143.5,,,,
990140004654,,438954294.8,516951196.6,642011025.4,752496473.4,149964430.2,,,,
