BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000140004789,,135342173.0,183241398.4,205106919.9,222232509.1,91818526.7,,,,
000840000612,,,,,,,,,,
010140001835,,0,0,0,0,0,,,,
020140002280,,1975518.9,3558836.1,3399537.2,3494370.6,410682.0,,,,
030640001837,,490346320.2,648930628.8,1081107532.7,2199949981.7,593881479.5,,,,
031140004905,,435313419.1,670782455.3,662919301.0,1005067188.1,59885664.6,,,,
050240008744,,0,0,0,0,0,,,,
071140004477,,0,0,0,0,0,,,,
080340021027,,,,,,,,,,
081040000521,,22169034.5,29241898.2,53767756.7,5642755.9,0,,,,
081240017761,,,,,,,,,,
101240019050,,168521100.2,188748730.8,217028477.3,271547682.4,73569154.5,,,,
111241020913,,,,,,,,,,
121140014179,,172477237.5,73267112.9,306392556.0,229884587.8,72105233.6,,,,
320340000016,,18280408.9,25471963.8,35034894.2,27226374.0,5632344.0,,,,
910140000121,,63149445.6,81445216.9,101287401.6,108614161.9,54317087.7,,,,
931240000210,,282979058.8,1147762485.1,187514342.1,334667213.7,131274189.7,,,,
931240000240,,179613675.1,386955297.5,2760845148.5,5059439322.7,1675308331.2,,,,
931240000558,,2578839551.5,1947000722.6,465377141.0,1037799518.3,146551821.6,,,,
940240000636,,1809814.0,1522214.0,783812.0,850255.0,19586.0,,,,
940640000716,,1942148719.9,2109271030.1,2544008330.9,2266901895.4,765865745.8,,,,
941040001203,,107434513.6,123914370.0,168838065.0,208025485.4,93170924.5,,,,
950440000566,,223763332.3,254998614.5,346580991.5,402693420.4,63079919.0,,,,
951240001014,,185412599.0,159839412.9,91265220.4,92228410.0,38659705.0,,,,
960140000795,,132921382.1,141582037.9,178192139.4,220997332.6,47530301.0,,,,
960340000702,,315640951.8,321989305.6,388583309.6,483503190.7,224789082.4,,,,
960840001025,,577468873.0,408452756.7,716515966.4,770799126.7,151180351.2,,,,
970540000830,,5590393.0,7482170.4,12985856.8,14442272.0,5968451.0,,,,
970541000172,,162912978.4,203064609.2,236057154.3,276429017.7,64882440.7,,,,
970941000602,,,,,,,,,,
970941003042,,,,,,,,,,
980440001669,,48846488.1,54459072.0,24165752.0,44044262.0,7408253.0,,,,
980741001417,,0,0,0,0,0,,,,
980741001447,,,,,,,,,,
980741001457,,,,,,,,,,
980741001497,,0,0,0,0,0,,,,
980741001556,,,,,,,,,,
980741001615,,,,,,,,,,
980741001625,,0,0,0,0,0,,,,
980741001635,,,,,,,,,,
990140000176,,234846323.1,77547401.3,300838836.2,292409877.5,44514109.4,,,,
990140000186,,3078835735.0,2198580099.0,2093498970.9,3892326891.1,866508204.4,,,,
990140000196,,685547139.1,716696830.5,675952792.3,970678554.8,192304133.3,,,,
990240005061,,0,0,0,0,0,,,,
990240005745,,224917562.5,231708140.9,280790632.4,292098372.9,97704933.2,,,,
990240005923,,594424173.9,844571528.0,861744567.5,884834197.5,338329509.7,,,,
990240006189,,172461538.2,226157221.8,252332970.0,337584840.6,2240438.5,,,,
990340006488,,0,0,0,0,0,,,,
990340006618,,180183226.7,190891490.4,229845844.2,235581342.2,30874757.8,,,,
991141004971,,97013837.2,131994570.6,170251018.3,188630143.3,92143777.7,,,,
991240002892,,418911.2,2227.0,0,0,1846.0,,,,
