BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000240004495,,273958580.7,286340814.8,319952130.2,339360655.8,47430973.0,,,,
000440003612,,543736446.5,738154445.9,591838598.0,879339262.4,377121740.0,,,,
011241003744,,,,,,,,,,
020540002959,,1424984.0,0,0,0,0,,,,
021141001161,,,,,,,,,,
030341004320,,,,,,,,,,
030440005327,,330314013.7,79984705.9,33123390.1,113348628.5,29520243.0,,,,
050140004649,,58870095251.8,146109217734.2,178293839961.2,179343541972.3,56772368785.8,,,,
050740003632,,1628100601.5,1858712215.9,2150754673.3,2258488180.8,2344963054.0,,,,
060440001914,,1273786327.3,1781503262.3,1549953233.5,8850142949.2,2520861698.9,,,,
070340009899,,389422859.3,440460572.2,672105529.7,710467982.1,109756855.0,,,,
070340010032,,278976535.1,268456733.5,284727760.0,304508003.9,87325525.0,,,,
070941023564,,282638217.5,144048810.6,114844544.4,201816939.5,113353810.7,,,,
081040003050,,0,0,0,0,0,,,,
081041016345,,,,,,,,,,
090940018030,,0,0,0,0,0,,,,
091040002074,,548303566.7,678571047.9,774789922.4,776795752.0,116779937.0,,,,
091040002460,,0,0,0,0,0,,,,
091040002956,,0,0,0,0,0,,,,
091040005069,,0,0,0,0,0,,,,
091040006700,,0,0,0,0,0,,,,
091040010342,,0,0,0,0,0,,,,
091040010382,,0,0,0,0,0,,,,
110140015717,,0,0,0,0,0,,,,
120141000270,,,,,,,,,,
931240000335,,3443071864.9,3830207540.6,3944044623.1,3948746649.5,1330248699.0,,,,
970640001095,,18377.1,0,0,0,49694.0,,,,
980940000460,,214031138.9,690666487.6,401184264.1,579785288.5,111446425.0,,,,
990141006221,,637156964.5,698130398.0,842332436.5,1216294554.0,757282263.8,,,,
990240005557,,812729309.6,1053277536.6,1205020096.6,1455898825.5,225838321.6,,,,
990240020322,,,,,,,,,,
990440008043,,648347067.7,680278149.3,763448098.6,758897618.4,298750516.4,,,,
990540000170,,297688146.3,630860921.7,710733370.6,492310964.5,29045109.0,,,,
990740001631,,526807957.0,627893943.5,719171169.2,747738925.6,65374308.0,,,,
991141005165,,122836446.9,129212580.3,164537793.7,210539805.0,127509701.7,,,,
000240002974,,208058025.4,280247545.7,326242996.3,322445607.0,73381223.0,,,,
000640001069,,1253794544.2,2343571105.9,3272542925.9,3093421460.6,939110605.9,,,,
010141002561,,57763671.1,112895858.7,73705510.6,55160876.8,6112639.0,,,,
010640002782,,249547973.2,334544627.6,415152417.7,402675234.8,175381335.0,,,,
011241001391,,,,,,,,,,
020240003262,,3955489.2,7591488.6,11958228.9,9464665.0,2768391.5,,,,
020341004923,,163245906.7,212440709.0,309788780.0,339407734.1,82320942.0,,,,
030140004744,,49319723.2,61471675.4,63172620.0,96115866.0,49010007.0,,,,
030240005191,,2429451793.8,5742835093.6,13173285404.3,17729951893.2,5803306559.7,,,,
030940001451,,16641326.6,70805886.5,74875851.7,9008386.5,195241.0,,,,
031040000999,,1294999464.3,2862869132.7,2293111601.8,1231064796.4,266815065.6,,,,
031141007896,,,,,,,,,,
050340000178,,40.0,0,0,0,0,,,,
050840005583,,444081474.6,453720562.1,541748902.2,442268403.2,207078511.5,,,,
060141016392,,3183499.1,256290188.1,382605558.8,456584713.2,229354555.2,,,,
060240001665,,490839244.5,187001068.4,130051463.7,129960796.8,0,,,,
070240010531,,202403492.6,237533549.6,346835481.4,341668095.4,128843964.0,,,,
070241004720,,592285034.8,716735470.6,783798252.0,853263333.4,102628469.0,,,,
070341002123,,504200853.1,681961416.0,733670453.6,852508437.8,295890711.4,,,,
070740002427,,26758962.3,2394918.1,39679.0,3956744.8,0,,,,
071240016206,,,,,,,,,,
090940018070,,0,0,0,0,0,,,,
090940018902,,0,0,0,0,0,,,,
090940018922,,0,0,0,0,0,,,,
090940018962,,0,0,0,0,0,,,,
091040002807,,343520250.4,391836390.3,539616712.3,587457839.7,38822535.0,,,,
091040003885,,0,0,0,0,0,,,,
091040004104,,193191960.8,250073656.6,276490409.1,349731257.3,76950507.6,,,,
091040004116,,0,0,0,0,0,,,,
091040004259,,156288464.3,164898365.3,188063090.8,194868507.0,86518168.0,,,,
091040006740,,366980373.2,429294503.0,572144087.4,613075144.4,231129649.0,,,,
091040006989,,0,0,0,0,0,,,,
091040007907,,0,0,0,0,0,,,,
091040010283,,763585807.6,920677427.4,1005000342.4,960496620.0,156127871.0,,,,
100140017503,,,,,,,,,,
100141008788,,311153854.8,307777551.9,322422627.2,233272303.9,44455715.2,,,,
101241002021,,0,0,461.0,0,0,,,,
110140001450,,170368675.5,199711692.8,230406358.1,294389100.7,128181482.5,,,,
111041011005,,,,,,,,,,
130540010734,,451107.2,700765.4,1321819.6,1230590.3,311800.0,,,,
141140001205,,242248629.4,322298894.5,432573570.5,415270067.9,162485440.3,,,,
930340000589,,891078885.0,467499783.9,889725496.7,1442601321.2,547412552.0,,,,
931240000439,,1283240696.2,1213252809.2,503173682.7,180451094.4,224830733.0,,,,
940140001056,,2865609659.9,3233598047.2,3146503318.8,3136216515.0,1504377554.8,,,,
940141000043,,372683088.3,296484257.1,304252485.8,371338009.3,116352127.0,,,,
940740002046,,274236.0,888630.0,640081.4,255329.0,4269.0,,,,
960940001168,,,,,,,,,,
980440001758,,153080963.4,110185849.3,129369852.3,197533565.8,47127217.8,,,,
990140004892,,197543.1,0,260000.0,0,0,,,,
990540001575,,229816709.5,286043796.8,379350444.0,331115682.0,20939009.0,,,,
