BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000340002393,,204667287.8,294408431.8,325015736.4,391974624.2,113337308.0,,,,
010740001502,,8531004589.6,10160283490.1,8655631940.2,7275866606.9,1921349403.5,,,,
021140000425,,246826363.4,320022049.0,373392779.2,462686202.7,98660491.4,,,,
930540000172,,762169008.0,673473728.7,780625980.2,980717103.8,583356226.1,,,,
950340000245,,4392230.0,5851905.0,8119833.9,0,0,,,,
961140000153,,652865657.4,60566588.0,63341826.0,60901791.0,24032011.0,,,,
980540000842,,4358615736.3,9292220830.6,2150764157.8,2247038607.8,1054503006.8,,,,
981141001567,,697367076134.7,1398424632363.3,977953305272.9,1145617304679.1,222954053803.5,,,,
990340004949,,428677496.5,489120176.4,516165046.5,587272613.9,127819080.0,,,,
000140005122,,112973861.1,102417031.5,85412122.0,148978203.0,114713019.0,,,,
000141004338,,78247356.0,98788239.4,120665675.6,132867585.1,47729172.4,,,,
020140002012,,3258555.4,4128745.4,4884520.5,6322119.8,893851.7,,,,
030440000059,,1817305932.7,602769711.1,835039836.1,3320767014.1,1206765342.0,,,,
040341010951,,791477.6,2097421.1,595342.9,0,0,,,,
040740000309,,66876570.9,76105745.8,83152997.0,88192318.4,22770603.0,,,,
040840000451,,249648944.5,216864177.2,614433318.3,676444825.9,863286965.0,,,,
061040003979,,276557618.0,316793900.0,371590996.3,536551866.4,159508708.2,,,,
070241006886,,298754101.0,309037195.0,370339986.0,442127813.0,363457172.0,,,,
080341022010,,298166875.5,608585395.5,719031343.3,387637982.2,77059979.9,,,,
080940018643,,22265932.9,29304942.5,55469593.0,4280532.0,0,,,,
110240019426,,134553986.8,181090649.9,272513043.3,295094716.4,79188263.0,,,,
911040000150,,683604795.7,396795175.8,389521459.8,294330858.4,40409668.2,,,,
930240000268,,3456752184.2,3806442534.3,4214849331.1,2580268381.5,968568220.5,,,,
930440000017,,464628033.2,516384386.8,521334312.5,597619500.6,167125200.0,,,,
