BIN,location,tax_payment_2021,tax_payment_2022,tax_payment_2023,tax_payment_2024,tax_payment_2025,degreeofrisk,executive,phone,email
000540004278,,14250770.0,16851192.0,16194788.0,12418508.5,10049417.0,,,,
001241003623,,671861726.1,842112946.4,846009497.0,11364728.0,158366698.8,,,,
010340000616,,47817653.5,56573921.0,72459966.0,111236166.8,23457331.0,,,,
011241000670,,,,,,,,,,
021041001326,,0,0,0,0,0,,,,
031241005209,,,,,,,,,,
061040004947,,1043832953.6,937919732.8,1408079664.6,1890527377.0,224133916.0,,,,
091041004244,,89016249.9,593487874.0,4128000669.1,240994259.3,50998846.0,,,,
091141018017,,,,,,,,,,
950640000810,,16572620017.7,21546571964.2,10664428649.8,13623008635.7,9962070433.0,,,,
961140001479,,61294931.5,80223072.9,114122079.5,126035907.1,54445609.4,,,,
990140004535,,0,7007.1,0,0,0,,,,
991141004922,,80775404.3,114955298.9,149287084.0,170815453.8,90118046.9,,,,
991241006276,,985623500.1,1273167668.3,629667707.0,-17292476.6,0,,,,
000940000190,,449980653.3,501623281.8,633695684.9,620502799.8,202496641.6,,,,
001240000029,,2817227662.7,2881307815.2,1251854492.0,1147902767.4,546090161.0,,,,
001241006251,,151817140.0,218053847.9,184400156.0,254447119.0,97415400.0,,,,
001241006261,,3403138625.8,3942645608.0,5961693615.0,3381716760.0,1647021240.0,,,,
020140003467,,4347569.2,5354400.9,52951710.4,5809210.0,387000.0,,,,
020641000684,,,,,,,,,,
031141007281,,,,,,,,,,
040440007305,,0,0,0,0,0,,,,
040540002724,,274293629.5,366834002.6,440878372.6,449202337.3,34856617.1,,,,
041241001218,,141112006.0,206450154.5,300619235.0,3824885.0,1949926.0,,,,
050240003921,,165776371.7,192881033.5,204028814.0,240807202.0,36899437.2,,,,
060340013062,,21044631.0,17663916.0,9870404.0,6630661.0,1600126.0,,,,
070241004881,,601678835.0,617454923.5,672564755.2,722299172.6,228971146.0,,,,
081040000889,,21049631.6,28316278.6,50489371.8,3313793.0,0,,,,
090140001929,,,,,,,,,,
090741002528,,0,0,0,0,0,,,,
090741016121,,0,0,0,0,0,,,,
090840003316,,0,0,0,0,0,,,,
091141001570,,155252200.3,218188500.8,261727670.5,300056979.5,147544541.5,,,,
100440010814,,204619082.0,422154707.0,212167224.0,347542102.8,187961397.0,,,,
110140007161,,181082949.0,209274136.4,241995812.4,303470491.0,73590005.5,,,,
111241021644,,,,,,,,,,
120141019211,,853393307.8,907091045.3,1112786299.4,1327348080.0,930328705.3,,,,
131241001792,,0,0,0,0,0,,,,
141140002347,,107000192.5,154459556.8,212712956.1,208058254.6,11045409.2,,,,
611240000026,,0,0,0,0,0,,,,
810540000026,,66664517.0,141308328.0,139268535.6,134255308.1,29162921.0,,,,
931240001182,,155514685.3,205130309.9,373171435.5,504185530.2,116328849.1,,,,
971040001407,,680031819.3,1560216399.4,2573831640.8,5566515344.5,1970778696.0,,,,
990140001441,,0,0,0,0,0,,,,
990140001461,,0,0,0,0,0,,,,
990240002097,,136105612.0,67252876.4,108369251.9,161471263.2,73754315.4,,,,
990240002126,,300127713.4,231378457.2,330993753.8,445442581.5,75672052.6,,,,
990240002166,,258943545.6,260990303.5,354390483.4,286034685.8,1044250.0,,,,
990240002176,,306636185.5,296805174.2,431141788.2,451521278.1,98215046.0,,,,
990240002295,,241546681.0,272600958.8,304601198.4,305430170.2,83358096.6,,,,
990240002334,,173642498.5,235016219.9,261832191.4,259216364.8,40006577.6,,,,
990240002354,,175292790.7,192774354.9,245747633.0,260083403.7,85029477.6,,,,
990240002463,,495308308.0,711243174.6,809291254.8,712945680.2,192908211.5,,,,
