bin,company_name,error_reason,search_date
080241016588,"АКТАУСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСПИАН ОФФШОР КОНСТРАКШН""",BIN input field not found,2025-07-02 00:41:09
981240000488,"АО ""НАЦИОНАЛЬНАЯ МОРСКАЯ СУДОХОДНАЯ КОМПАНИЯ ""КАЗМОРТРАНСФЛОТ""",BIN input field not found,2025-07-02 00:41:18
БИН,Наименование организации,BIN input field not found,2025-07-02 00:41:27
060740004246,"ТОО ""CASPIAN SERVICES GROUP"" (""КАСПИАН СЕРВИСЕЗ ГРУПП"")",BIN input field not found,2025-07-02 00:41:37
070640001130,"ТОО ""CASPIAN MAINPORT AKTAU (КАСПИАН МЕЙНПОРТ АКТАУ)""",BIN input field not found,2025-07-02 00:41:46
980941014456,"КАЗАХСТАНСКИЙ ФИЛИАЛ КОМПАНИИ ""ВАГЕНБОРГ КАЗАХСТАН Б.В.""",BIN input field not found,2025-07-02 00:41:55
БИН,Наименование предприятия,BIN input field not found,2025-07-02 00:42:04
000441001156,"КАЗАХСТАНСКИЙ ФИЛИАЛ ""КАСПИАН СЕРВИСЕЗ ГРУП ЛИМИТЕД""",BIN input field not found,2025-07-02 00:42:13
061041005475,"ФИЛИАЛ КОМПАНИИ ""КАСПИАН МЕЙНПОРТ ЛИМИТЕД"" В РЕСПУБЛИКЕ КАЗАХСТАН",BIN input field not found,2025-07-02 00:42:21
070141004856,"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСИМ ЛОДЖИСТИКС"" В РЕСПУБЛИКЕ КАЗАХСТАН",BIN input field not found,2025-07-02 00:42:30
090941015547,"АКТАУСКИЙ ФИЛИАЛ АКЦИОНЕРНОЙ КОМПАНИИ С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEADLINK PLUS LTD""",BIN input field not found,2025-07-02 00:42:40
100341003477,"ФИЛИАЛ ТОО ""CASPIISKY BUKSIR"" (КАСПИЙСКИЙ БУКСИР) В ГОРОДЕ АКТАУ РЕСПУБЛИКИ КАЗАХСТАН",BIN input field not found,2025-07-02 00:42:49
150341014560,"ФИЛИАЛ ""ТЕРМИНАЛ АСТАНА"" ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕРМИНАЛ ЙАПЫ ВЕ ТИДЖАРЕТ ЛИМИТЕД ШИРКЕТИ""",BIN input field not found,2025-07-02 00:42:58
980941014456,"КАЗАХСТАНСКИЙ ФИЛИАЛ КОМПАНИИ ""ВАГЕНБОРГ КАЗАХСТАН Б.В.""",BIN input field not found,2025-07-02 00:43:08
080241016588,"АКТАУСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСПИАН ОФФШОР КОНСТРАКШН""",BIN input field not found,2025-07-02 00:44:26
080241016588,"АКТАУСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСПИАН ОФФШОР КОНСТРАКШН""",BIN input field not found,2025-07-02 00:50:22
