bin,company_name,status,search_date,notes
080241016588,"АКТАУСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСПИАН ОФФШОР КОНСТРАКШН""",failed,2025-07-02 00:41:09,BIN input field not found
981240000488,"АО ""НАЦИОНАЛЬНАЯ МОРСКАЯ СУДОХОДНАЯ КОМПАНИЯ ""КАЗМОРТРАНСФЛОТ""",failed,2025-07-02 00:41:18,BIN input field not found
БИН,Наименование организации,failed,2025-07-02 00:41:27,BIN input field not found
060740004246,"ТОО ""CASPIAN SERVICES GROUP"" (""КАСПИАН СЕРВИСЕЗ ГРУПП"")",failed,2025-07-02 00:41:37,BIN input field not found
070640001130,"ТОО ""CASPIAN MAINPORT AKTAU (КАСПИАН МЕЙНПОРТ АКТАУ)""",failed,2025-07-02 00:41:46,BIN input field not found
980941014456,"КАЗАХСТАНСКИЙ ФИЛИАЛ КОМПАНИИ ""ВАГЕНБОРГ КАЗАХСТАН Б.В.""",failed,2025-07-02 00:41:55,BIN input field not found
БИН,Наименование предприятия,failed,2025-07-02 00:42:04,BIN input field not found
000441001156,"КАЗАХСТАНСКИЙ ФИЛИАЛ ""КАСПИАН СЕРВИСЕЗ ГРУП ЛИМИТЕД""",failed,2025-07-02 00:42:13,BIN input field not found
061041005475,"ФИЛИАЛ КОМПАНИИ ""КАСПИАН МЕЙНПОРТ ЛИМИТЕД"" В РЕСПУБЛИКЕ КАЗАХСТАН",failed,2025-07-02 00:42:21,BIN input field not found
070141004856,"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСИМ ЛОДЖИСТИКС"" В РЕСПУБЛИКЕ КАЗАХСТАН",failed,2025-07-02 00:42:30,BIN input field not found
090941015547,"АКТАУСКИЙ ФИЛИАЛ АКЦИОНЕРНОЙ КОМПАНИИ С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEADLINK PLUS LTD""",failed,2025-07-02 00:42:40,BIN input field not found
100341003477,"ФИЛИАЛ ТОО ""CASPIISKY BUKSIR"" (КАСПИЙСКИЙ БУКСИР) В ГОРОДЕ АКТАУ РЕСПУБЛИКИ КАЗАХСТАН",failed,2025-07-02 00:42:49,BIN input field not found
150341014560,"ФИЛИАЛ ""ТЕРМИНАЛ АСТАНА"" ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕРМИНАЛ ЙАПЫ ВЕ ТИДЖАРЕТ ЛИМИТЕД ШИРКЕТИ""",failed,2025-07-02 00:42:58,BIN input field not found
980941014456,"КАЗАХСТАНСКИЙ ФИЛИАЛ КОМПАНИИ ""ВАГЕНБОРГ КАЗАХСТАН Б.В.""",failed,2025-07-02 00:43:08,BIN input field not found
080241016588,"АКТАУСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСПИАН ОФФШОР КОНСТРАКШН""",failed,2025-07-02 00:44:26,BIN input field not found
080241016588,"АКТАУСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСПИАН ОФФШОР КОНСТРАКШН""",failed,2025-07-02 00:50:22,BIN input field not found
