BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
020140001689,"АО ""УНИВЕРСИТЕТ КАЗГЮУ""",85420,Высшее образование,711210000,"г. Астана РАЙОН ""ЕСИЛЬ""",310,501-1000
020140015371,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""КАЗАХСТАНСКИЙ МИРОТВОРЧЕСКИЙ БАТАЛЬОН"" МИНИСТЕРСТВА ОБОРОНЫ РЕСПУБЛИКИ КАЗАХСТАН",84220,Оборонная деятельность,191610000,Алматинская область г. КАПЧАГАЙ,310,501-1000
020940003298,"ТОО ""ОХРАННАЯ ФИРМА ""ФЕНИКС""",80100,Деятельность частных охранных служб,751110000,г. Алматы АЛМАЛИНСКИЙ РАЙОН,305,251-500
041241009461,ЗАПАДНЫЙ ФИЛИАЛ ПО РЕМОНТУ ПАССАЖИРСКИХ ВАГОНОВ,33171,Ремонт подвижного состава железных дорог,151010000,Актюбинская область г. АКТОБЕ,305,251-500
070240006117,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ИСАТАЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АТЫРАУСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,234230100,Атырауская область с. АККИСТАУ,305,251-500
080440003924,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КЫЗЫЛОРДИНСКАЯ ГОРОДСКАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ""",86101,Деятельность больниц широкого профиля и специализированных больниц,431010000,Кызылординская область г. КЫЗЫЛОРДА,305,251-500
081040002032,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЛИНЕЙНОЕ УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ НА СТАНЦИИ АСТАНА ДЕПАРТАМЕНТА ВНУТРЕННИХ ДЕЛ НА ТРАНСПОРТЕ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,711310000,"г. Астана РАЙОН ""САРЫАРКА""",305,251-500
090240022698,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ РАЙОНА ""АЛМАТЫ"" ДЕПАРТАМЕНТА ВНУТРЕННИХ ДЕЛ ГОРОДА АСТАНЫ""",84240,Деятельность по обеспечению общественного порядка и безопасности,711110000,"г. Астана РАЙОН ""АЛМАТЫ""",305,251-500
090540001011,"АО ""МЕЖДУНАРОДНАЯ ОБРАЗОВАТЕЛЬНАЯ КОРПОРАЦИЯ""",85420,Высшее образование,751410000,г. Алматы БОСТАНДЫКСКИЙ РАЙОН,305,251-500
090840008703,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ДВОРЕЦ МИРА И СОГЛАСИЯ"" АКИМАТА ГОРОДА АСТАНЫ",90040,Деятельность концертных и театральных залов,711110000,"г. Астана РАЙОН ""АЛМАТЫ""",305,251-500
091041017098,"ФИЛИАЛ ""АСТАНИНСКОЕ ЛОКОМОТИВОРЕМОНТНОЕ ДЕПО"" ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ҚАМҚОР ЛОКОМОТИВ""",33171,Ремонт подвижного состава железных дорог,711310000,"г. Астана РАЙОН ""САРЫАРКА""",310,501-1000
120841015670,"ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАЗГИДРОМЕТ"" МИНИСТЕРСТВА ЭНЕРГЕТИКИ РЕСПУБЛИКИ КАЗАХСТАН ПО КАРАГАНДИНСКОЙ ОБЛАСТИ",74901,Деятельность гидрометеорологической службы,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,305,251-500
130441024667,"ФИЛИАЛ ""ИНСТИТУТ АТОМНОЙ ЭНЕРГИИ"" РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""НАЦИОНАЛЬНЫЙ ЯДЕРНЫЙ ЦЕНТР РЕСПУБЛИКИ КАЗАХСТАН"" МИНИСТЕРСТВА ЭНЕРГЕТИКИ РЕСПУБЛИКИ КАЗАХСТАН",72190,Прочие исследования и разработки в области естественных наук и инженерии,632210000,Восточно-Казахстанская область г. КУРЧАТОВ,310,501-1000
141241019132,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ХОЛДИНГ"" ""ЦЕНТР ДИАГНОСТИКИ""",86101,Деятельность больниц широкого профиля и специализированных больниц,711210000,"г. Астана РАЙОН ""ЕСИЛЬ""",310,501-1000
141241020825,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ХОЛДИНГ"" ""ЦЕНТР ОНКОЛОГИИ И ТРАНСПЛАНТОЛОГИИ""",86101,Деятельность больниц широкого профиля и специализированных больниц,711210000,"г. Астана РАЙОН ""ЕСИЛЬ""",311,от 1001
141241020850,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ХОЛДИНГ"" ""ЦЕНТР РЕАБИЛИТАЦИИ""",86101,Деятельность больниц широкого профиля и специализированных больниц,711210000,"г. Астана РАЙОН ""ЕСИЛЬ""",311,от 1001
861240000017,ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ СПЕЦИАЛИЗИРОВАННОЕ АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ГОРОДА АЛМАТЫ,52291,Транспортно-экспедиционные услуги,751110000,г. Алматы АЛМАЛИНСКИЙ РАЙОН,311,от 1001
941240000718,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ"" АКИМАТА ГОРОДА АСТАНЫ",86900,Прочая деятельность по охране здоровья,711310000,"г. Астана РАЙОН ""САРЫАРКА""",311,от 1001
950240000415,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНАЯ БИБЛИОТЕКА РЕСПУБЛИКИ КАЗАХСТАН"" МИНИСТЕРСТВА КУЛЬТУРЫ И СПОРТА РЕСПУБЛИКИ КАЗАХСТАН",91012,"Библиотечная деятельность, включая деятельность читальных залов, лекториев, демонстрационных залов",751410000,г. Алматы БОСТАНДЫКСКИЙ РАЙОН,305,251-500
950440001475,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ОБЛАСТНОЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КАРАГАНДИНСКОЙ ОБЛАСТИ",86109,"Деятельность других лечебных учреждений, имеющих стационары",351011100,Карагандинская область ОКТЯБРЬСКИЙ РАЙОН,310,501-1000
