BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
140940022137,"ТОО ""ФЕНИКС И CO""",43999,"Прочие строительные работы, требующие специальных профессий",351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,120,Малое предприятие (от 16 до 20 чел.)
150740003495,"ТОО ""ALMABO"" (АЛЬМАБО)",41201,Строительство жилых зданий,751110000,г.Алматы АЛМАЛИНСКИЙ РАЙОН,120,Малое предприятие (от 16 до 20 чел.)
150740003782,"ТОО ""ARNAY GROUP""",43999,"Прочие строительные работы, требующие специальных профессий",711310000,"г.Астана, РАЙОН ""САРЫАРКА""",105,Малое предприятие (от 0 до 5 чел.)
150740003801,"ТОО ""KAZCONSTRUCTION 2050""",41201,Строительство жилых зданий,751310000,г.Алматы АУЭЗОВСКИЙ РАЙОН,105,Малое предприятие (от 0 до 5 чел.)
150740003851,"ТОО ""TERANA GROUP""",43210,Электротехнические и монтажные работы,711110000,"г.Астана, РАЙОН ""АЛМАТЫ""",105,Малое предприятие (от 0 до 5 чел.)
150740003990,"ТОО ""ТОО ""АВН СТРОЙ COMPANY""""",41100,Разработка строительных проектов,551010000,Павлодарская область г. ПАВЛОДАР,110,Малое предприятие (от 6 до 10 чел.)
150740004007,"ТОО ""АВН СТРОЙ КЛАСС""",41201,Строительство жилых зданий,551010000,Павлодарская область г. ПАВЛОДАР,110,Малое предприятие (от 6 до 10 чел.)
150740004027,"ТОО ""МУРЗАСТРОЙ""",41202,"Строительство нежилых зданий, за исключением стационарных торговых объектов категории 1",551010000,Павлодарская область г. ПАВЛОДАР,110,Малое предприятие (от 6 до 10 чел.)
150740004057,"ТОО ""АРИ 2015""",41201,Строительство жилых зданий,551010000,Павлодарская область г. ПАВЛОДАР,110,Малое предприятие (от 6 до 10 чел.)
150740004067,"ТОО ""EXPO CONSTRUCTION""",41201,Строительство жилых зданий,711110000,"г.Астана, РАЙОН ""АЛМАТЫ""",110,Малое предприятие (от 6 до 10 чел.)
150740004077,"ТОО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""РЕНЕССАНС""",41201,Строительство жилых зданий,711110000,"г.Астана, РАЙОН ""АЛМАТЫ""",110,Малое предприятие (от 6 до 10 чел.)
150740004087,"ТОО ""АКМОЛАСТРОЙМОНТАЖ""",41201,Строительство жилых зданий,711110000,"г.Астана, РАЙОН ""АЛМАТЫ""",110,Малое предприятие (от 6 до 10 чел.)
150740004097,"ТОО ""ALFA CONSTRUCTION""",41201,Строительство жилых зданий,711110000,"г.Астана, РАЙОН ""АЛМАТЫ""",110,Малое предприятие (от 6 до 10 чел.)
