BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
010140000440,"ТОО ""ХОЛДИНГ-ТРАНСС-ПАВЛОДАР""",49410,Грузовые перевозки автомобильным транспортом,551010000,"Павлодарская область, г. ПАВЛОДАР",305,Крупная организация (251 - 500 чел.)
010240002103,"ТОО ""СПМК""",49410,Грузовые перевозки автомобильным транспортом,431010000,"Кызылординская область, г. КЫЗЫЛОРДА",305,Крупная организация (251 - 500 чел.)
010840003679,"ТОО ""ОЙЛ ТРАНСПОРТ КОРПОРЕЙШЭН""",49410,Грузовые перевозки автомобильным транспортом,471010000,"Мангистауская область, г. АКТАУ",311,Крупная компания (от 1001 чел.)
020240005823,"ТОО ""КАЗЦИНК-ТРАНС""",49410,Грузовые перевозки автомобильным транспортом,631010000,"Восточно-Казахстанская область, г. УСТЬ-КАМЕНОГОРСК",311,Крупная компания (от 1001 чел.)
030440001374,"ТОО ""МОБИЛ-С""",49410,Грузовые перевозки автомобильным транспортом,471010000,"Мангистауская область, г. АКТАУ",305,Крупная организация (251 - 500 чел.)
040740000428,"ТОО ""БАЗИС-СТ""",49410,Грузовые перевозки автомобильным транспортом,111810000,"Акмолинская область, г. СТЕПНОГОРСК",305,Крупная организация (251 - 500 чел.)
041140003196,"ТОО ""ARGYMAK TRANSSERVICE""",49410,Грузовые перевозки автомобильным транспортом,471010000,"Мангистауская область, г. АКТАУ",311,Крупная компания (от 1001 чел.)
060541009835,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-ТРАНСПОРТНАЯ КОМПАНИЯ"" ""ТТК-ШИЕЛИ""",49410,Грузовые перевозки автомобильным транспортом,435230100,Кызылординская область с. ШИЕЛИ,305,Крупная организация (251 - 500 чел.)
061040014002,"ТОО ""ТРАНСРУДНЫЙАВТО""",49410,Грузовые перевозки автомобильным транспортом,392410000,"Костанайская область, г. РУДНЫЙ",305,Крупная организация (251 - 500 чел.)
070140006202,"ТОО ""НИМЭКС-ТРАНС""",49410,Грузовые перевозки автомобильным транспортом,511013100,Южно-Казахстанская область АЛЬ-ФАРАБИЙСКИЙ РАЙОН,305,Крупная организация (251 - 500 чел.)
070840000754,"ТОО ""СРЕДНЕАЗИАТСКИЙ ТРАНСПОРТ""",49410,Грузовые перевозки автомобильным транспортом,431010000,"Кызылординская область, г. КЫЗЫЛОРДА",305,Крупная организация (251 - 500 чел.)
080340021027,"ТОО ""АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ СЕВКАЗЭНЕРГО""",49410,Грузовые перевозки автомобильным транспортом,591010000,"Северо-Казахстанская область, г. ПЕТРОПАВЛОВСК",305,Крупная организация (251 - 500 чел.)
080440023814,"ТОО ""PREMIUM LOGISTIC""",49410,Грузовые перевозки автомобильным транспортом,196833100,Алматинская область с. МУХАМЕТЖАН ТУЙМЕБАЕВА,310,Крупное предприятие (501 - 1000 чел.)
110340012600,"ТОО ""СНПС-АКТЮБИНСКАЯ ТРАНСПОРТНАЯ КОМПАНИЯ""",49410,Грузовые перевозки автомобильным транспортом,154820100,"Актюбинская область, г. КАНДЫАГАШ",311,Крупная компания (от 1001 чел.)
110441015664,"ПАТИМ, ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""KM LOGISTIC""",49410,Грузовые перевозки автомобильным транспортом,352310000,"Карагандинская область, г. САТПАЕВ",305,Крупная организация (251 - 500 чел.)
130340009545,"ТОО ""EUROTRANSIT LOGISTIC""",49410,Грузовые перевозки автомобильным транспортом,751910000,г.Алматы ТУРКСИБСКИЙ РАЙОН,305,Крупная организация (251 - 500 чел.)
150141017240,"""ПАТИМ, ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИРАЖ СЕРВИС КАРАГАНДА""",49410,Грузовые перевозки автомобильным транспортом,352310000,"Карагандинская область, г. САТПАЕВ",305,Крупная организация (251 - 500 чел.)
150641010484,"ПАВЛОДАРСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТП-ИНВЕСТ""",49410,Грузовые перевозки автомобильным транспортом,551010000,"Павлодарская область, г. ПАВЛОДАР",311,Крупная компания (от 1001 чел.)
970840002352,"АО ""АКСАЙАВТОТРАНС""",49410,Грузовые перевозки автомобильным транспортом,273620100,"Западно-Казахстанская область, г. АКСАЙ",305,Крупная организация (251 - 500 чел.)
980940002972,"ТОО ""КЫРАН""",49410,Грузовые перевозки автомобильным транспортом,431010000,"Кызылординская область, г. КЫЗЫЛОРДА",305,Крупная организация (251 - 500 чел.)
БИН,Наименование транспортной компании,ОКЭД,Отрасль деятельности предприятия,КАТО,Населённый пункт,КРП,Размер предприятия
010141014238,"ФИЛИАЛ ""АВТОКОЛОННА 3096"" РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО АВТОТРАНСПОРТНОГО ПРЕДПРИЯТИЯ МИНИСТЕРСТВА ТРАНСПОРТА И КОММУНИКАЦИЙ РЕСПУБЛИКИ КАЗАХСТАН В ГОРОДЕ АЛМАТЫ",49410,Грузовые перевозки автомобильным транспортом,751910000,"г.Алматы, ТУРКСИБСКИЙ РАЙОН",105,Малое предприятие (от 0 до 5 чел.)
010341009932,"ФИЛИАЛ ЗАКРЫТОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""СПЕЦТРАНСНЕФТЕСТРОЙСЕРВИС"" В ГОРОДЕ АТЫРАУ",49410,Грузовые перевозки автомобильным транспортом,231010000,"Атырауская область, г. АТЫРАУ",130,Малое предприятие (от 21 до 30 чел.)
011241008606,"ФИЛИАЛ ""TECHTRANS KZ GMBH"" ФИРМЫ ""TECHTRANS HANDELS - UND SPEDITIONS GMBH""",49410,Грузовые перевозки автомобильным транспортом,351011100,Карагандинская область ОКТЯБРЬСКИЙ РАЙОН,130,Малое предприятие (от 21 до 30 чел.)
031141008864,ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО АВТОТРАНСПОРТНОГО ПРЕДПРИЯТИЯ МИНИСТЕРСТВА ТРАНСПОРТА И КОММУНИКАЦИЙ РЕСПУБЛИКИ КАЗАХСТАН В ГОРОДЕ КАРАГАНДА,49410,Грузовые перевозки автомобильным транспортом,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,105,Малое предприятие (от 0 до 5 чел.)
031141012525,ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО АВТОТРАНСПОРТНОГО ПРЕДПРИЯТИЯ МИНИСТЕРСТВА ТРАНСПОРТА И КОММУНИКАЦИЙ РЕСПУБЛИКИ КАЗАХСТАН В ГОРОДЕ АЛМАТЫ,49410,Грузовые перевозки автомобильным транспортом,751910000,"г.Алматы, ТУРКСИБСКИЙ РАЙОН",105,Малое предприятие (от 0 до 5 чел.)
031141012684,ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО АВТОТРАНСПОРТНОГО ПРЕДПРИЯТИЯ МИНИСТЕРСТВА ТРАНСПОРТА И КОММУНИКАЦИИ РЕСПУБЛИКИ КАЗАХСТАН В ГОРОДЕ ШЫМКЕНТ,49410,Грузовые перевозки автомобильным транспортом,511015100,Южно-Казахстанская область ЕНБЕКШИНСКИЙ РАЙОН,105,Малое предприятие (от 0 до 5 чел.)
031141012961,"ФИЛИАЛ ""АВТОКОЛОННА 3076"" РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО АВТОТРАНСПОРТНОГО ПРЕДПРИЯТИЯ МИНИСТЕРСТВА ТРАНСПОРТА И КОММУНИКАЦИЙ РЕСПУБЛИКИ КАЗАХСТАН В Г ПАВЛОДАР",49410,Грузовые перевозки автомобильным транспортом,551010000,"Павлодарская область, г. ПАВЛОДАР",110,Малое предприятие (6 - 10 чел.)
031141016032,"ФИЛИАЛ ""АВТОКОЛОННА 3073"" РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО АВТОТРАНСПОРТНОГО ПРЕДПРИЯТИЯ МИНИСТЕРСТВА ТРАНСПОРТА И КОММУНИКАЦИЙ РЕСПУБЛИКИ КАЗАХСТАН В Г ПАВЛОДАР",49410,Грузовые перевозки автомобильным транспортом,551010000,"Павлодарская область, г. ПАВЛОДАР",110,Малое предприятие (6 - 10 чел.)
040741005464,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАВТОТРАНС"" В ГОРОДЕ ШЫМКЕНТ",49410,Грузовые перевозки автомобильным транспортом,511015100,Южно-Казахстанская область ЕНБЕКШИНСКИЙ РАЙОН,140,Малое предприятие (от 31 до 40 чел.)
040741007024,"ФИЛИАЛ № 8 АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАВТОТРАНС"" В г. ПАВЛОДАР",49410,Грузовые перевозки автомобильным транспортом,551010000,"Павлодарская область, г. ПАВЛОДАР",105,Малое предприятие (от 0 до 5 чел.)
040741009744,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАВТОТРАНС"" В ГОРОДЕ УРАЛЬСК",49410,Грузовые перевозки автомобильным транспортом,271010000,"Западно-Казахстанская область, г. УРАЛЬСК",105,Малое предприятие (от 0 до 5 чел.)
040741009823,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАВТОТРАНС"" В СЕЛЕ УЗЫНАГАШ",49410,Грузовые перевозки автомобильным транспортом,194230100,Алматинская область с. УЗЫНАГАШ,110,Малое предприятие (6 - 10 чел.)
040741009922,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАВТОТРАНС"" В г. КАРАГАНДА",49410,Грузовые перевозки автомобильным транспортом,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,110,Малое предприятие (6 - 10 чел.)
