BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
080241016588,"АКТАУСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСПИАН ОФФШОР КОНСТРАКШН""",50200,Морской и прибрежный грузовой транспорт,471010000,"Мангистауская область, г. АКТАУ",310,Крупные предприятия (501 - 1000 чел.)
981240000488,"АО ""НАЦИОНАЛЬНАЯ МОРСКАЯ СУДОХОДНАЯ КОМПАНИЯ ""КАЗМОРТРАНСФЛОТ""",50200,Морской и прибрежный грузовой транспорт,471010000,"Мангистауская область, г. АКТАУ",310,Крупные предприятия (501 - 1000 чел.)
БИН,Наименование организации,ОКЭД,Вид деятельности компании,КАТО,Населённый пункт,КРП,Размер предприятия
060740004246,"ТОО ""CASPIAN SERVICES GROUP"" (""КАСПИАН СЕРВИСЕЗ ГРУПП"")",50200,Морской и прибрежный грузовой транспорт,471010000,"Мангистауская область, г. АКТАУ",215,Средние предприятия (101 - 150 чел.)
070640001130,"ТОО ""CASPIAN MAINPORT AKTAU (КАСПИАН МЕЙНПОРТ АКТАУ)""",50200,Морской и прибрежный грузовой транспорт,471010000,"Мангистауская область, г. АКТАУ",215,Средние предприятия (101 - 150 чел.)
980941014456,"КАЗАХСТАНСКИЙ ФИЛИАЛ КОМПАНИИ ""ВАГЕНБОРГ КАЗАХСТАН Б.В.""",50200,Морской и прибрежный грузовой транспорт,475235100,"Мангистауская область, с. БАУТИНО",225,Средние предприятия (201 - 250 чел.)
БИН,Наименование предприятия,ОКЭД,Вид деятельности организации,КАТО,Населённый пункт,КРП,Размер компании
000441001156,"КАЗАХСТАНСКИЙ ФИЛИАЛ ""КАСПИАН СЕРВИСЕЗ ГРУП ЛИМИТЕД""",50200,Морской и прибрежный грузовой транспорт,471010000,"Мангистауская область, г. АКТАУ",140,Малые предприятия (31 - 40 чел.)
061041005475,"ФИЛИАЛ КОМПАНИИ ""КАСПИАН МЕЙНПОРТ ЛИМИТЕД"" В РЕСПУБЛИКЕ КАЗАХСТАН",50200,Морской и прибрежный грузовой транспорт,471010000,"Мангистауская область, г. АКТАУ",105,Малые предприятия (0 - 5 чел.)
070141004856,"ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСИМ ЛОДЖИСТИКС"" В РЕСПУБЛИКЕ КАЗАХСТАН",52240,Транспортная обработка грузов,471010000,"Мангистауская область, г. АКТАУ",105,Малые предприятия (0 - 5 чел.)
090941015547,"АКТАУСКИЙ ФИЛИАЛ АКЦИОНЕРНОЙ КОМПАНИИ С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEADLINK PLUS LTD""",50200,Морской и прибрежный грузовой транспорт,471010000,"Мангистауская область, г. АКТАУ",105,Малые предприятия (0 - 5 чел.)
100341003477,"ФИЛИАЛ ТОО ""CASPIISKY BUKSIR"" (КАСПИЙСКИЙ БУКСИР) В ГОРОДЕ АКТАУ РЕСПУБЛИКИ КАЗАХСТАН",50200,Морской и прибрежный грузовой транспорт,471010000,"Мангистауская область, г. АКТАУ",140,Малые предприятия (31 - 40 чел.)
150341014560,"ФИЛИАЛ ""ТЕРМИНАЛ АСТАНА"" ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕРМИНАЛ ЙАПЫ ВЕ ТИДЖАРЕТ ЛИМИТЕД ШИРКЕТИ""",70100,Деятельность головных компаний,711310000,"г. Астана, РАЙОН ""САРЫАРКА""",105,Малые предприятия (0 - 5 чел.)
980941014456,"КАЗАХСТАНСКИЙ ФИЛИАЛ КОМПАНИИ ""ВАГЕНБОРГ КАЗАХСТАН Б.В.""",50200,Морской и прибрежный грузовой транспорт,475235100,Мангистауская область С. БАУТИНО,225,Средние предприятия (201 - 250 чел.)
