BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
011241001292,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМIР ЖОЛЫ""-""КОСТАНАЙСКАЯ ДИСТАНЦИЯ ПУТИ""",49200,Грузовой железнодорожный транспорт,391010000,"Костанайская область, г. КОСТАНАЙ",305,Крупная организация (251 - 500 чел.)
011241002588,"""ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""ПАВЛОДАРСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",49200,Грузовой железнодорожный транспорт,551010000,"Павлодарская область, г. ПАВЛОДАР",311,Крупная компания (от 1001 чел.)
011241002845,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""КАЗАКСТАН ТЕМIР ЖОЛЫ""-""КАНДЫАГАШСКОЕ ЭКСПЛУАТАЦИОННОЕ ВАГОННОЕ ДЕПО""",49200,Грузовой железнодорожный транспорт,154820100,"Актюбинская область, г. КАНДЫАГАШ",310,Крупное предприятие (501 - 1000 чел.)
011241003030,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""КАЗАКСТАН ТЕМIР ЖОЛЫ""- ""НИКЕЛЬТАУСКАЯ ДИСТАНЦИЯ ПУТИ""",49200,Грузовой железнодорожный транспорт,156033800,Актюбинская область с. ТАССАЙ,305,Крупная организация (251 - 500 чел.)
011241007241,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""АКТОБИНСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",49200,Грузовой железнодорожный транспорт,151010000,"Актюбинская область, г. АКТОБЕ",311,Крупная компания (от 1001 чел.)
011241008130,"ФИЛИАЛ ЗАКРЫТОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ"" ""КАЗАКСТАН ТЕМІР ЖОЛЫ""-""БЕСКОЛЬСКАЯ ДИСТАНЦИЯ ПУТИ""",52211,Эксплуатация железных дорог,193439200,Алматинская область с. БЕСКОЛЬ,305,Крупная организация (251 - 500 чел.)
011241008204,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""-""СЕМИПАЛАТИНСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",49200,Грузовой железнодорожный транспорт,632810000,"Восточно-Казахстанская область, г. СЕМЕЙ",310,Крупное предприятие (501 - 1000 чел.)
020440003517,"ТОО ""БОГАТЫРЬ ТРАНС""",49200,Грузовой железнодорожный транспорт,551010000,"Павлодарская область, г. ПАВЛОДАР",310,Крупное предприятие (501 - 1000 чел.)
020540003431,"АО""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""",49200,Грузовой железнодорожный транспорт,711210000,"г. Астана, РАЙОН ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
031040000572,"АО""ҚАЗТЕМІРТРАНС""",49200,Грузовой железнодорожный транспорт,711210000,"г. Астана, РАЙОН ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
031141004554,"ФИЛИАЛ АО ""ЛОКОМОТИВ"" ""МАТАЙСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",49200,Грузовой железнодорожный транспорт,193269100,Алматинская область П.МАТАЙ,310,Крупное предприятие (501 - 1000 чел.)
031141007172,"ФИЛИАЛ АО ""ЛОКОМОТИВ""-""ЖЕМСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",49200,Грузовой железнодорожный транспорт,154823100,"Актюбинская область, г. ЭМБА",310,Крупное предприятие (501 - 1000 чел.)
031241002294,"ФИЛИАЛ АО ""ЛОКОМОТИВ"" - ""АТЫРАУСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",49200,Грузовой железнодорожный транспорт,231010000,"Атырауская область, г. АТЫРАУ",310,Крупное предприятие (501 - 1000 чел.)
031241007493,"ФИЛИАЛ АО ""ЛОКОМОТИВ"" - ""ПАВЛОДАРСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",49200,Грузовой железнодорожный транспорт,551010000,"Павлодарская область, г. ПАВЛОДАР",310,Крупное предприятие (501 - 1000 чел.)
040841005438,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""ДИРЕКЦИЯ ПЕРЕВОЗОЧНОГО ПРОЦЕССА""",49200,Грузовой железнодорожный транспорт,711210000,"г. Астана, РАЙОН ""ЕСИЛЬ""",305,Крупная организация (251 - 500 чел.)
041141006285,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""-""ДИРЕКЦИЯ МАГИСТРАЛЬНОЙ СЕТИ""",49200,Грузовой железнодорожный транспорт,711210000,"г. Астана, РАЙОН ""ЕСИЛЬ""",310,Крупное предприятие (501 - 1000 чел.)
070341008390,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""-""КАНДЫАГАШСКАЯ ДИСТАНЦИЯ СИГНАЛИЗАЦИИ И СВЯЗИ""",49200,Грузовой железнодорожный транспорт,154820100,"Актюбинская область, г. КАНДЫАГАШ",305,Крупная организация (251 - 500 чел.)
100640019191,"ТОО ""КАЗЦИНК-ТЕМИРТРАНС""",49200,Грузовой железнодорожный транспорт,631010000,"Восточно-Казахстанская область, г. УСТЬ-КАМЕНОГОРСК",310,Крупное предприятие (501 - 1000 чел.)
110941015187,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""УКРУПНЕННАЯ САРЫ-ШАГАНСКАЯ ДИСТАНЦИЯ ПУТИ""",49200,Грузовой железнодорожный транспорт,353667100,Карагандинская область П.САРЫШАГАН,305,Крупная организация (251 - 500 чел.)
