BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
010240000404,"АО ""АКМОЛИНСКАЯ РАСПРЕДЕЛИТЕЛЬНАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""",35130,Распределение электроэнергии,116665100,а. КАБАНБАЙ БАТЫРА,311,Крупное компания (от 1001 чел.)
010240000910,"ТОО ""КОКШЕТАУ ЭНЕРГО""",35130,Распределение электроэнергии,111010000,г. КОКШЕТАУ,311,Крупное предприятие (от 1001 чел.)
011241003139,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""АКМОЛИНСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",52211,Эксплуатация железных дорог,111010000,г. КОКШЕТАУ,311,Крупная компания (от 1001 чел.)
060441012905,"ФИЛИАЛ АО ""ГОРНО-МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",07298,Добыча драгоценных металлов и руд редких металлов,116839100,п. ЖОЛЫМБЕТ,311,Крупное компания (от 1001 чел.)
061041010322,"ФИЛИАЛ РУДНИК АКСУ АКЦИОНЕРНОГО ОБЩЕСТВА ""ГОРНО- МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",07298,Добыча драгоценных металлов и руд редких металлов,111833100,п. АКСУ,311,Крупное предприятие (от 1001 чел.)
070541013057,"ФИЛИАЛ АО ""ГОРНО - МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН"" - РУДНИК БЕСТОБЕ",07298,Добыча драгоценных металлов и руд редких металлов,111837100,п. БЕСТОБЕ,311,Крупное предприятие (от 1001 чел.)
080940017279,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ АКМОЛИНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,111010000,г. КОКШЕТАУ,311,Крупное предприятие (от 1001 чел.)
091041004551,"ФИЛИАЛ ""АТБАСАРСКИЙ ЭЛЕКТРОВОЗОРЕМОНТНЫЙ ЗАВОД"" ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ""ҚАМҚОР ЛОКОМОТИВ""",33171,Ремонт подвижного состава железных дорог,113820100,г. АТБАСАР,311,Крупное предприятие (от 1001 чел.)
101040011256,"ТОО ""ALTYNTAU KOKSHETAU""",07298,Добыча драгоценных металлов и руд редких металлов,115649200,с. ВАСИЛЬКОВКА,311,Крупное предприятие (от 1001 чел.)
950440000010,"АО ""КОКШЕТАУСКИЕ МИНЕРАЛЬНЫЕ ВОДЫ""",11010,"Дистилляция, ректификация и смешивание спиртных напитков",111010000,г. КОКШЕТАУ,311,Крупное компания (от 1001 чел.)
960840000681,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КОКШЕТАУСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ Ш.УАЛИХАНОВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,111010000,г. КОКШЕТАУ,311,Крупное предприятие (от 1001 чел.)
990640000283,"АО ""СТЕПНОГОРСКИЙ ПОДШИПНИКОВЫЙ ЗАВОД""",28151,Производство подшипников,111810000,г. СТЕПНОГОРСК,311,Крупное компания (от 1001 чел.)
990940003176,"АО ""ГОРНО - МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",07298,Добыча драгоценных металлов и руд редких металлов,111810000,г. СТЕПНОГОРСК,311,Крупное компания (от 1001 чел.)
БИН,Название организации / компании,ОКЭД,Отрасль деятельности организации,КАТО,Расположение,КРП,Размер организации / компании
020140002588,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ СПЕЦИАЛИЗИРОВАННОЙ СЛУЖБЫ ОХРАНЫ АКМОЛИНСКОЙ ОБЛАСТИ"" МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН",80200,Деятельность в области систем охраны,111010000,г. КОКШЕТАУ,310,Крупная организация (501-1000 чел.)
030540001754,"ТОО ""НОВОПЭК""",13920,"Производство готовых текстильных изделий, кроме одежды",111010000,г. КОКШЕТАУ,310,Крупная организация (501-1000 чел.)
030640002677,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОРОДСКАЯ ПОЛИКЛИНИКА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86210,Общая врачебная практика,111010000,г. КОКШЕТАУ,310,Крупная организация (501-1000 чел.)
031241006029,"ФИЛИАЛ АО ""ЛОКОМОТИВ""-""ЕСИЛЬСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",52211,Эксплуатация железных дорог,114820100,г. ЕСИЛЬ,310,Крупная организация (501-1000 чел.)
031241009211,"ФИЛИАЛ АО ""ЛОКОМОТИВ"" - ""КУРОРТ-БОРОВСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",52211,Эксплуатация железных дорог,117020100,г. ЩУЧИНСК,310,Крупная организация (501-1000 чел.)
040440000299,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""АТБАСАРСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,113820100,г. АТБАСАР,310,Крупная организация (501-1000 чел.)
040540003019,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЕРЕЙМЕНТАУСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,114620100,г. ЕРЕЙМЕНТАУ,310,Крупная организация (501-1000 чел.)
040740000428,"ТОО ""БАЗИС-СТ""",49410,Грузовые перевозки автомобильным транспортом,111810000,г. СТЕПНОГОРСК,310,Крупная компания (501-1000 чел.)
060240016559,"ТОО ""СТЕПНОГОРСК ТЕМІР ЖОЛЫ""",52211,Эксплуатация железных дорог,111810000,г. СТЕПНОГОРСК,310,Крупная компания (501-1000 чел.)
070240006721,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""БУРАБАЙСКАЯ РАЙОННАЯ ПОЛИКЛИНИКА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86210,Общая врачебная практика,117020100,г. ЩУЧИНСК,310,Крупная организация (501-1000 чел.)
070340002425,"ТОО ""СТЕПНОГОРСКАЯ ТЭЦ""",35111,Производство электроэнергии тепловыми электростанциями,111810000,г. СТЕПНОГОРСК,310,Крупная компания (501-1000 чел.)
090340006957,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЗЕРЕНДИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,115630100,с. ЗЕРЕНДА,310,Крупная организация (501-1000 чел.)
130441000263,"ФИЛИАЛ АО ""ВОЕНИЗИРОВАННАЯ ЖЕЛЕЗНОДОРОЖНАЯ ОХРАНА"" В ГОРОДЕ КОКШЕТАУ",80200,Деятельность в области систем охраны,111010000,г. КОКШЕТАУ,310,Крупная компания (501-1000 чел.)
131041012255,"КОКШЕТАУСКИЙ ФИЛИАЛ ТОО ""КАЙСАР СЕКЬЮРИТИ СЕРВИС""",80100,Деятельность частных охранных служб,111010000,г. КОКШЕТАУ,310,Крупная организация (501-1000 чел.)
131241005636,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""УКРУПНЕННАЯ АТБАСАРСКАЯ ДИСТАНЦИЯ ПУТИ""",52211,Эксплуатация железных дорог,113820100,г. АТБАСАР,310,Крупная компания (501-1000 чел.)
131241008393,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""- ""УКРУПНЕННАЯ КОКШЕТАУСКАЯ ДИСТАНЦИЯ ПУТИ""",52211,Эксплуатация железных дорог,111010000,г. КОКШЕТАУ,310,Крупная компания (501-1000 чел.)
131241010464,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""УКРУПНЕННАЯ ЕСИЛЬСКАЯ ДИСТАНЦИЯ ПУТИ""",52211,Эксплуатация железных дорог,114820100,г. ЕСИЛЬ,310,Крупная компания (501-1000 чел.)
140341001636,"ФИЛИАЛ В ГОРОДЕ СТЕПНОГОРСК ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""FORCEGUARD""",80100,Деятельность частных охранных служб,111810000,г. СТЕПНОГОРСК,310,Крупная организация (501-1000 чел.)
150340015936,"ОБЩЕСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ПРОФСОЮЗ РАБОТНИКОВ ТОО ""СТЕПНОГОРСКИЙ ГОРНО-ХИМИЧЕСКИЙ КОМБИНАТ""",94990,"Деятельность прочих общественных организаций, не включенных в другие группировки",111810000,г. СТЕПНОГОРСК,310,Крупная организация (501-1000 чел.)
480140000010,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""АКМОЛИНСКИЙ ОБЛАСТНОЙ ЦЕНТР САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОЙ ЭКСПЕРТИЗЫ"" КОМИТЕТА ГОСУДАРСТВЕННОГО САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОГО НАДЗОРА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",71201,Деятельность санитарно-эпидемиологических учреждений,111010000,г. КОКШЕТАУ,310,Крупная организация (501-1000 чел.)
920740000254,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ АКМОЛИНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,111010000,г. КОКШЕТАУ,310,Крупная организация (501-1000 чел.)
931240000111,"АО ""ТЫНЫС""",28252,"Производство кондиционеров воздуха, вентиляторов",111010000,г. КОКШЕТАУ,310,Крупная компания (501-1000 чел.)
940940001144,"ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""ИЖЕВСКИЙ""",01471,"Разведение птицы на мясо, племенной птицы и молодняка",113443100,с. ИЖЕВСКОЕ,310,Крупная организация (501-1000 чел.)
950241000524,"""АКМОЛИНСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ"" - ФИЛИАЛ АО ""КАЗАХТЕЛЕКОМ""",61100,Проводная телекоммуникационная связь,111010000,г. КОКШЕТАУ,310,Крупная организация (501-1000 чел.)
950740000537,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""СТЕПНОГОРСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,111810000,г. СТЕПНОГОРСК,310,Крупная организация (501-1000 чел.)
960440000121,"АО ""АКМОЛА-ФЕНИКС""",01471,"Разведение птицы на мясо, племенной птицы и молодняка",116630100,а. АКМОЛ,310,Крупная компания (501-1000 чел.)
981240000031,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КОКШЕТАУ ЖЫЛУ"" ПРИ АКИМАТЕ ГОРОДА КОКШЕТАУ",35302,Производство тепловой энергии самостоятельными котельными,111010000,г. КОКШЕТАУ,310,Крупная организация (501-1000 чел.)
990240003065,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""АКМОЛИНСКАЯ ОБЛАСТНАЯ ДЕТСКАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,111010000,г. КОКШЕТАУ,310,Крупная организация (501-1000 чел.)
990240003769,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""АКМОЛИНСКАЯ ОБЛАСТНАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,111010000,г. КОКШЕТАУ,310,Крупная организация (501-1000 чел.)
БИН,Название предприятия / компании,ОКЭД,Отрасль деятельности предприятия / компании,КАТО,Расположение,КРП,Размер предприятия / компании
000440016169,"ТОО СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""ТРАНСАВТО""",46211,"Оптовая торговля зерном, семенами и кормами для животных",117020100,г. ЩУЧИНСК,305,Крупная компания (251-500 чел.)
000840003121,"УЧРЕЖДЕНИЕ ""КОКШЕТАУСКИЙ УНИВЕРСИТЕТ ИМЕНИ АБАЯ МЫРЗАХМЕТОВА""",85420,Высшее образование,111010000,г. КОКШЕТАУ,305,Крупное предприятие (251-500 чел.)
001140001965,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""РЕСПУБЛИКАНСКИЙ УЧЕБНО-ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР ""БАЛДАУРЕН"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",86103,Деятельность санаторно-курортных учреждений,117020100,г. ЩУЧИНСК,305,Крупное предприятие (251-500 чел.)
001241002506,"АКМОЛИНСКИЙ ОБЛАСТНОЙ ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАЗАХАВТОДОР"" КОМИТЕТА АВТОМОБИЛЬНЫХ ДОРОГ МИНИСТЕРСТВА ТРАНСПОРТА И КОММУНИКАЦИИ РЕСПУБЛИКИ КАЗАХСТАН",42110,Строительство дорог и автомагистралей,116630100,а. АКМОЛ,305,Крупное предприятие (251-500 чел.)
010140000906,"ТОО ""СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""САГА КРИК ГОЛД КОМПАНИ""",07298,Добыча драгоценных металлов и руд редких металлов,111810000,г. СТЕПНОГОРСК,305,Крупное предприятие (251-500 чел.)
010740001738,"ТОО ""ВАГОНО - РЕМОНТНОЕ ДЕПО ""БУРАБАЙ""",33171,Ремонт подвижного состава железных дорог,117020100,г. ЩУЧИНСК,305,Крупное предприятие (251-500 чел.)
010740003328,"ТОО ""КОКШЕТАУ ЭНЕРГО ЦЕНТР""",35140,Продажа электроэнергии потребителю,111010000,г. КОКШЕТАУ,305,Крупное предприятие (251-500 чел.)
011241001788,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМIР ЖОЛЫ"" - ""АТБАСАРСКАЯ ДИСТАНЦИЯ ЭЛЕКТРОСНАБЖЕНИЯ""",35130,Распределение электроэнергии,113820100,г. АТБАСАР,305,Крупная компания (251-500 чел.)
011241002270,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""КУРОРТ - БОРОВСКОЕ ЭКСПЛУАТАЦИОННОЕ ВАГОННОЕ ДЕПО""",52211,Эксплуатация железных дорог,117020100,г. ЩУЧИНСК,305,ККрупная компания (251-500 чел.)
011241002885,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""КУРОРТ-БОРОВСКОЕ РЕЛЬСОСВАРОЧНОЕ ПРЕДПРИЯТИЕ""",33171,Ремонт подвижного состава железных дорог,117020100,г. ЩУЧИНСК,305,Крупная компания (251-500 чел.)
011241003040,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""КОКШЕТАУСКАЯ ДИСТАНЦИЯ ЭЛЕКТРОСНАБЖЕНИЯ""",35130,Распределение электроэнергии,111010000,г. КОКШЕТАУ,305,Крупная компания (251-500 чел.)
020240007874,"ТОО ""АГРОФИРМА ПОИСК""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",113447100,а. ТУРГЕН,305,Крупная компания (251-500 чел.)
020340005381,"ТОО ""ЗЕРЕНДА-АСТЫК""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",115655800,с. СЕРАФИМОВКА,305,Крупная компания (251-500 чел.)
020741002822,"ФИЛИАЛ АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""АКМОЛИНСКОЕ ОТДЕЛЕНИЕ МАГИСТРАЛЬНОЙ СЕТИ""",52211,Эксплуатация железных дорог,111010000,г. КОКШЕТАУ,305,Крупная компания (251-500 чел.)
020840001753,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ТЕРМО-ТРАНЗИТ"" ПРИ ОТДЕЛЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ БУРАБАЙСКОГО РАЙОНА",35302,Производство тепловой энергии самостоятельными котельными,117020100,г. ЩУЧИНСК,305,Крупное предприятие (251-500 чел.)
030841007809,"КОКШЕТАУСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕЛИОС""",47300,Розничная торговля топливом в специализированных магазинах,111010000,г. КОКШЕТАУ,305,Крупное предприятие (251-500 чел.)
031140000596,"ТОО ""ЖУРАВЛЕВКА-1""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",114041100,с. КАПИТОНОВКА,305,Крупная компания (251-500 чел.)
040440004053,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЕСИЛЬСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,114820100,г. ЕСИЛЬ,305,Крупное предприятие (251-500 чел.)
040440004172,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""БУРАБАЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,117020100,г. ЩУЧИНСК,305,Крупное предприятие (251-500 чел.)
040440004480,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""АСТРАХАНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,113630100,с. АСТРАХАНКА,305,Крупное предприятие (251-500 чел.)
040440005686,"АО ""АСТАНА-ӨНІМ""",01500,Смешанное сельское хозяйство,116647200,с. КРАСНОЯРКА,305,Крупная компания (251-500 чел.)
040540002883,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ШОРТАНДИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,116830100,п. ШОРТАНДЫ,305,Крупное предприятие (251-500 чел.)
040540002912,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""БУЛАНДЫНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЕ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,114020100,г. МАКИНСК,305,Крупное предприятие (251-500 чел.)
040540002922,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""САНДЫКТАУСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ПРИ УПРАВЛЕНИИ ЗДРАВООХРАНЕНИЯ АКМОЛИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,116430100,с. БАЛКАШИНО,305,Крупное предприятие (251-500 чел.)
