BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
011241007241,"Филиал АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""АКТОБИНСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",49200,Грузовой железнодорожный транспорт,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
020140001173,"ТОО ""ВОСТОК НЕФТЬ И СЕРВИСНОЕ ОБСЛУЖИВАНИЕ""",09100,Техническая поддержка при добыче нефти и природного газа,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
020541007053,"СПЕЦИАЛИЗИРОВАННОЕ ТРАНСПОРТНОЕ УПРАВЛЕНИЕ (СТУ) - Филиал АО ""СНПС-АКТОБЕМУНАЙГАЗ""",52291,Транспортно-экспедиционные услуги,154820100,Г.Кандыагаш,311,Крупная организация (от 1001 чел.)
021041001594,"""ДОНСКОЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ"" - Филиал АО ""ТНК"" ""КАЗХРОМ""",07299,Добыча прочих руд цветных металлов,156020100,г. Хромтау,311,Крупная компания (от 1001 чел.)
030840004016,"ТОО ""ЭНЕРГОСИСТЕМА""",35120,Передача электроэнергии,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
040340008667,"ТОО ""АКТЮБИНСКАЯ МЕДНАЯ КОМПАНИЯ""",07292,Добыча и обогащение медной руды,156040100,с.Коктау,311,Крупное предприятие (от 1001 чел.)
040541002353,"АКТЮБИНСКИЙ ЗАВОД ФЕРРОСПЛАВОВ - Филиал АО ""ТРАНСНАЦИОНАЛЬНАЯ КОМПАНИЯ ""КАЗХРОМ""",24100,"Производство чугуна, стали и ферросплавов",151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
041041008634,"РЕГИОНАЛЬНЫЙ ФИЛИАЛ ПО ПАССАЖИРСКИМ ПЕРЕВОЗКАМ ""ЗАПАДНЫЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""ПАССАЖИРСКИЕ ПЕРЕВОЗКИ""",49100,"Пассажирский железнодорожный транспорт, междугородний",151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
050640000298,"ТОО ""КАЗАХДОРСТРОЙ""",42110,Строительство дорог и автомагистралей,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
070841001074,"ЖАНАЖОЛЬСКИЙ НЕФТЕГАЗОПЕРЕРАБАТЫВАЮЩИЙ КОМПЛЕКС АКЦИОНЕРНОГО ОБЩЕСТВА ""СНПС-АКТОБЕМУНАЙГАЗ""",06100,Добыча сырой нефти и попутного газа,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
110340012600,"ТОО ""СНПС-АКТЮБИНСКАЯ ТРАНСПОРТНАЯ КОМПАНИЯ""",49410,Грузовые перевозки автомобильным транспортом,154820100,Г.Кандыагаш,311,Крупная организация (от 1001 чел.)
130840021720,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""АКТЮБИНСКИЙ РЕГИОНАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ К. ЖУБАНОВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
920140000301,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ АКТЮБИНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84112,Деятельность региональных органов управления,151010000,г. Актобе,311,Крупное предприятие (от 1001 чел.)
