BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
010841003446,"АЛМАТИНСКИЙ ОБЛАСТНОЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗПОЧТА""",53100,Почтовые услуги в соответствии с обязательствами по предоставлению услуг в зоне всеобщего охвата,191010000,г. Талдыкорган,311,Крупное предприятие (от 1001 чел.)
931240000200,"АО ""ТРАНССТРОЙМОСТ""",42219,Строительство прочих распределительных инженерных сооружений,191610000,г. Капчагай,311,Крупная компания (от 1001 чел.)
950341000391,"АЛМАТИНСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОМУНИКАЦИЙ- ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",61100,Проводная телекоммуникационная связь,191010000,г. Талдыкорган,311,Крупное предприятие (от 1001 чел.)
970840001295,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ АЛМАТИНСКОЙ ОБЛАСТИ"" МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН",84240,Деятельность по обеспечению общественного порядка и безопасности,191010000,г. Талдыкорган,311,Крупная компания (от 1001 чел.)
980140000600,"АО ""ТАЛДЫКОРГАНСКАЯ АКЦИОНЕРНАЯ ТРАНСПОРТНО-ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""",35140,Продажа электроэнергии потребителю,191010000,г. Талдыкорган,311,Крупная компания (от 1001 чел.)
БИН,Наименование организации / компании,ОКЭД,Отрасль деятельности организации,КАТО,Населённый пункт,КРП,Размер организации / компании
000340000951,"АО ""СТЕКОЛЬНАЯ КОМПАНИЯ "" САФ""",23131,Производство стеклянной тары,196853100,п. ПЕРВОМАЙСКИЙ,310,Крупная организация (501-1000 чел.)
000740002407,"ГОРОДСКОЕ ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ТАЛДЫКОРГАНТЕПЛОСЕРВИС"" ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""АППАРАТ АКИМА ГОРОДА ТАЛДЫКОРГАН"".",35302,Производство тепловой энергии самостоятельными котельными,191010000,г. Талдыкорган,310,Крупная организация (501-1000 чел.)
010640003651,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 64192"" МИНИСТЕРСТВА ОБОРОНЫ РЕСПУБЛИКИ КАЗАХСТАН",84220,Оборонная деятельность,191610000,г. Капчагай,310,Крупная организация (501-1000 чел.)
020141007257,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ"" ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""-""СТАНЦИЯ ДОСТЫК""",49100,"Пассажирский железнодорожный транспорт, междугородний",193443100,п. ДОСТЫК,310,Крупная компания (501-1000 чел.)
