BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
000240002706,"ТОО ""ДОЧЕРНЯЯ ОРГАНИЗАЦИЯ КИТАЙСКОЙ НЕФТЯНОЙ ИНЖЕНЕРНО-СТРОИТЕЛЬНОЙ ГРУППЫ""",42219,Строительство прочих распределительных инженерных сооружений,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
000540002083,"АО ""КАЗТЕЛЕРАДИО""",61200,Беспроводная телекоммуникационная связь,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
001040003521,"ТОО ""ALINA PRO""",23640,Производство сухих бетонных смесей,751910000,"г. Алматы, ТУРКСИБСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
010240002450,"Государственное учреждение ""КАЗАХСКАЯ НАЦИОНАЛЬНАЯ АКАДЕМИЯ ИСКУССТВ ИМЕНИ Т.К.ЖУРГЕНОВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
010740001371,"АО ""НГСК КАЗСТРОЙСЕРВИС""",42120,Строительство железных дорог и метро,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
010740002528,"АО ""КАЗАХСКИЙ ЭКОНОМИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Т.РЫСКУЛОВА""",85420,Высшее образование,751310000,"г. Алматы, АУЭЗОВСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
010940000162,"АО ""ЭЙР АСТАНА""",51101,"Деятельность воздушного пассажирского транспорта, подчиняющегося расписанию",751910000,"г. Алматы, ТУРКСИБСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
010940002327,"ТОО ""ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИЙ КОМПЛЕКС - КАЗАХСТАН""",47300,Розничная торговля топливом в специализированных магазинах,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
011140002221,"ТОО ""ОХРАННОЕ АГЕНТСТВО ""ТИТАН""",80300,Деятельность по расследованию,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
011241008329,"Филиал АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" ""АЛМАТИНСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",49100,"Пассажирский железнодорожный транспорт, междугородний",751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
