BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
000140002217,"АО ""КАЗПОЧТА""",53100,Почтовые услуги в соответствии с обязательствами по предоставлению услуг в зоне всеобщего охвата,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
000440006409,"Государственное Учреждение ""ВОЙСКОВАЯ ЧАСТЬ 2014""",84220,Оборонная деятельность,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
000640000596,"АО ""НАЦИОНАЛЬНЫЙ НАУЧНЫЙ МЕДИЦИНСКИЙ ЦЕНТР""",86101,Деятельность больниц широкого профиля и специализированных больниц,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
000740000728,"АО ""НАЦИОНАЛЬНЫЕ ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",63110,Услуги по размещению и переработке данных и другие услуги,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
000940002622,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""АСТАНА СУ АРНАСЫ"" АКИМАТА ГОРОДА АСТАНЫ",36000,"Сбор, обработка и распределение воды",711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
001040000498,"АО ""НАЦИОНАЛЬНЫЙ ЦЕНТР ЭКСПЕРТИЗЫ И СЕРТИФИКАЦИИ""",71209,"Деятельность прочих учреждений, осуществляющих технические испытания и анализы",711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
001140000590,"Республиканское Государственное предприятие на праве хозяйственного ведения ""КАЗАХАВТОДОР"" КОМИТЕТА АВТОМОБИЛЬНЫХ ДОРОГ МИНИСТЕРСТВА ТРАНСПОРТА И КОММУНИКАЦИЙ РЕСПУБЛИКИ КАЗАХСТАН",42110,Строительство дорог и автомагистралей,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
001240000405,"ТОО ""SEMSER SECURITY""",80100,Деятельность частных охранных служб,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
001241000301,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""БАЗИС"" В ГОРОДЕ АСТАНА",41201,Строительство жилых зданий,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
010140003594,"Республиканское Государственное предприятие на праве хозяйственного ведения ""ЕВРАЗИЙСКИЙ НАЦИОНАЛЬНЫЙ УНИВЕРСИТЕТ ИМЕНИ Л.Н. ГУМИЛЕВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
011240002017,"АО ""ВОЕНИЗИРОВАННАЯ ЖЕЛЕЗНОДОРОЖНАЯ ОХРАНА""",70100,Деятельность головных компаний,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
020440001144,"АО ""КАЗТРАНСГАЗ АЙМАҚ""",46712,Оптовая торговля природным (горючим) газом,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
020440003656,"Республиканское Государственное предприятие ""ДИРЕКЦИЯ АДМИНИСТРАТИВНЫХ ЗДАНИЙ АДМИНИСТРАЦИИ ПРЕЗИДЕНТА И ПРАВИТЕЛЬСТВА РЕСПУБЛИКИ КАЗАХСТАН"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РЕСПУБЛИКИ КАЗАХСТАН"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ",68320,Управление недвижимостью за вознаграждение или на договорной основе,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
020540000922,"АО ""ПАССАЖИРСКИЕ ПЕРЕВОЗКИ""",49100,"Пассажирский железнодорожный транспорт, междугородний",711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
020540003431,"АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ""",49200,Грузовой железнодорожный транспорт,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
030140001998,"Республиканское Государственное предприятие на праве хозяйственного ведения ""РЕСПУБЛИКАНСКАЯ ВЕТЕРИНАРНАЯ ЛАБОРАТОРИЯ"" КОМИТЕТА ВЕТЕРИНАРНОГО КОНТРОЛЯ И НАДЗОРА МИНИСТЕРСТВА СЕЛЬСКОГО ХОЗЯЙСТВА РЕСПУБЛИКИ КАЗАХСТАН",75000,Ветеринарная деятельность,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
030140002252,"ТОО ""ТЕМІРЖОЛ ЖӨНДЕУ""",43999,"Прочие строительные работы, требующие специальных профессий",711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
030340001539,"АО ""МЕЖДУНАРОДНЫЙ АЭРОПОРТ АСТАНА""",52239,"Прочая деятельность, относящаяся к пассажирским и грузовым перевозкам",711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
030340001648,"Государственное Учреждение ""РЕСПУБЛИКАНСКИЙ МЕТОДИЧЕСКИЙ ЦЕНТР ФИТОСАНИТАРНОЙ ДИАГНОСТИКИ И ПРОГНОЗОВ"" КОМИТЕТА ГОСУДАРСТВЕННОЙ ИНСПЕКЦИИ В АГРОПРОМЫШЛЕННОМ КОМПЛЕКСЕ МИНИСТЕРСТВА СЕЛЬСКОГО ХОЗЯЙСТВА РЕСПУБЛИКИ КАЗАХСТАН",84130,Регулирование и содействие эффективному ведению экономической деятельности,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
030340003832,"ТОО ""АҚ-ЖОЛ""",08121,Разработка гравийных и песчаных карьеров,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
030440000940,"ТОО ""ҚАМҚОР ЛОКОМОТИВ""",33171,Ремонт подвижного состава железных дорог,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
030440002799,"ТОО ""ҚАМҚОР ВАГОН""",33171,Ремонт подвижного состава железных дорог,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
031040000572,"АО ""ҚАЗТЕМІРТРАНС""",49200,Грузовой железнодорожный транспорт,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
031040001799,"АО ""ЛОКОМОТИВ""",52211,Эксплуатация железных дорог,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
031240004384,"АО ""ВОКЗАЛ-СЕРВИС""",68200,Аренда и эксплуатация собственной или арендуемой недвижимости,711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
040240005450,"АО ""ВАГОНСЕРВИС""",33171,Ремонт подвижного состава железных дорог,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
040540000212,"АО ""ЦЕНТРКАЗЭНЕРГОМОНТАЖ""",41201,Строительство жилых зданий,711110000,"Астана, район ""АЛМАТЫ""",311,Крупная организация (от 1001 чел.)
041041008941,"РЕГИОНАЛЬНЫЙ ФИЛИАЛ ПО ПАССАЖИРСКИМ ПЕРЕВОЗКАМ ""СЕВЕРНЫЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""ПАССАЖИРСКИЕ ПЕРЕВОЗКИ""",49100,"Пассажирский железнодорожный транспорт, междугородний",711310000,"Астана, район ""САРЫАРКА""",311,Крупное предприятие (от 1001 чел.)
041140002633,"АО ""ЛОКОМОТИВНЫЙ СЕРВИСНЫЙ ЦЕНТР""",33171,Ремонт подвижного состава железных дорог,711210000,"Астана, район ""ЕСИЛЬ""",311,Крупная компания (от 1001 чел.)
