BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
000241000874,"ФИЛИАЛ ""АДЖИП КАЗАХСТАН НОРТ КАСПИАН ОПЕРЕЙТИНГ КОМПАНИ Н.В. В РЕСПУБЛИКЕ КАЗАХСТАН""",71122,Деятельность по проведению геологической разведки и изысканий (без научных исследований и разработок),231010000,г. Атырау,311,Крупная компания (от 1001 чел.)
001240000920,"ТОО ""БОЛАШАК-АТЫРАУ""",78300,Деятельность прочих организаций по работе с персоналом,231010000,г. Атырау,311,Крупное предприятие (от 1001 чел.)
010341002201,"АТЫРАУСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SEMSER SECURITY""",80200,Деятельность в области систем охраны,231010000,г. Атырау,311,Крупное предприятие (от 1001 чел.)
010940000291,"АО ""АТЫРАУ-ЖАРЫК""",35130,Распределение электроэнергии,231010000,г. Атырау,311,Крупная компания (от 1001 чел.)
020240000802,"ТОО ""ЮСС СУПОРТ СЕРВИСЕЗ""",56290,Прочие виды организации питания,231010000,г. Атырау,311,Крупное предприятие (от 1001 чел.)
030941002762,"ФИЛИАЛ ""СИЧИМ С.П.А., КАЗАХСТАН""",42211,Строительство нефтяных и газовых магистральных трубопроводов,231039300,Атырауская область СТ. КАРАБАТАН,311,Крупное предприятие (от 1001 чел.)
040740000537,"ТОО ""АТЫРАУСКИЙ НЕФТЕПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""",19201,Производство продуктов нефтепереработки,231010000,г. Атырау,311,Крупное предприятие (от 1001 чел.)
050541006348,"ФИЛИАЛ АО ""ВОЕНИЗИРОВАННАЯ ЖЕЛЕЗНОДОРОЖНАЯ ОХРАНА"" - ""АТЫРАУСКАЯ ЖЕЛЕЗНОДОРОЖНАЯ ОХРАНА""",80100,Деятельность частных охранных служб,231010000,г. Атырау,311,Крупная компания (от 1001 чел.)
050840002162,"ТОО ""ИДЕАЛ МАРКЕТ""",47111,"Розничная торговля преимущественно продуктами питания, включая напитки и табачными изделиями в неспециализированных магазинах",231010000,г. Атырау,311,Крупное предприятие (от 1001 чел.)
060540013387,"ТОО ""КАЗАХСТАНСКАЯ СИСТЕМА БЕЗОПАСНОСТИ ГРУП""",80100,Деятельность частных охранных служб,231047100,Атырауская область с. ЖУМЫСКЕР,311,Крупное предприятие (от 1001 чел.)
070640004748,"АО ""ПСН КАЗСТРОЙ""",74909,"Прочая профессиональная, научная и техническая деятельность, не включенная в другие категории",231010000,г. Атырау,311,Крупная компания (от 1001 чел.)
111240010396,"ТОО ""MANPOWER SERVICE LTD""",78300,Деятельность прочих организаций по работе с персоналом,231010000,г. Атырау,311,Крупная компания (от 1001 чел.)
