BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
000240004524,"РЕСПУБЛИКАНСКОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАРАГАНДИНСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН""",85420,Высшее образование,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
001041000324,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ КАЗАХМЫС"" - ""КАРАГАНДИНСКИЙ ЛИТЕЙНО-МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД""",28921,Производство горношахтного и горнорудного оборудования,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
010340000359,"ТОО ""ИНТЕРСТРОЙСЕРВИС И К""",47520,"Розничная торговля скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах",351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
011241008277,"Филиал АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""КАРАГАНДИНСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",49100,"Пассажирский железнодорожный транспорт, междугородний",351011100,"г. Караганда, Октябрьский р-н",311,Крупная организация (от 1001 чел.)
020740000236,"АО ""ШУБАРКОЛЬ КОМИР""",05101,Добыча каменного угля открытым способом,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
020740005633,"ЧАСТНОЕ УЧРЕЖДЕНИЕ ""ДОШКОЛЬНИК""",85100,Дошкольное (доначальное) образование,351810000,г. Жезкахган,311,Крупная компания (от 1001 чел.)
021140000722,"ТОО ""ҚАРАҒАНДЫ ЖАРЫҚ""",35120,Передача электроэнергии,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
031141004534,"Филиал АО ""ЛОКОМОТИВ"" - ""КАРАГАНДИНСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",49100,"Пассажирский железнодорожный транспорт, междугородний",351011100,"г. Караганда, Октябрьский р-н",311,Крупная организация (от 1001 чел.)
040342030199,"ПРЕДСТАВИТЕЛЬСТВО ""ОРКЕН-АТАСУ"" ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРКЕН""",94110,Деятельность коммерческих и предпринимательских организаций,352010000,Г.КАРАЖАЛ,311,Крупная компания (от 1001 чел.)
040540001499,"ТОО ""ҚҰРЫЛЫСМЕТ""",28921,Производство горношахтного и горнорудного оборудования,352410000,Г.ТЕМИРТАУ,311,Крупная компания (от 1001 чел.)
040640005089,"ТОО ""ҚАРАҒАНДЫ СУ""",36000,"Сбор, обработка и распределение воды",351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
050140000656,"ТОО ""КОРПОРАЦИЯ КАЗАХМЫС""",24440,Производство меди,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
050140001773,"ТОО ""ОРКЕН""",07102,Добыча железной руды открытым способом,352410000,г. Темиртау,311,Крупное предприятие (от 1001 чел.)
050340003320,"ТОО ""ҚОРҒАУ ҚЫЗМЕТІ""",80100,Деятельность частных охранных служб,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
060140004076,"ТОО ""ПРОМТРАНС МЕНЕДЖМЕНТ""",52291,Транспортно-экспедиционные услуги,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
060441000268,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ КАЗАХМЫС"" - ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""КАРАГАНДАЦВЕТМЕТ""",07292,Добыча и обогащение медной руды,352410000,Г.ТЕМИРТАУ,311,Крупная компания (от 1001 чел.)
060640003781,"ТОО ""ТЕПЛОТРАНЗИТ КАРАГАНДА""",35303,Теплоснабжение,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
060641009902,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ КАЗАХМЫС"" - ПРОИЗВОДСТВЕННОЕ ОЪЕДИНЕНИЕ ""ЖЕЗКАЗГАНЦВЕТМЕТ""",24440,Производство меди,351810000,Г.ЖЕЗКАЗГАН,311,Крупная компания (от 1001 чел.)
061041001432,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ КАЗАХМЫС"" - УГОЛЬНЫЙ ДЕПАРТАМЕНТ ""БОРЛЫ""",05101,Добыча каменного угля открытым способом,351013100,"г. Караганда, район им. КАЗЫБЕК БИ",311,Крупное предприятие (от 1001 чел.)
