BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
070740008082,"ТОО ""БАСТАУ-S""",43999,"Прочие строительные работы, требующие специальных профессий",431010000,г. Кызылорда,311,Крупная компания (от 1001 чел.)
140140016919,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""АральскАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА С АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЙ УСЛУГОЙ ""УПРАВЛЕНИЯ ЗДРАВОХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,433220100,г. Аральск,311,Крупное предприятие (от 1001 чел.)
140640020390,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ШИЕЛИЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА С АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЙ УСЛУГОЙ "" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,435230100,с. ШИЕЛИ,311,Крупное предприятие (от 1001 чел.)
140740004907,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАЗАЛИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА С АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЙ УСЛУГОЙ "" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86109,"Деятельность других лечебных учреждений, имеющих стационары",434430100,п. Айтеке Би,311,Крупное предприятие (от 1001 чел.)
140740007416,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЖАНАКОРГАНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА С АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКОЙ УСЛУГОЙ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,434030100,с. ЖАНАКОРГАН,311,Крупное предприятие (от 1001 чел.)
940540000210,"АО ""ПЕТРОКАЗАХСТАН КУМКОЛЬ РЕСОРСИЗ""",06100,Добыча сырой нефти и попутного газа,431010000,г. Кызылорда,311,Крупная компания (от 1001 чел.)
940740000753,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,431010000,г. Кызылорда,311,Крупное предприятие (от 1001 чел.)
960540000620,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КЫЗЫЛОРДИНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ КОРКЫТ-АТА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН""",85420,Высшее образование,431010000,г. Кызылорда,311,Крупное предприятие (от 1001 чел.)
981241000811,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ВОЛКОВГЕОЛОГИЯ"" ""ГЕОЛОГОРАЗВЕДОЧНАЯ ЭКСПЕДИЦИЯ №23""",71122,Деятельность по проведению геологической разведки и изысканий (без научных исследований и разработок),435230100,с. ШИЕЛИ,311,Крупная компания (от 1001 чел.)
990140001967,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНОЙ МЕДИЦИНСКИЙ ЦЕНТР"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,431010000,г. Кызылорда,311,Крупное предприятие (от 1001 чел.)
БИН,Название предприятия,ОКЭД,Вид деятельности предприятия,КАТО,Населённый пункт,КРП,Размер предприятия
000240002131,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""КЫЗЫЛОРДИНСКАЯ ГОРОДСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",86900,Прочая деятельность по охране здоровья,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
010340003383,"ТОО ""НЕФТЬТЕХСЕРВИС""",09100,Техническая поддержка при добыче нефти и природного газа,431010000,г. Кызылорда,310,Крупная компания (501 - 1000 чел.)
011241003378,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" ""КАЗАЛИНСКОЕ ЭКСПЛУАТАЦИОННОЕ ВАГОННОЕ ДЕПО""",52211,Эксплуатация железных дорог,434423100,г. КАЗАЛИНСК,310,Крупная организация (501 - 1000 чел.)
011241008190,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""КЫЗЫЛОРДИНСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",49100,"Пассажирский железнодорожный транспорт, междугородний",431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
021041001247,"КЫЗЫЛОРДИНСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ - ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",61900,Другие виды телекоммуникационных услуг,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
031141007360,"""ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ЛОКОМОТИВ""- ""КЫЗЫЛОРДИНСКОЕ ЭКСПЛУАТАЦИОННОЕ ЛОКОМОТИВНОЕ ДЕПО""",52211,Эксплуатация железных дорог,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
040740003730,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""Кызылорда СУ ЖУЙЕСИ""",36000,"Сбор, обработка и распределение воды",431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
050140010603,"ТОО ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ""",42110,Строительство дорог и автомагистралей,431010000,г. Кызылорда,310,Крупная компания (501 - 1000 чел.)
050740005470,"ТОО ""ИНЖЕНЕРНАЯ БУРОВАЯ КОМПАНИЯ ""СИБУ-Кызылорда""",09100,Техническая поддержка при добыче нефти и природного газа,431010000,г. Кызылорда,310,Крупная компания (501 - 1000 чел.)
050740006657,"ТОО ""ТРАНС АЗИЯ КОНСТРАКШН""",42211,Строительство нефтяных и газовых магистральных трубопроводов,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
050740006845,"ГОС. КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КызылордаТЕПЛОЭЛЕКТРОЦЕНТР""",35111,Производство электроэнергии тепловыми электростанциями,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
051240000908,"ТОО ""РМЗ-ШАПАГАТ""",25112,Производство легких металлических конструкций,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
081040002508,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
091041006439,"ФИЛИАЛ ""КАЗАЛИНСКИЙ ЛОКОМОТИВНО-РЕМОНТНЫЙ ЗАВОД"" ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ҚАМҚОР ЛОКОМОТИВ""",33171,Ремонт подвижного состава железных дорог,434430100,п. Айтеке Би,310,Крупная организация (501 - 1000 чел.)
100740013156,"ТОО ""КОМПАНИЯ ""ЕНБЕК БИРЖА ЛТД""",78100,Деятельность агентств по трудоустройству,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
110841002280,"КЫЗЫЛОРДИНСКИЙ ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАЗВОДХОЗ"" КОМИТЕТА ПО ВОДНЫМ РЕСУРСАМ МИНИСТЕРСТВА ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ РЕСПУБЛИКИ КАЗАХСТАН",01612,Эксплуатация оросительных систем,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
110841003190,"ФИЛИАЛ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ СТРОЯЩИХСЯ ПРЕДПРИЯТИЙ ""АРАЛ"" РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАЗВОДЗОЗ"" КОМИТЕТА ПО ВОДНЫМ РЕСУРСАМ МИНИСТЕРСТВА ОХРАНЫ ОКРУЖАЮЩЕЙ СРЕДЫ РЕСПУБЛИКИ КАЗАХСТАН",36000,"Сбор, обработка и распределение воды",431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
111241023145,"ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ ""ЦЕНТР ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ"" ПО КЫЗЫЛОРДИНСКОЙ ОБЛАСТИ",84230,Деятельность в области юстиции и правосудия,431010000,г. Кызылорда,310,Крупная организация (501 - 1000 чел.)
