BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
000440006300,"ГОС. УЧРЕЖДЕНИЕ ""РЕГИОНАЛЬНОЕ УПРАВЛЕНИЕ БЕРЕГОВОЙ ОХРАНЫ ПОГРАНИЧНОЙ СЛУЖБЫ КОМИТЕТА НАЦИОНАЛЬНОЙ БЕЗОПАСНОСТИ РЕСПУБЛИКИ КАЗАХСТАН (ВОЙСКОВАЯ ЧАСТЬ 2201)""",84220,Оборонная деятельность,471043100,с. Умирзак,311,Крупное предприятие (от 1001 чел.)
010540000910,"ТОО ""KMG EP-CATERING""",55101,Предоставление услуг гостиницами с ресторанами,471810000,г. Жанаозен,311,Крупное предприятие (от 1001 чел.)
010840003679,"ТОО ""ОЙЛ ТРАНСПОРТ КОРПОРЕЙШЭН""",09100,Техническая поддержка при добыче нефти и природного газа,471010000,г. Актау,311,Крупная компания (от 1001 чел.)
020540003223,"ТОО ""OIL SERVICES COMPANY""",09100,Техническая поддержка при добыче нефти и природного газа,471010000,г. Актау,311,Крупная компания (от 1001 чел.)
020640002982,"ТОВАРИЩЕСТВО С ОГРАНИЧЕНОЙ ОТВЕТСТВЕННОСТЬЮ ""OIL CONSTRUCTION COMPANY""",41201,Строительство жилых зданий,471010000,г. Актау,311,Крупное предприятие (от 1001 чел.)
030240000329,"ТОО ""МАНГИСТАУСКИЙ АТОМНЫЙ ЭНЕРГЕТИЧЕСКИЙ КОМБИНАТ-КАЗАТОМПРОМ""",35111,Производство электроэнергии тепловыми электростанциями,471010000,г. Актау,311,Крупное предприятие (от 1001 чел.)
040140004558,"ТОО ""ИНЖЕНЕРНАЯ БУРОВАЯ КОМПАНИЯ ""СИ БУ"" (Актау)",09100,Техническая поддержка при добыче нефти и природного газа,471010000,г. Актау,311,Крупная компания (от 1001 чел.)
041140003196,"ТОО ""ARGYMAK TRANSSERVICE""",49410,Грузовые перевозки автомобильным транспортом,471010000,г. Актау,311,Крупное предприятие (от 1001 чел.)
041140013193,"ГОС. УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 2087""",84220,Оборонная деятельность,473630100,с. БЕЙНЕУ,311,Крупное предприятие (от 1001 чел.)
050540008349,"ТОО ""МУНАЙГАЗКУРЫЛЫС""",42219,Строительство прочих распределительных инженерных сооружений,471010000,г. Актау,311,Крупная компания (от 1001 чел.)
