BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
910140000121,"ГОС. УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",84240,Деятельность по обеспечению общественного порядка и безопасности,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.)
931240000210,"АО ""ПЕТРОПАВЛОВСКИЙ ЗАВОД ТЯЖЕЛОГО МАШИНОСТРОЕНИЯ""",28992,Производство нефтегазоперерабатывающего оборудования,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.)
931240000240,"АО ""ЗИКСТО""",30200,Производство железнодорожных локомотивов и подвижного состава (без ремонта),591010000,г. Петропавловск,311,Крупнейшая компания(от 1001 чел.)
960340000702,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""СЕВЕРО-КАЗАХСТАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ МАНАША КОЗЫБАЕВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.)
970941000602,"СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ - Филиал АО ""КАЗАХТЕЛЕКОМ""",61100,Проводная телекоммуникационная связь,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.)
980440001669,"ДОЧЕРНЕЕ ПРЕДПРИЯТИЕ ""ПЕТРОПАВЛОВСКОЕ ОТДЕЛЕНИЕ"" ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО УНИТАРНОГО ПРЕДПРИЯТИЯ ""ЮЖНО-УРАЛЬСКАЯ ЖЕЛЕЗНАЯ ДОРОГА"" МИНИСТЕРСТВА ПУТЕЙ СООБЩЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",52211,Эксплуатация железных дорог,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.)
980741001497,"ФИЛИАЛ ""ЛОКОМОТИВНОЕ ДЕПО"" ДОЧЕРНЕГО ПРЕДПРИЯТИЯ ""ПЕТРОПАВЛОВСКОЕ ОТДЕЛЕНИЕ"" ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО УНИТАРНОГО ПРЕДПРИЯТИЯ ""ЮЖНО-УРАЛЬСКАЯ ЖЕЛЕЗНАЯ ДОРОГА"" МИНИСТЕРСТВА ПУТЕЙ СООБЩЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",52211,Эксплуатация железных дорог,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.)
990140000196,"АО ""СЕВЕРО-КАЗАХСТАНСКАЯ РАСПРЕДЕЛИТЕЛЬНАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""",35130,Распределение электроэнергии,591010000,г. Петропавловск,311,Крупнейшая компания (от 1001 чел.)
БИН,Название предприятия / организации,ОКЭД,Отрасль деятельности,КАТО,Населённый пункт,КРП,Размер предприятия
010140001835,"ГОС. УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ ГОРОДА ПЕТРОПАВЛОВСКА ДЕПАРТАМЕНТА ВНУТРЕННИХ ДЕЛ СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",84240,Деятельность по обеспечению общественного порядка и безопасности,591010000,г. Петропавловск,310,Крупная организация (501 - 1000 чел.)
020140002280,"ГОС. УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ СПЕЦИАЛИЗИРОВАННОЙ СЛУЖБЫ ОХРАНЫ СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,591010000,г. Петропавловск,310,Крупная организация (501 - 1000 чел.)
020141001149,"Филиал АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""КАЗАКСТАН ТЕМIР ЖОЛЫ""-""ЖАНА-ЕСИЛЬСКАЯ ДИСТАНЦИЯ ПУТИ""",52211,Эксплуатация железных дорог,596630105,ст. Новоишимская,310,Крупная организация (501 - 1000 чел.)
020440004357,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КЫЗЫЛЖАРСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" АКИМАТА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН""",86101,Деятельность больниц широкого профиля и специализированных больниц,595030100,а. Бесколь,310,Крупная организация (501 - 1000 чел.)
031140004905,"ТОО ""ҚЫЗЫЛЖАР СУ""",36000,"Сбор, обработка и распределение воды",591010000,г. Петропавловск,310,Крупная компания (501 - 1000 чел.)
050240010726,"ТОО ""АГРОФИРМА КЗЫЛТУ - НАН""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",596430100,с. Кишкенеколь,310,Крупная компания (501 - 1000 чел.)
050240013949,"ТОО ""ТАЙЫНША-АСТЫК""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",596075100,с. Ясная Поляна,310,Крупная компания (501 - 1000 чел.)
071240019598,"ТОО ""СЕВЕРО-КАЗАХСТАНСКАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ ОПЫТНАЯ СТАНЦИЯ""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",595858100,А.Шагалы,310,Крупная компания (501 - 1000 чел.)
081040000521,"ГОС. УЧРЕЖДЕНИЕ ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,591010000,г. Петропавловск,310,Крупная организация (501 - 1000 чел.)
090640013059,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ТАЙЫНШИНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" АКИМАТА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",86101,Деятельность больниц широкого профиля и специализированных больниц,596020100,г. Тайынша,310,Крупная организация (501 - 1000 чел.)
101240019050,"ГОС. УЧРЕЖДЕНИЕ ""КАНЦЕЛЯРИЯ СЕВЕРО-КАЗАХСТАНСКОГО ОБЛАСТНОГО СУДА ДЕПАРТАМЕНТА ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ СУДОВ ПРИ ВЕРХОВНОМ СУДЕ РЕСПУБЛИКИ КАЗАХСТАН (АППАРАТА ВЕРХОВНОГО СУДА РЕСПУБЛИКИ КАЗАХСТАН)""",84230,Деятельность в области юстиции и правосудия,591010000,г. Петропавловск,310,Крупная организация (501 - 1000 чел.)
111241020913,"ФИЛИАЛ РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ ""ЦЕНТР ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ"" ПО СЕВЕРО - КАЗАХСТАНСКОЙ ОБЛАСТИ",84112,Деятельность региональных органов управления,591010000,г. Петропавловск,310,Крупная организация (501 - 1000 чел.)
120240021599,"ТОО ""ТНС-2020""",01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",595620100,г. Сергеевка,310,Крупная компания (501 - 1000 чел.)
931240000558,"АО ""ЗАВОД ИМ С М КИРОВА""",27903,Производство электросигнального оборудования,591010000,г. Петропавловск,310,Крупная компания (501 - 1000 чел.)
940240000636,"ГОС. УЧРЕЖДЕНИЕ ""ВОИНСКАЯ ЧАСТЬ 6637 ВНУТРЕННИХ ВОЙСК МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84220,Оборонная деятельность,591010000,г. Петропавловск,310,Крупная организация (501 - 1000 чел.)
940640000716,"ТОО ""РАДУГА""",46909,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,591010000,г. Петропавловск,310,Крупная компания (501 - 1000 чел.)
