BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
000940000220,"АО ""СТАНЦИЯ ЭКИБАСТУЗСКАЯ ГРЭС - 2""",35111,Производство электроэнергии тепловыми электростанциями,552253100,п. Солнечный,311,Крупное предприятие (от 1001 чел.)
001140000362,"ТОО ""ПАВЛОДАРСКИЙ НЕФТЕХИМИЧЕСКИЙ ЗАВОД""",19201,Производство продуктов нефтепереработки,551010000,г. Павлодар,311,Крупное предприятие (от 1001 чел.)
010541005838,"ПАВЛОДАРСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАСТИНГ""",24100,"Производство чугуна, стали и ферросплавов",551010000,г. Павлодар,311,Крупное предприятие (от 1001 чел.)
011241002588,"""Филиал АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""ПАВЛОДАРСКОЕ ОТДЕЛЕНИЕ ДОРОГИ""",49200,Грузовой железнодорожный транспорт,551010000,г. Павлодар,311,Крупное предприятие (от 1001 чел.)
020640000163,"АО ""ПАВЛОДАРЭНЕРГО""",35111,Производство электроэнергии тепловыми электростанциями,551010000,г. Павлодар,311,Крупное предприятие (от 1001 чел.)
040841007404,"Филиал АО ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМIР ЖОЛЫ"" - ""ЕКИБАСТУЗСКОЕ ЭКСПЛУАТАЦИОННОЕ ВАГОННОЕ ДЕПО""",33171,Ремонт подвижного состава железных дорог,552210000,г. Экибастуз,311,Крупная компания (от 1001 чел.)
050340001374,"АО ""КАЗАХСТАНСКИЙ ЭЛЕКТРОЛИЗНЫЙ ЗАВОД""",24420,Производство алюминия,551010000,г. Павлодар,311,Крупное предприятие (от 1001 чел.)
050940003769,"ТОО ""МАЙКУБЕН-ВЕСТ""",05201,Добыча лигнита (бурого угля) открытым способом,553665700,с. Шоптыколь,311,Крупное предприятие (от 1001 чел.)
070341015761,"ПАВЛОДАРСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""KSP STEЕL"" (""КЕЙЭСПИ СТИЛ"")",24100,"Производство чугуна, стали и ферросплавов",551010000,г. Павлодар,311,Крупное предприятие (от 1001 чел.)
940140000325,"АО ""АЛЮМИНИЙ КАЗАХСТАНА""",24420,Производство алюминия,551010000,г. Павлодар,311,Крупное предприятие (от 1001 чел.)
951241000448,"""АКСУСКИЙ ЗАВОД ФЕРРОСПЛАВОВ - Филиал АО ""ТРАНСНАЦИОНАЛЬНАЯ КОМПАНИЯ ""КАЗХРОМ""",24100,"Производство чугуна, стали и ферросплавов",551610000,г. Аксу,311,Крупная организация (от 1001 чел.)
960340000148,"АО ""ЕВРОАЗИАТСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОРПОРАЦИЯ""",35111,Производство электроэнергии тепловыми электростанциями,551610000,г. Аксу,311,Крупная организация (от 1001 чел.)
960640000862,"ТОО ""ФАРМАЦЕВТИЧЕСКАЯ КОМПАНИЯ ""РОМАТ""",32502,"Производство медицинских инструментов, аппаратов и оборудования",551010000,г. Павлодар,311,Крупное предприятие (от 1001 чел.)
960840000532,"ТОО ""ЭКИБАСТУЗСКАЯ ГРЭС-1 ИМЕНИ БУЛАТА НУРЖАНОВА""",35111,Производство электроэнергии тепловыми электростанциями,552210000,г. Экибастуз,311,Крупная компания (от 1001 чел.)
970340000843,"ТОО ""БОГАТЫРЬ КОМИР""",05101,Добыча каменного угля открытым способом,552210000,г. Экибастуз,311,Крупная компания (от 1001 чел.)
980240000752,"АО ""ПАВЛОДАРСКАЯ РАСПРЕДЕЛИТЕЛЬНАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""",35120,Передача электроэнергии,551010000,г. Павлодар,311,Крупное предприятие (от 1001 чел.)
980240002045,"ГОС. УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ ПАВЛОДАРСКОЙ ОБЛАСТИ""",84240,Деятельность по обеспечению общественного порядка и безопасности,551010000,г. Павлодар,311,Крупное предприятие (от 1001 чел.)
990140004654,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ПАВЛОДАРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ С. ТОРАЙГЫРОВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,551010000,г. Павлодар,311,Крупное предприятие (от 1001 чел.)
