BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
000140004789,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНОЙ ЦЕНТР СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ"" АКИМАТА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН""",86900,Прочая деятельность по охране здоровья,591010000,г. Петропавловск,305,Крупная организация (251 - 500 чел.)
000840000612,"ТОО ""ПЕТРОПАВЛОВСКИЙ ЛИКЕРОВОДОЧНЫЙ ЗАВОД""",11010,"Дистилляция, ректификация и смешивание спиртных напитков",591010000,г. Петропавловск,305,Крупная организация (251 - 500 чел.)
010140001835,"ГОС. УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ ГОРОДА ПЕТРОПАВЛОВСКА ДЕПАРТАМЕНТА ВНУТРЕННИХ ДЕЛ СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",84240,Деятельность по обеспечению общественного порядка и безопасности,591010000,г. Петропавловск,310,Крупное предприятие (501 - 1000 чел.)
020140002280,"ГОС. УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ СПЕЦИАЛИЗИРОВАННОЙ СЛУЖБЫ ОХРАНЫ СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН""",84240,Деятельность по обеспечению общественного порядка и безопасности,591010000,г. Петропавловск,310,Крупное предприятие (501 - 1000 чел.)
030640001837,"ТОО ""СРЕДАЗЭНЕРГОМОНТАЖ ПЕТРОПАВЛОВСК""",33121,Ремонт и техническое обслуживание механического оборудования,591010000,г. Петропавловск,305,Крупная организация (251 - 500 чел.)
031140004905,"ТОО ""ҚЫЗЫЛЖАР СУ""",36000,"Сбор, обработка и распределение воды",591010000,г. Петропавловск,310,Крупное предприятие (501 - 1000 чел.)
050240008744,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНОЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР"" АКИМАТА СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН""",86101,Деятельность больниц широкого профиля и специализированных больниц,591010000,г. Петропавловск,305,Крупная организация (251 - 500 чел.)
071140004477,"ТОО ""НАНИНВЕСТ КОНДИТЕР""",10710,"Производство хлеба; производство свежих мучных кондитерских изделий, тортов и пирожных",591010000,г. Петропавловск,305,Крупная организация (251 - 500 чел.)
080340021027,"ТОО ""АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ СЕВКАЗЭНЕРГО""",49410,Грузовые перевозки автомобильным транспортом,591010000,г. Петропавловск,305,Крупная организация (251 - 500 чел.)
081040000521,"ГОС. УЧРЕЖДЕНИЕ ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,591010000,г. Петропавловск,310,Крупное предприятие (501 - 1000 чел.)
081240017761,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""СЕВЕРО-КАЗАХСТАНСКИЙ ОБЛАСТНОЙ ЦЕНТР САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОЙ ЭКСПЕРТИЗЫ"" КОМИТЕТА ГОСУДАРСТВЕННОГО САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОГО НАДЗОРА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН""",71201,Деятельность санитарно-эпидемиологических учреждений,591010000,г. Петропавловск,305,Крупная организация (251 - 500 чел.)
