BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
000340002393,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЗАПАДНО-КАЗАХСТАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ МАХАМБЕТА УТЕМИСОВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,271010000,г. Уральск,311,Крупное предприятие (от 1001 чел.)
010740001502,"ТОО ""НЕФТЕСТРОЙСЕРВИС ЛТД""",41201,Строительство жилых зданий,271010000,г. Уральск,311,Крупная компания (от 1001 чел.)
021140000425,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЗАПАДНО-КАЗАХСТАНСКИЙ АГРАРНО-ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ ЖАНГИР ХАНА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,271010000,г. Уральск,311,Крупное предприятие (от 1001 чел.)
930540000172,"АО ""ЖАЙЫКТЕПЛОЭНЕРГО""",35301,Производство тепловой энергии тепловыми сетями,271010000,г. Уральск,311,Крупная компания (от 1001 чел.)
950340000245,"ГОС. УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ВНУТРЕННИХ ДЕЛ ГОРОДА УРАЛЬСКА ДЕПАРТАМЕНТА ВНУТРЕННИХ ДЕЛ ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",84240,Деятельность по обеспечению общественного порядка и безопасности,271010000,г. Уральск,311,Крупное предприятие (от 1001 чел.)
961140000153,"АО ""ЗАПАДНО-КАЗАХСТАНСКАЯ РАСПРЕДЕЛИТЕЛЬНАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""",35130,Распределение электроэнергии,271010000,г. Уральск,311,Крупная компания (от 1001 чел.)
980540000842,"АО ""АКСАЙГАЗСЕРВИС""",33125,Ремонт и техническое обслуживание прочих машин и оборудования специального назначения,273620100,г. Аксай,311,Крупная компания (от 1001 чел.)
981141001567,КАРАЧАГАНАК ПЕТРОЛИУМ ОПЕРЕЙТИНГ Б.В. КАЗАХСТАНСКИЙ ФИЛИАЛ,06100,Добыча сырой нефти и попутного газа,273620100,г. Аксай,311,Крупное предприятие (от 1001 чел.)
990340004949,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ АКИМАТА ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",86101,Деятельность больниц широкого профиля и специализированных больниц,271010000,г. Уральск,311,Крупное предприятие (от 1001 чел.)
БИН,Наименование предприятия,ОКЭД,Отрасль деятельности,КАТО,Населённый пункт,КРП,Размер предприятия
000140005122,"ТОО ""МКС МУЛЬТИКАТЕРИНГ КАЗАХСТАН КО""",56100,Рестораны и услуги по доставке продуктов питания,273620100,г. Аксай,310,Крупная компания (501 - 1000 чел.)
000141004338,"ЗАПАДНО-КАЗАХСТАНСКИЙ ОБЛАСТНОЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗПОЧТА""",53100,Почтовые услуги в соответствии с обязательствами по предоставлению услуг в зоне всеобщего охвата,271010000,г. Уральск,310,Крупная компания (501 - 1000 чел.)
020140002012,"ГОС. УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ СПЕЦИАЛИЗИРОВАННОЙ СЛУЖБЫ ОХРАНЫ ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ"" МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН",84240,Деятельность по обеспечению общественного порядка и безопасности,271010000,г. Уральск,310,Крупная организация (501 - 1000 чел.)
030440000059,"АО ""ЗАПАДНО-КАЗАХСТАНСКАЯ МАШИНОСТРОИТЕЛЬНАЯ КОМПАНИЯ""",28992,Производство нефтегазоперерабатывающего оборудования,271010000,г. Уральск,310,Крупная компания (501 - 1000 чел.)
040341010951,"АКСАЙСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУП 4 СЕКУРИКОР КАЗАХСТАН""",80100,Деятельность частных охранных служб,273620100,г. Аксай,310,Крупная организация (501 - 1000 чел.)
040740000309,"ТОО ""ОХРАНА-КМС""",80100,Деятельность частных охранных служб,271010000,г. Уральск,310,Крупная организация (501 - 1000 чел.)
040840000451,"ТОО ""БАТЫС СУ АРНАСЫ""",36000,"Сбор, обработка и распределение воды",271010000,г. Уральск,310,Крупная организация (501 - 1000 чел.)
061040003979,"МНОГООТРАСЛЕВОЕ ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ДОРОЖНО-ЭКСПЛУАТАЦИОННОЕ ПРЕДПРИЯТИЕ ОТДЕЛА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ПАССАЖИРСКОГО ТРАНСПОРТА И АВТОМОБИЛЬНЫХ ДОРОГ ГОРОДА УРАЛЬСКА АКИМАТА ГОРОДА УРАЛЬСКА",38110,Сбор неопасных отходов,271010000,г. Уральск,310,Крупная организация (501 - 1000 чел.)
070241006886,"""ЗАПАДНО-КАЗАХСТАНСКИЙ ПРОИЗВОДСТВЕННЫЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗТРАНСГАЗАЙМАҚ""",35230,Продажа газообразного топлива по трубопроводам,271010000,г. Уральск,310,Крупная компания (501 - 1000 чел.)
080341022010,"ФИЛИАЛ ТОО ""БОЛАШАК-АТЫРАУ"", В Г АКСАЙ ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ",78100,Деятельность агентств по трудоустройству,273620100,г. Аксай,310,Крупная организация (501 - 1000 чел.)
080940018643,"ГОС. УЧРЕЖДЕНИЕ ""СЛУЖБА ПОЖАРОТУШЕНИЯ И АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ"" ДЕПАРТАМЕНТА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ЗАПАДНО-КАЗАХСТАНСКОЙ ОБЛАСТИ МИНИСТЕРСТВА ПО ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ РЕСПУБЛИКИ КАЗАХСТАН",84250,Деятельность по обеспечению безопасности в чрезвычайных ситуациях,271010000,г. Уральск,310,Крупная организация (501 - 1000 чел.)
