BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"АО ""ОЗЕНМУНАЙГАЗ""",120240020997,06100,Добыча сырой нефти и попутного газа,471810000,Мангистауская область г. ЖАНАОЗЕН,311,Крупные предприятия (от 1001 чел. до )
"АО ""МАНГИСТАУМУНАЙГАЗ""",990140000483,06100,Добыча сырой нефти и попутного газа,471010000,Мангистауская область г. АКТАУ,311,Крупные предприятия (от 1001 чел. до )
"АО ""КАРАЖАНБАСМУНАЙ""",950540000524,06100,Добыча сырой нефти и попутного газа,471010000,Мангистауская область г. АКТАУ,311,Крупные предприятия (от 1001 чел. до )
"АО ""ПЕТРОКАЗАХСТАН КУМКОЛЬ РЕСОРСИЗ""",940540000210,06100,Добыча сырой нефти и попутного газа,431010000,Кызылординская область г. КЫЗЫЛОРДА,311,Крупные предприятия (от 1001 чел. до )
КАРАЧАГАНАК ПЕТРОЛИУМ ОПЕРЕЙТИНГ Б.В. КАЗАХСТАНСКИЙ ФИЛИАЛ,981141001567,06100,Добыча сырой нефти и попутного газа,273620100,Западно-Казахстанская область г. АКСАЙ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""ЖАИКМУНАЙ""",970340003085,06100,Добыча сырой нефти и попутного газа,271010000,Западно-Казахстанская область г. УРАЛЬСК,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""ТЕНГИЗШЕВРОЙЛ""",930440000929,06100,Добыча сырой нефти и попутного газа,231010000,Атырауская область г. АТЫРАУ,311,Крупные предприятия (от 1001 чел. до )
"АО ""ЭМБАМУНАЙГАЗ""",120240021112,06100,Добыча сырой нефти и попутного газа,231010000,Атырауская область г. АТЫРАУ,311,Крупные предприятия (от 1001 чел. до )
"ЖАНАЖОЛЬСКИЙ НЕФТЕГАЗОПЕРЕРАБАТЫВАЮЩИЙ КОМПЛЕКС АКЦИОНЕРНОГО ОБЩЕСТВА ""СНПС-АКТОБЕМУНАЙГАЗ""",070841001074,06100,Добыча сырой нефти и попутного газа,151010000,Актюбинская область г. АКТОБЕ,311,Крупные предприятия (от 1001 чел. до )
"НЕФТЕГАЗОДОБЫВАЮЩЕЕ УПРАВЛЕНИЕ (НГДУ) "" ОКТЯБРЬСКНЕФТЬ""-ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА "" СНПС- АКТОБЕМУНАЙГАЗ""",970341002984,06100,Добыча сырой нефти и попутного газа,154820100,Актюбинская область г. КАНДЫАГАШ,311,Крупные предприятия (от 1001 чел. до )
"АО ""СНПС - АКТОБЕМУНАЙГАЗ""",931240001060,06100,Добыча сырой нефти и попутного газа,151010000,Актюбинская область г. АКТОБЕ,311,Крупные предприятия (от 1001 чел. до )
Наименование компании,БИН предприятия,ОКЭД,Вид деятельности предприятия,КАТО,Населённый пункт,КРП,Количество работников в организации
"ФИЛИАЛ ""ШАГЫРЛЫ-ШОМЫШТЫ"" ТОО ""КАЗАЗОТ""",121241019268,06201,"Добыча природного газа, кроме метана",473630100,Мангистауская область С. БЕЙНЕУ,220,Средние предприятия (от 151 до 200 чел.)
"ТОО ""SARYARKAGAZ""",110740015500,06201,"Добыча природного газа, кроме метана",351013100,Карагандинская область РАЙОН ИМ. КАЗЫБЕК БИ,160,Малые предприятия (от 51 до 100 чел.)
