BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"ФИЛИАЛ АО ""ФАЙН ОТЕЛЬ ТУРИЗМ ИШЛЕТМЕДЖИЛИК"" В Г. АСТАНА",50641007508,55101,Предоставление услуг гостиницами с ресторанами,711210000,"г. Астана район ""Есиль""",305,Крупные предприятия (от 251 до 500 чел.)
"ТОО ""КОМПАНИЯ ПО УПРАВЛЕНИЮ ГОСТИНИЧНЫМ БИЗНЕСОМ ""СОЛАКС""",90440018022,55101,Предоставление услуг гостиницами с ресторанами,711210000,"г. Астана район ""Есиль""",305,Крупные предприятия (от 251 до 500 чел.)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЗАХСКО-АВСТРИЙСКОЕ СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""РАХАТ""",92064000805,55101,Предоставление услуг гостиницами с ресторанами,751410000,г. Алматы Бостандыкский район,305,Крупные предприятия (от 251 до 500 чел.)
"АО ""КАЗАХСТАНСКО-ТУРЕЦКОЕ СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""АЙТ-ОТЕЛЬ""",95094000089,55101,Предоставление услуг гостиницами с ресторанами,751410000,г. Алматы БОСТАНДЫКСКИЙ РАЙОН,305,Крупные предприятия (от 251 до 500 чел.)
"ТОО ""SOLIS LTD.""",60440008595,55101,Предоставление услуг гостиницами с ресторанами,751110000,г. Алматы АЛМАЛИНСКИЙ РАЙОН,310,Крупные предприятия (от 501 до 1000 чел.)
Наименование организации,БИН,ОКЭД,Вид деятельности предприятия,КАТО,Населённый пункт,КРП,Размер предприятия
"ТОО ""THE CASPIAN INTERNATIONAL RESTAURANTS COMPANY (КАСПИАН ИНТЕРНЭШНЛ РЕСТРОНГЗ КОМПАНИ)""",70440007370,56100,Рестораны и услуги по доставке продуктов питания,751410000,г. Алматы БОСТАНДЫКСКИЙ РАЙОН,310,Крупные предприятия (от 501 до 1000 чел.)
"ТОО ""ФИРМА ""ПИЦЦА БЛЮЗ""",30940004862,56100,Рестораны и услуги по доставке продуктов питания,631010000,Восточно-Казахстанская область Г. УСТЬ-КАМЕНОГОРСК,310,Крупные предприятия (от 501 до 1000 чел.)
"ТОО ""ТАУ-ДАСТАРХАН""",20440003824,56100,Рестораны и услуги по доставке продуктов питания,751410000,г. Алматы Бостандыкский район,310,Крупные предприятия (от 501 до 1000 чел.)
"ТОО ""ДАСТАРХАН-TRADE""",30440000861,56100,Рестораны и услуги по доставке продуктов питания,751110000,г. Алматы Алмалинский район,310,Крупные предприятия (от 501 до 1000 чел.)
"ТОО ""ДАСТАРХАН""",971140001561,56100,Рестораны и услуги по доставке продуктов питания,751110000,г. Алматы Алмалинский район,310,Крупные предприятия (от 501 до 1000 чел.)
"ТОО ""КОМПАНИЯ ҚАҒАНАТ СЕРВИС""",70440007925,56300,Подача напитков,751410000,г. Алматы Бостандыкский район,310,Крупные предприятия (от 501 до 1000 чел.)
"ТОО ""ALMATY CATERING SERVICES""",970840002818,56210,Доставка пищи на заказ,751910000,г. Алматы Турксибский район,310,Крупные предприятия (от 501 до 1000 чел.)
"ТОО ""KENDALA SERVICES""",140740028598,56299,"Прочие услуги, не вошедшие в другие группировки",751710000,г. Алматы Медеуский район,311,Крупные компании (от 1001 чел.)
"ТОО ""АЛМА ИСТ ВЕСТ ГРУП""",110940020069,56299,"Прочие услуги, не вошедшие в другие группировки",231010000,Атырауская область г. Атырау,310,Крупные предприятия (от 501 до 1000 чел.)
"ТОО ""COMPLEX CATERING COMPANY""",120340009315,56100,Рестораны и услуги по доставке продуктов питания,231010000,Атырауская область г. Атырау,310,Крупные предприятия (от 501 до 1000 чел.)
"ТОО ""ЛИГАБУЕ ЦЕНТРАЛЬНАЯ АЗИЯ""",981240002662,56299,"Прочие услуги, не вошедшие в другие группировки",273620100,Западно-Казахстанская область г. Аксай,310,Крупные предприятия (от 501 до 1000 чел.)
"ТОО ""МКС МУЛЬТИКАТЕРИНГ КАЗАХСТАН КО""",140005122,56299,"Прочие услуги, не вошедшие в другие группировки",273620100,Западно-Казахстанская область г. Аксай,310,Крупные предприятия (от 501 до 1000 чел.)
"ТОО ""ЮСС СУПОРТ СЕРВИСЕЗ""",20240000802,56299,"Прочие услуги, не вошедшие в другие группировки",231010000,Атырауская область г. Атырау,311,Крупные компании (от 1001 чел.)
"ТОО ""ТЕХ.ЭКСПЕРТ""",21040002379,56299,"Прочие услуги, не вошедшие в другие группировки",631010000,Восточно-Казахстанская область г. Усть-Каменогорск,310,Крупные предприятия (от 501 до 1000 чел.)
