BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОКОЛОВСКО-САРБАЙСКОЕ ГОРНО-ОБОГАТИТЕЛЬНОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ""",920240000127,7102,Добыча железной руды открытым способом,392410000,Костанайская область Г. РУДНЫЙ,311,Крупные предприятия (от 1001 чел. до )
"ЛИСАКОВСКИЙ ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРКЕН""",50541006407,7102,Добыча железной руды открытым способом,392010000,Костанайская область Г. ЛИСАКОВСК,310,Крупные компании (от 501 до 1000 чел.)
"ТОО ""ОРКЕН""",50140001773,7102,Добыча железной руды открытым способом,352410000,Карагандинская область Г. ТЕМИРТАУ,311,Крупные предприятия (от 1001 чел. )
"ПРЕДСТАВИТЕЛЬСТВО ""ОРКЕН-АТАНСОР"" ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРКЕН""",90642000018,7102,Добыча железной руды открытым способом,114537102,Акмолинская область С. АТАНСОР,305,Крупные предприятия (от 251 до 500 чел.)
Наименование компании,БИН,ОКЭД,Вид деятельности предприятия,КАТО,Населённый пункт,КРП,Количество работников в организации
"ТОО ""КАЗАТОМПРОМ-SAURAN""",150540001510,7210,Добыча урановой и ториевой руды,515655100,Южно-Казахстанская область аул Таукент,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""КАЗАХСТАНСКО-ФРАНЦУЗСКОЕ СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""КАТКО""",981040001439,7210,Добыча урановой и ториевой руды,515655100,Южно-Казахстанская область АУЛ ТАУКЕНТ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""ВОСТОКЦВЕТМЕТ""",140740012829,7292,Добыча и обогащение медной руды,631010000,Восточно-Казахстанская область Г. УСТЬ-КАМЕНОГОРСК,311,Крупные предприятия (от 1001 чел. до )
"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ КАЗАХМЫС"" - ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""БАЛХАШЦВЕТМЕТ""",140641022293,7292,Добыча и обогащение медной руды,351610000,Карагандинская область Г. БАЛХАШ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""КАЗАХСТАНСКО-ФРАНЦУЗСКОЕ СОВМЕСТНОЕ ПРЕДПРИЯТИЕ ""КАТКО""",981040001439,7210,Добыча урановой и ториевой руды,515655100,Южно-Казахстанская область АУЛ ТАУКЕНТ,311,Крупные предприятия (от 1001 чел. до )
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖАЙРЕМСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""",940940000255,7299,Добыча прочих руд цветных металлов,352035100,Карагандинская область П. ЖАЙРЕМ,311,Крупные предприятия (от 1001 чел. до )
"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""АЛЮМИНИЙ КАЗАХСТАНА"" КРАСНООКТЯБРЬСКОЕ БОКСИТОВОЕ РУДОУПРАВЛЕНИЕ (КБРУ)",40341005787,7291,Добыча и обогащение алюминий-содержащего сырья,392035100,Костанайская область П. ОКТЯБРЬСКИЙ,311,Крупные компании (от 1001 чел. до )
"ТОО ""КОМАРОВСКОЕ ГОРНОЕ ПРЕДПРИЯТИЕ""",120540007504,7298,Добыча драгоценных металлов и руд редких металлов,394420100,Костанайская область Г. ЖИТИКАРА,311,Крупные предприятия (от 1001 чел. до )
"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ КАЗАХМЫС"" - ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""КАРАГАНДАЦВЕТМЕТ""",60441000268,7292,Добыча и обогащение медной руды,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,311,Крупные компании (от 1001 чел. до )
"ТОО ""NOVA ЦИНК""",970240000334,7293,Добыча и обогащение свинцово-цинковой руды,356435100,Карагандинская область П. АКЖАЛ,311,Крупные предприятия (от 1001 чел. до )
"""ДОНСКОЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ"" - ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ТНК"" ""КАЗХРОМ""",21041001594,7299,Добыча прочих руд цветных металлов,156020100,Актюбинская область Г. ХРОМТАУ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""АКТЮБИНСКАЯ МЕДНАЯ КОМПАНИЯ""",40340008667,7292,Добыча и обогащение медной руды,156040100,Актюбинская область С. КОКТАУ,311,Крупные компании (от 1001 чел. до )
"ФИЛИАЛ РУДНИК АКСУ АКЦИОНЕРНОГО ОБЩЕСТВА ""ГОРНО- МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",61041010322,7298,Добыча драгоценных металлов и руд редких металлов,111833100,Акмолинская область П. АКСУ,311,Крупные предприятия (от 1001 чел. до )
"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ГОРНО - МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН"" - РУДНИК БЕСТОБЕ",70541013057,7298,Добыча драгоценных металлов и руд редких металлов,111837100,Акмолинская область П. БЕСТОБЕ,311,Крупные предприятия (от 1001 чел. до )
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРНО - МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",990940003176,7298,Добыча драгоценных металлов и руд редких металлов,111810000,Акмолинская область Г. СТЕПНОГОРСК,311,Крупные предприятия (от 1001 чел. до )
"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ГОРНО-МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",60441012905,7298,Добыча драгоценных металлов и руд редких металлов,116839100,Акмолинская область П. ЖОЛЫМБЕТ,311,Крупные компании (от 1001 чел. до )
