BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ АЛМАТИНСКОЙ ОБЛАСТИ"" МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН",970840001295,84240,Деятельность по обеспечению общественного порядка и безопасности,191010000,Алматинская область г. ТАЛДЫКОРГАН,311,Крупные предприятия (от 1001 чел. до )
"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""КАРАСАЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АЛМАТИНСКОЙ ОБЛАСТИ"" АКИМАТА АЛМАТИНСКОЙ ОБЛАСТИ",100340000118,86210,Общая врачебная практика,195220100,Алматинская область г. Каскелен,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""КАЙНАР-АКБ""",51140002447,27200,Производство батарей и аккумуляторов,191010000,Алматинская область г. ТАЛДЫКОРГАН,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""МУСАХАН-СЕКЬЮРИТИ ЛТД.""",70340007882,80101,Деятельность частных охранных служб,195220100,Алматинская область г. КАСКЕЛЕН,311,Крупные предприятия (от 1001 чел. до )
"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА "" КЕДЕНТРАНССЕРВИС"" ПО СТАНЦИИ ДОСТЫК",30241004129,52291,Транспортно-экспедиционные услуги,193443100,Алматинская область С.ДОСТЫК,311,Крупные предприятия (от 1001 чел. до )
"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ОТДЕЛ ОБРАЗОВАНИЯ КЕРБУЛАКСКОГО РАЙОНА""",120640003654,84120,"Регулирование деятельности учреждений, обеспечивающих медицинское обслуживание, образование, культурное обслуживание и другие социальные услуги, кроме социального обеспечения",194630100,Алматинская область С.САРЫОЗЕК,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""МОСТОСТРОИТЕЛЬНЫЙ ОТРЯД №25 ИМ. РЯЗАНОВА А.""",30540008810,43999,"Прочие строительные работы, требующие специальных профессий",191610000,Алматинская область г. КАПЧАГАЙ,311,Крупные предприятия (от 1001 чел. до )
РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ «АДМИНИСТРАТОР СУДОВ ПО АЛМАТИНСКОЙ ОБЛАСТИ ДЕПАРТАМЕНТА ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ СУДОВ ПРИ ВЕРХОВНОМ СУДЕ РЕСПУБЛИКИ КАЗАХСТАН (АППАРАТА ВЕРХОВНОГО СУДА РЕСПУБЛИКИ КАЗАХСТАН)»,110140002071,84230,Деятельность в области юстиции и правосудия,191010000,Алматинская область г. ТАЛДЫКОРГАН,311,Крупные предприятия (от 1001 чел. до )
"АО ""ТАЛДЫКОРГАНСКАЯ АКЦИОНЕРНАЯ ТРАНСПОРТНО-ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""",980140000600,35140,Продажа электроэнергии потребителю,191010000,Алматинская область г. ТАЛДЫКОРГАН,311,Крупные предприятия (от 1001 чел. до )
"АЛМАТИНСКИЙ ОБЛАСТНОЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗПОЧТА""",10841003446,53100,Почтовые услуги в соответствии с обязательствами по предоставлению услуг в зоне всеобщего охвата,191010000,Алматинская область г. ТАЛДЫКОРГАН,311,Крупные предприятия (от 1001 чел. до )
Название предприятия/ организации,БИН,ОКЭД,Отрасль деятельности,КАТО,Населённый пункт,КРП,Размер предприятия
"ТОО ""КАЙНАР-АКБ""",51140002447,27200,Производство батарей и аккумуляторов,191010000,Алматинская область г. ТАЛДЫКОРГАН,311,Крупные предприятия (от 1001 чел. до )
"АО ""GALANZ BOTTLERS""",60740001737,11070,Производство минеральных вод и других безалкогольных напитков,196847100,Алматинская область С.БАЙСЕРКЕ,310,Крупные организации (501 - 1000 чел.)
"ТОО ""ТЕМИРБЕТОН""",991040002361,23611,Производство сборных железобетонных и бетонных конструкций и изделий,191010000,Алматинская область г. ТАЛДЫКОРГАН,310,Крупные организации (501 - 1000 чел.)
"АЛМАТИНСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ИНОСТРАННОГО ПРЕДПРИЯТИЯ ""ЭФЕС КАЗАХСТАН""",30841005109,11050,Производство пива,195233100,Алматинская область С.БЕРЕКЕ,310,Крупные организации (501 - 1000 чел.)
"ТОО ""KAGAZY RECYCLING""",60440002497,17212,Производство бумажной и картонной тары,195253200,Алматинская область С.АБАЙ,310,Крупные организации (501 - 1000 чел.)
"АО ""АЗИЯАГРОФУД""",50740003177,10611,Производство муки,195237100,Алматинская область СТ.ШАМАЛГАН,310,Крупные организации (501 - 1000 чел.)
"ФИЛИАЛ ""ЮЖНЫЙ-1,2"" АКЦИОНЕРНОГО ОБЩЕСТВА ""СТЕКОЛЬНАЯ КОМПАНИЯ ""САФ""",990841000781,23132,Производство хозяйственно-бытовых изделий из стекла и стеклянной посуды,196839100,Алматинская область С.КАЗЦИК,310,Крупные организации (501 - 1000 чел.)
"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕСТВЕННОСТЬЮ ""ФИЛИП МОРРИС КАЗАХСТАН""",40440000348,12002,Производство табачных изделий,196830100,Алматинская область с.Отеген батыра,310,Крупные организации (501 - 1000 чел.)
Название предприятия/ организации,БИН,ОКЭД,Отрасль деятельности,КАТО,Населённый пункт,КРП,Размер предприятия
"АЛМАТИНСКИЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""ТОДИНИ КОСТРУЦИОНИ ДЖЕНЕРАЛИ С.П.А.""",131041007338,42111,Строительство дорог и автомагистралей,194071100,Алматинская область С.ХУСАИНА БИЖАНОВА,310,Крупные организации (501 - 1000 чел.)
"ФИЛИАЛ СОВМЕСТНОЕ ПРЕДПРИЯТИЕ АО ""ДОГУШ ИНШААТ ВЕ ТИДЖАРЕТ АНОНИМ ШИРКЕТИ"" И АО ""ГЮЛЬСАН ИНШААТ САНАЙИ ТУРИЗМ НАК.ВЕ ТИДЖ.""",130841019794,42111,Строительство дорог и автомагистралей,194020100,Алматинская область г. Есик,310,Крупные организации (501 - 1000 чел.)
"ТОО ""АЗИЯЭНЕРГОПРОЕКТМОНТАЖ""",50440009640,43298,Прочие строительно-монтажные работы,191010000,Алматинская область г. Талдыкорган,305,Крупные предприятия (от 251 до 500 чел.)
"ТОО ""А-ТА СТРОЙ""",30440003023,41201,Строительство жилых зданий,195220100,Алматинская область г. Каскелен,305,Крупные предприятия (от 251 до 500 чел.)
"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ""ЖОЛ ЖӨНДЕУШІ""-""ЮЖНАЯ ДИРЕКЦИЯ""",80141009716,42111,Строительство дорог и автомагистралей,196837100,Алматинская область с.Жетыген,305,Крупные предприятия (от 251 до 500 чел.)
"ТОО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ИНТЕРРИН""",970540002768,43122,Взрывные работы,196220100,Алматинская область г. ТАЛГАР,310,Крупные организации (501 - 1000 чел.)
"ТОО ""KERNEU LIMITED""",31040000354,41201,Строительство жилых зданий,191610000,Алматинская область г. Капчагай,305,Крупные предприятия (от 251 до 500 чел.)
"ТОО ""PSI STROY INDUSTRIYA"" (ПИЭСАЙ СТРОЙ ИНДУСТРИЯ)",20140005909,41201,Строительство жилых зданий,195620100,Алматинская область г. ЖАРКЕНТ,305,Крупные предприятия (от 251 до 500 чел.)
"АО ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ №13""",960640000189,42111,Строительство дорог и автомагистралей,194020100,Алматинская область г. Есик,310,Крупные организации (501 - 1000 чел.)
"ТОО ""ЭНЕРГО-РЭМ""",10240003141,41100,Разработка строительных проектов,191010000,Алматинская область г. ТАЛДЫКОРГАН,305,Крупные предприятия (от 251 до 500 чел.)
"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""К-ДОРСТРОЙ "" ПО АЛМАТИНСКОЙ ОБЛАСТИ",40441028790,42111,Строительство дорог и автомагистралей,194630100,Алматинская область С.САРЫОЗЕК,310,Крупные организации (501 - 1000 чел.)
"ТОО ""МОСТОСТРОИТЕЛЬНЫЙ ОТРЯД №25 ИМ. РЯЗАНОВА А.""",30540008810,43999,"Прочие строительные работы, требующие специальных профессий",191610000,Алматинская область г. КАПЧАГАЙ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""АКМАРАЛ""",990940002391,41201,Строительство жилых зданий,194020100,Алматинская область г. ЕСИК,305,Крупные предприятия (от 251 до 500 чел.)
Название предприятия/ организации,БИН,ОКЭД,Отрасль деятельности,КАТО,Населённый пункт,КРП,Размер предприятия
"УЧРЕЖДЕНИЕ ""УНИВЕРСИТЕТ ИМЕНИ СУЛЕЙМАНА ДЕМИРЕЛЯ""",960240000550,85420,Высшее образование,195220100,Алматинская область г. КАСКЕЛЕН,305,Крупные предприятия (от 251 до 500 чел.)
"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ЖЕТЫСУСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ ИЛЬЯСА ЖАНСУГУРОВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",990140003041,85420,Высшее образование,191010000,Алматинская область г. ТАЛДЫКОРГАН,310,Крупные организации (501 - 1000 чел.)
"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ТАЛДЫКОРГАНСКИЙ КОЛЛЕДЖ ПРОМЫШЛЕННОЙ ИНДУСТРИИ И НОВЫХ ТЕХНОЛОГИЙ"" ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ОБРАЗОВАНИЯ АЛМАТИНСКОЙ ОБЛАСТИ""",940840000390,85322,Среднее специальное образование,191010000,Алматинская область г. ТАЛДЫКОРГАН,305,Крупные предприятия (от 251 до 500 чел.)
