BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"ТОО ""EUROKOR TRADE""",150840019534,31020,Производство кухонной мебели,751310000,г.Алматы Ауэзовский район,130,Малые предприятия (от 21 до 30 чел.)
"ТОО ""МЕБЕЛЬНОЕ АТЕЛЬЕ AURUM""",161140016727,31020,Производство кухонной мебели,711210000,"г.Астана район ""Есиль""",150,Малые предприятия (от 41 до 50 чел.)
"ТОО ""ЦЕПРУС-ТРЕЙД""",110740009219,31020,Производство кухонной мебели,631010000,Восточно-Казахстанская область Г.УСТЬ-КАМЕНОГОРСК,130,Малые предприятия (от 21 до 30 чел.)
"ТОО ""COMPANY EQUIPMENT PROFESSIONAL""",140240005623,31020,Производство кухонной мебели,751310000,г.Алматы Ауэзовский район,130,Малые предприятия (от 21 до 30 чел.)
Наименование,БИН,ОКЭД,Вид деятельности предприятия,КАТО,Населенный пункт,КРП,Размер предприятия
"ТОО ""УСТЬ-КАМЕНОГОРСКОЕ УЧЕБНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ КАЗАХСКОГО ОБЩЕСТВА СЛЕПЫХ""",940340000045,31030,Производство матрасов,631010000,Восточно-Казахстанская область Г.УСТЬ-КАМЕНОГОРСК,130,Малые предприятия (от 21 до 30 чел.)
"ТОО ""КЫЗЫЛОРДИНСКОЕ УЧЕБНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ КАЗАХСКОГО ОБЩЕСТВА СЛЕПЫХ""",990340000014,31030,Производство матрасов,431010000,Кызылординская область Г.КЫЗЫЛОРДА,130,Малые предприятия (от 21 до 30 чел.)
Наименование,БИН,ОКЭД,Вид деятельности предприятия,КАТО,Населенный пункт,КРП,Размер предприятия
"ТОО ""DISTRILAB"" (ДИСТРИЛАБ)",031040003140,31012,Производство мебели для офисов и предприятий торговли,751710000,г.Алматы Медеуский район,160,Малые предприятия (от 51 до 100 чел.)
"ОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АИНА ИНКОМ""",051140010180,31012,Производство мебели для офисов и предприятий торговли,231010000,Атырауская область Г.АТЫРАУ,150,Малые предприятия (от 41 до 50 чел.)
"ТОО ""КАРТ БЛАНШ""",920340000963,31012,Производство мебели для офисов и предприятий торговли,231010000,Атырауская область Г.АТЫРАУ,150,Малые предприятия (от 41 до 50 чел.)
"ТОО ""СЫР ЖИХАЗЫ KZ"" (КЗ)",091040009636,31012,Производство мебели для офисов и предприятий торговли,431010000,Кызылординская область Г.КЫЗЫЛОРДА,150,Малые предприятия (от 41 до 50 чел.)
Наименование,БИН,ОКЭД,Вид деятельности предприятия,КАТО,Населенный пункт,КРП,Размер предприятия
"ТОО ""FREE STYLE""",000340002948,31090,Производство прочей мебели,751510000,г.Алматы ЖЕТЫСУСКИЙ РАЙОН,160,Малые предприятия (от 51 до 100 чел.)
"ТОО ""АЛЬФА ПЛЮС""",000340000773,31090,Производство прочей мебели,751510000,г.Алматы ЖЕТЫСУСКИЙ РАЙОН,160,Малые предприятия (от 51 до 100 чел.)
