BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"ТОО ""INKAR RESOURCES""",140340008033,08112,"Добыча известняка, гипса и мела",751710000,г. Алматы Медеуский район,225,Средние предприятия (от 201 до 250 чел.)
"ТОО ""KUN RENEWABLES"" (КУН РЕНЬЮБЛС)",070940008555,08111,Добыча декоративного и строительного камня,751410000,г. Алматы Бостандыкский район,225,Средние предприятия (от 201 до 250 чел.)
"ТОО ""ЖАРТАС-СН""",010240006007,08112,"Добыча известняка, гипса и мела",194255200,Алматинская область С. ТАНБАЛЫТАС,225,Средние предприятия (от 201 до 250 чел.)
"ФИЛИАЛ ТОО ""ЮРТ-СЕ ИНШААТ ТААХХЮТ БЕТОН САНАЙИ НАКЛИЯТ МАДЕНДЖИЛИК ВЕ ТИДЖАРЕТ ЛИМИТЕД ШИРКЕТИ""",150141002311,08111,Добыча декоративного и строительного камня,194041100,Алматинская область С. БОЛЕК,220,Средние предприятия (от 151 до 200 чел.)
"ФИЛИАЛ АО ""СОКОЛОВСКО-САРБАЙСКОЕ ГОРНО-ОБОГАТИТЕЛЬНОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ"" - ""АЛЕКСЕЕВСКИЙ ДОЛОМИТОВЫЙ РУДНИК""",051141006594,08112,"Добыча известняка, гипса и мела",115635100,Акмолинская область П. АЛЕКСЕЕВКА,220,Средние предприятия (от 151 до 200 чел.)
"ТОО ""ОЗЕНТАС""",050840002003,08111,Добыча декоративного и строительного камня,196255300,Алматинская область С. АКТАС,220,Средние предприятия (от 151 до 200 чел.)
"ТОО ""ТЕМИРТАС-1""",050340006107,08111,Добыча декоративного и строительного камня,471810000,Мангистауская область Г. ЖАНАОЗЕН,220,Средние предприятия (от 151 до 200 чел.)
Наименование компании,БИН,ОКЭД,Вид деятельности предприятия,КАТО,Населенный пункт,КРП,Размер предприятия
"АО ""КОКТАС-АКТОБЕ""",990540000041,08121,Разработка гравийных и песчаных карьеров,151010000,Актюбинская область Г. АКТОБЕ,311,Крупные компании (от 1001 чел. )
"ТОО ""АҚ-ЖОЛ""",030340003832,08121,Разработка гравийных и песчаных карьеров,711210000,"г. Астана район ""Есиль""",311,Крупные компании (от 1001 чел. )
"ТОО ""АРКАДА ИНДАСТРИ""",000740001716,08121,Разработка гравийных и песчаных карьеров,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,305,Крупные компании (от 251 до 500 чел.)
