BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"АО ""ШУБАРКОЛЬ КОМИР""",020740000236,05101,Добыча каменного угля открытым способом,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""БОГАТЫРЬ КОМИР""",970340000843,05101,Добыча каменного угля открытым способом,552210000,Павлодарская область Г. ЭКИБАСТУЗ,311,Крупные предприятия (от 1001 чел. до )
"АО ""КАРАЖЫРА """,021240000409,05101,Добыча каменного угля открытым способом,632810000,Восточно-Казахстанская область Г. СЕМЕЙ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""КАРАГАНДАКОМIР""",970340012738,05102,Добыча каменного угля подземным способом,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""РАЗРЕЗ МОЛОДЕЖНЫЙ""",150340015464,05101,Добыча каменного угля открытым способом,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""САРЫАРКА-ENERGY""",081040008201,05101,Добыча каменного угля открытым способом,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,310,Крупные предприятия (от 501 до1000 чел.)
"ТОО ""РАЗРЕЗ КУУ-ЧЕКИНСКИЙ""",150340019000,05101,Добыча каменного угля открытым способом,354061100,Карагандинская область П. КУШОКЫ,310,Крупные предприятия (от 501 до1000 чел.)
Наименование,БИН,ОКЭД,Вид деятельности предприятия,КАТО,Населённый пункт,КРП,Размер предприятия
"ТОО ""ГАММА""",950540001002,05201,Добыча лигнита (бурого угля) открытым способом,553637100,Павлодарская область с. Бирлик,305,Крупные предприятия (от 251 до 500 чел.)
"ТОО ""МАЙКУБЕН-ВЕСТ""",050940003769,05201,Добыча лигнита (бурого угля) открытым способом,553665700,Павлодарская область С. ШОПТЫКОЛЬ,311,Крупные предприятия (от 1001 чел.)
