BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""МАНКЕНТ-1""",960840001005,01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",515267100,Южно-Казахстанская область С.МАНКЕНТ,311,Крупные предприятия (от 1001 чел. до )
"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРЫСТАН-ПК""",091040016877,01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",396230100,Костанайская область П.САРЫКОЛЬ,310,Крупные предприятия (от 501 до1000 чел.)
"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМ. К. МАРКСА""",990340008486,01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",395455100,Костанайская область С.ОЗЕРНОЕ,310,Крупные предприятия (от 501 до1000 чел.)
"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЯЖСКОЕ""",061140003992,01111,"Выращивание зерновых и зернобобовых культур, включая семеноводство",396630100,Костанайская область С.УЗУНКОЛЬ,310,Крупные предприятия (от 501 до1000 чел.)
Наименование,БИН,ОКЭД,Вид деятельности предприятия,КАТО,Населенный пункт,КРП,Размер предприятия
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""ПЛЕМЗАВОД ""АЛМАТЫ""",980240000900,01112,Выращивание масличных культур и их семян,196220100,Алматинская область Г.ТАЛГАР,310,Крупные предприятия (от 501 до1000 чел.)
"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""ПЛЕМЗАВОД ""АЛМАТЫ""",980240000900,01112,Выращивание масличных культур и их семян,196220100,Алматинская область Г.ТАЛГАР,310,Крупные предприятия (от 501 до1000 чел.)
"ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""АҚ-БИДАЙ РАБАТ""",010940019778,01112,Выращивание масличных культур и их семян,514049100,Южно-Казахстанская область С.РАБАТ,150,Малые предприятия (от 41 до 50 чел.)
"ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""КОЛХОЗ БIРЛIК""",930540001049,01112,Выращивание масличных культур и их семян,515859100,Южно-Казахстанская область С.ТАСАРЫК,150,Малые предприятия (от 41 до 50 чел.)
"ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""КYЙIК""",010740017388,01112,Выращивание масличных культур и их семян,514049100,Южно-Казахстанская область С.РАБАТ,150,Малые предприятия (от 41 до 50 чел.)
